    ,forecast_date,target,target_end_date,location,type,quantile,value
5253,2020-05-04,0 day ahead cum death,2020-05-04,1,point,,304
5304,2020-05-04,1 day ahead cum death,2020-05-05,1,point,,319
5355,2020-05-04,2 day ahead cum death,2020-05-06,1,point,,333
5406,2020-05-04,3 day ahead cum death,2020-05-07,1,point,,348
5457,2020-05-04,4 day ahead cum death,2020-05-08,1,point,,362
5508,2020-05-04,5 day ahead cum death,2020-05-09,1,point,,377
5559,2020-05-04,6 day ahead cum death,2020-05-10,1,point,,391
5610,2020-05-04,7 day ahead cum death,2020-05-11,1,point,,406
5661,2020-05-04,8 day ahead cum death,2020-05-12,1,point,,421
5712,2020-05-04,9 day ahead cum death,2020-05-13,1,point,,436
5763,2020-05-04,10 day ahead cum death,2020-05-14,1,point,,451
5814,2020-05-04,11 day ahead cum death,2020-05-15,1,point,,466
5865,2020-05-04,12 day ahead cum death,2020-05-16,1,point,,481
5916,2020-05-04,13 day ahead cum death,2020-05-17,1,point,,497
5967,2020-05-04,14 day ahead cum death,2020-05-18,1,point,,513
6018,2020-05-04,15 day ahead cum death,2020-05-19,1,point,,529
6069,2020-05-04,16 day ahead cum death,2020-05-20,1,point,,545
6120,2020-05-04,17 day ahead cum death,2020-05-21,1,point,,562
6171,2020-05-04,18 day ahead cum death,2020-05-22,1,point,,579
6222,2020-05-04,19 day ahead cum death,2020-05-23,1,point,,596
6273,2020-05-04,20 day ahead cum death,2020-05-24,1,point,,614
6324,2020-05-04,21 day ahead cum death,2020-05-25,1,point,,631
6375,2020-05-04,22 day ahead cum death,2020-05-26,1,point,,650
6426,2020-05-04,23 day ahead cum death,2020-05-27,1,point,,668
6477,2020-05-04,24 day ahead cum death,2020-05-28,1,point,,687
6528,2020-05-04,25 day ahead cum death,2020-05-29,1,point,,706
6579,2020-05-04,26 day ahead cum death,2020-05-30,1,point,,726
6630,2020-05-04,27 day ahead cum death,2020-05-31,1,point,,746
6681,2020-05-04,28 day ahead cum death,2020-06-01,1,point,,766
6732,2020-05-04,29 day ahead cum death,2020-06-02,1,point,,786
6783,2020-05-04,30 day ahead cum death,2020-06-03,1,point,,807
6834,2020-05-04,31 day ahead cum death,2020-06-04,1,point,,829
6885,2020-05-04,32 day ahead cum death,2020-06-05,1,point,,850
6936,2020-05-04,33 day ahead cum death,2020-06-06,1,point,,872
6987,2020-05-04,34 day ahead cum death,2020-06-07,1,point,,894
7038,2020-05-04,35 day ahead cum death,2020-06-08,1,point,,916
7089,2020-05-04,36 day ahead cum death,2020-06-09,1,point,,938
7140,2020-05-04,37 day ahead cum death,2020-06-10,1,point,,961
7191,2020-05-04,38 day ahead cum death,2020-06-11,1,point,,984
