target,location,location_name,type,quantile,value
1 day ahead inc,US,US,quantile,0.01,1441.2487629006644
1 day ahead inc,US,US,quantile,0.025,1492.7837884078724
1 day ahead inc,US,US,quantile,0.05,1543.9453633951364
1 day ahead inc,US,US,quantile,0.1,1611.8983547218465
1 day ahead inc,US,US,quantile,0.15,1665.7502294878616
1 day ahead inc,US,US,quantile,0.2,1701.4048937248267
1 day ahead inc,US,US,quantile,0.25,1738.0689438299635
1 day ahead inc,US,US,quantile,0.3,1774.6256768492547
1 day ahead inc,US,US,quantile,0.35,1790.5967215994501
1 day ahead inc,US,US,quantile,0.4,1840.999030774905
1 day ahead inc,US,US,quantile,0.45,1874.474713270473
1 day ahead inc,US,US,quantile,0.5,1906.129608005878
1 day ahead inc,US,US,quantile,0.55,1916.0887063822247
1 day ahead inc,US,US,quantile,0.6,1950.5791840073487
1 day ahead inc,US,US,quantile,0.65,1988.7995403198174
1 day ahead inc,US,US,quantile,0.7,2027.9905586879995
1 day ahead inc,US,US,quantile,0.75,2051.667481789958
1 day ahead inc,US,US,quantile,0.8,2096.9107019978355
1 day ahead inc,US,US,quantile,0.85,2142.618550435728
1 day ahead inc,US,US,quantile,0.9,2181.7210699348348
1 day ahead inc,US,US,quantile,0.95,2269.3862431040266
1 day ahead inc,US,US,quantile,0.975,2357.762786103725
1 day ahead inc,US,US,quantile,0.99,2445.7323071934397
1 day ahead inc,US,US,point,NA,1901.944382946679
1 day ahead cum,US,US,quantile,0.01,24970.248762900665
1 day ahead cum,US,US,quantile,0.025,25021.783788407876
1 day ahead cum,US,US,quantile,0.05,25072.945363395138
1 day ahead cum,US,US,quantile,0.1,25140.898354721845
1 day ahead cum,US,US,quantile,0.15,25194.75022948786
1 day ahead cum,US,US,quantile,0.2,25230.404893724823
1 day ahead cum,US,US,quantile,0.25,25267.068943829967
1 day ahead cum,US,US,quantile,0.3,25303.625676849253
1 day ahead cum,US,US,quantile,0.35,25319.59672159945
1 day ahead cum,US,US,quantile,0.4,25369.999030774903
1 day ahead cum,US,US,quantile,0.45,25403.474713270472
1 day ahead cum,US,US,quantile,0.5,25435.12960800588
1 day ahead cum,US,US,quantile,0.55,25445.088706382223
1 day ahead cum,US,US,quantile,0.6,25479.579184007347
1 day ahead cum,US,US,quantile,0.65,25517.79954031982
1 day ahead cum,US,US,quantile,0.7,25556.990558687998
1 day ahead cum,US,US,quantile,0.75,25580.667481789962
1 day ahead cum,US,US,quantile,0.8,25625.91070199784
1 day ahead cum,US,US,quantile,0.85,25671.618550435727
1 day ahead cum,US,US,quantile,0.9,25710.72106993484
1 day ahead cum,US,US,quantile,0.95,25798.386243104025
1 day ahead cum,US,US,quantile,0.975,25886.762786103725
1 day ahead cum,US,US,quantile,0.99,25974.73230719344
1 day ahead cum,US,US,point,NA,25430.94438294668
2 day ahead inc,US,US,quantile,0.01,1386.8711199117338
2 day ahead inc,US,US,quantile,0.025,1437.3921705952732
2 day ahead inc,US,US,quantile,0.05,1471.5405383571267
2 day ahead inc,US,US,quantile,0.1,1554.9041677720786
2 day ahead inc,US,US,quantile,0.15,1598.9118933605885
2 day ahead inc,US,US,quantile,0.2,1660.5775185724524
2 day ahead inc,US,US,quantile,0.25,1688.6889815114534
