location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2021-06-06,1 wk ahead cum death,2021-06-12,US,quantile,0.01,600044.2265319752
US,2021-06-06,2 wk ahead cum death,2021-06-19,US,quantile,0.01,602382.1250936228
US,2021-06-06,3 wk ahead cum death,2021-06-26,US,quantile,0.01,604702.2532909085
US,2021-06-06,4 wk ahead cum death,2021-07-03,US,quantile,0.01,607020.6260841439
US,2021-06-06,5 wk ahead cum death,2021-07-10,US,quantile,0.01,609344.8280833549
US,2021-06-06,6 wk ahead cum death,2021-07-17,US,quantile,0.01,611672.7972718178
US,2021-06-06,7 wk ahead cum death,2021-07-24,US,quantile,0.01,614007.5553620021
US,2021-06-06,8 wk ahead cum death,2021-07-31,US,quantile,0.01,616351.8046087279
US,2021-06-06,9 wk ahead cum death,2021-08-07,US,quantile,0.01,618706.127380319
US,2021-06-06,10 wk ahead cum death,2021-08-14,US,quantile,0.01,621070.756713518
US,2021-06-06,11 wk ahead cum death,2021-08-21,US,quantile,0.01,623445.705525215
US,2021-06-06,12 wk ahead cum death,2021-08-28,US,quantile,0.01,625830.8581159558
US,2021-06-06,13 wk ahead cum death,2021-09-04,US,quantile,0.01,628196.7362265649
US,2021-06-06,14 wk ahead cum death,2021-09-11,US,quantile,0.01,630541.0071701831
US,2021-06-06,1 wk ahead inc death,2021-06-12,US,quantile,0.01,2667.2265319752646
US,2021-06-06,2 wk ahead inc death,2021-06-19,US,quantile,0.01,2337.898561647525
US,2021-06-06,3 wk ahead inc death,2021-06-26,US,quantile,0.01,2320.157797193439
US,2021-06-06,4 wk ahead inc death,2021-07-03,US,quantile,0.01,2317.8797909333603
US,2021-06-06,5 wk ahead inc death,2021-07-10,US,quantile,0.01,2319.95925479284
US,2021-06-06,6 wk ahead inc death,2021-07-17,US,quantile,0.01,2326.3812257547866
US,2021-06-06,7 wk ahead inc death,2021-07-24,US,quantile,0.01,2334.7580901843216
US,2021-06-06,8 wk ahead inc death,2021-07-31,US,quantile,0.01,2343.5932076302543
US,2021-06-06,9 wk ahead inc death,2021-08-07,US,quantile,0.01,2344.7074113725503
US,2021-06-06,10 wk ahead inc death,2021-08-14,US,quantile,0.01,2345.567540976573
US,2021-06-06,11 wk ahead inc death,2021-08-21,US,quantile,0.01,2346.0766509497726
US,2021-06-06,12 wk ahead inc death,2021-08-28,US,quantile,0.01,2346.114672495895
US,2021-06-06,13 wk ahead inc death,2021-09-04,US,quantile,0.01,2345.487818847117
US,2021-06-06,14 wk ahead inc death,2021-09-11,US,quantile,0.01,2344.2709436182818
US,2021-06-06,1 wk ahead cum death,2021-06-12,US,quantile,0.025,600051.1140765479
US,2021-06-06,2 wk ahead cum death,2021-06-19,US,quantile,0.025,602409.8306931353
US,2021-06-06,3 wk ahead cum death,2021-06-26,US,quantile,0.025,604761.8018413174
US,2021-06-06,4 wk ahead cum death,2021-07-03,US,quantile,0.025,607118.0628853367
US,2021-06-06,5 wk ahead cum death,2021-07-10,US,quantile,0.025,609476.9447786195
US,2021-06-06,6 wk ahead cum death,2021-07-17,US,quantile,0.025,611843.2373485485
US,2021-06-06,7 wk ahead cum death,2021-07-24,US,quantile,0.025,614217.8000306297
US,2021-06-06,8 wk ahead cum death,2021-07-31,US,quantile,0.025,616600.8206356379
US,2021-06-06,9 wk ahead cum death,2021-08-07,US,quantile,0.025,618992.0518575306
US,2021-06-06,10 wk ahead cum death,2021-08-14,US,quantile,0.025,621390.9774865462
US,2021-06-06,11 wk ahead cum death,2021-08-21,US,quantile,0.025,623808.3323135034
US,2021-06-06,12 wk ahead cum death,2021-08-28,US,quantile,0.025,626236.5460663209
US,2021-06-06,13 wk ahead cum death,2021-09-04,US,quantile,0.025,628673.2467390746
US,2021-06-06,14 wk ahead cum death,2021-09-11,US,quantile,0.025,631117.4739671372
US,2021-06-06,1 wk ahead inc death,2021-06-12,US,quantile,0.025,2674.1140765478603
US,2021-06-06,2 wk ahead inc death,2021-06-19,US,quantile,0.025,2358.7166165874105
US,2021-06-06,3 wk ahead inc death,2021-06-26,US,quantile,0.025,2351.3877433206653
US,2021-06-06,4 wk ahead inc death,2021-07-03,US,quantile,0.025,2353.404537803703
US,2021-06-06,5 wk ahead inc death,2021-07-10,US,quantile,0.025,2358.881893282756
US,2021-06-06,6 wk ahead inc death,2021-07-17,US,quantile,0.025,2366.2925699290586
US,2021-06-06,7 wk ahead inc death,2021-07-24,US,quantile,0.025,2375.4789604938123
US,2021-06-06,8 wk ahead inc death,2021-07-31,US,quantile,0.025,2386.740315117221
US,2021-06-06,9 wk ahead inc death,2021-08-07,US,quantile,0.025,2397.930057930318
US,2021-06-06,10 wk ahead inc death,2021-08-14,US,quantile,0.025,2408.6988534412117
US,2021-06-06,11 wk ahead inc death,2021-08-21,US,quantile,0.025,2418.8337155004265
US,2021-06-06,12 wk ahead inc death,2021-08-28,US,quantile,0.025,2428.721069309395
US,2021-06-06,13 wk ahead inc death,2021-09-04,US,quantile,0.025,2441.6177706356857
