forecast_date,target,target_end_date,quantile,type,value,location
2020-12-13,1 wk ahead cum death,2020-12-19,0.010,quantile,3992.0011162302962,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.025,quantile,4010.804093321357,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.050,quantile,4044.265101375081,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.100,quantile,4080.5035396272583,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.150,quantile,4096.993986198048,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.200,quantile,4124.8367891533035,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.250,quantile,4136.672394706222,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.300,quantile,4147.188935326119,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.350,quantile,4166.392727803776,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.400,quantile,4172.696464385786,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.450,quantile,4194.778947236457,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.500,quantile,4204.050348141923,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.550,quantile,4219.163285140515,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.600,quantile,4220.8804783206515,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.650,quantile,4237.680243119562,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.700,quantile,4248.9204336679795,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.750,quantile,4264.569591143912,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.800,quantile,4288.6043168880615,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.850,quantile,4302.046581862646,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.900,quantile,4332.559334762922,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.950,quantile,4371.470403307822,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.975,quantile,4392.367423306151,01
2020-12-13,1 wk ahead cum death,2020-12-19,0.990,quantile,4436.190226019965,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.010,quantile,4055.6884859004745,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.025,quantile,4107.143508508812,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.050,quantile,4133.504829652558,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.100,quantile,4171.0394877125,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.150,quantile,4196.275405891051,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.200,quantile,4208.2301246976285,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.250,quantile,4232.758896680524,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.300,quantile,4247.223866729129,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.350,quantile,4259.9695610866365,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.400,quantile,4273.9980528898095,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.450,quantile,4282.080953654864,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.500,quantile,4297.64780633882,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.550,quantile,4307.182143797682,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.600,quantile,4315.274085796839,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.650,quantile,4331.838332649671,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.700,quantile,4352.312277034146,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.750,quantile,4364.774633571392,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.800,quantile,4379.31487090198,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.850,quantile,4396.850262599675,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.900,quantile,4422.403911123951,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.950,quantile,4469.978550403856,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.975,quantile,4484.248360624503,01
2020-12-13,2 wk ahead cum death,2020-12-26,0.990,quantile,4520.79583559864,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.010,quantile,4173.351698561339,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.025,quantile,4198.443837582077,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.050,quantile,4224.608748627981,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.100,quantile,4261.471369260307,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.150,quantile,4274.388414606508,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.200,quantile,4306.701707971502,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.250,quantile,4314.641003905835,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.300,quantile,4334.185077965205,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.350,quantile,4345.737642139385,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.400,quantile,4356.1726113829545,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.450,quantile,4372.10671375604,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.500,quantile,4385.719390845144,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.550,quantile,4395.552835273905,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.600,quantile,4402.772985336784,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.650,quantile,4421.331743208204,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.700,quantile,4440.614167387424,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.750,quantile,4454.3383241550155,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.800,quantile,4472.630721768584,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.850,quantile,4482.248385747553,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.900,quantile,4516.0749009542515,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.950,quantile,4541.909119051818,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.975,quantile,4583.798204243192,01
2020-12-13,3 wk ahead cum death,2021-01-02,0.990,quantile,4604.643475624777,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.010,quantile,4243.718538869963,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.025,quantile,4269.552692513261,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.050,quantile,4294.176994808387,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.100,quantile,4340.620554301961,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.150,quantile,4368.009064273364,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.200,quantile,4384.098932944446,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.250,quantile,4398.0968924198405,01
2020-12-13,4 wk ahead cum death,2021-01-09,0.300,quantile,4411.8127018357545,01
