location,forecast_date,target_end_date,target,type,quantile,value
US,2022-05-22,2022-05-28,1 wk ahead inc case,point,,821304
US,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.025,475583
US,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.1,566514
US,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.25,662849
US,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.5,821304
US,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.75,1026353
US,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.9,1216476
US,2022-05-22,2022-05-28,1 wk ahead inc case,quantile,0.975,1473696
US,2022-05-22,2022-06-04,2 wk ahead inc case,point,,974927
US,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.025,392043
US,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.1,510707
US,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.25,662216
US,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.5,974927
US,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.75,1453952
US,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.9,1918051
US,2022-05-22,2022-06-04,2 wk ahead inc case,quantile,0.975,2560800
US,2022-05-22,2022-06-11,3 wk ahead inc case,point,,1125057
US,2022-05-22,2022-06-11,3 wk ahead inc case,quantile,0.025,319928
US,2022-05-22,2022-06-11,3 wk ahead inc case,quantile,0.1,453699
US,2022-05-22,2022-06-11,3 wk ahead inc case,quantile,0.25,648443
US,2022-05-22,2022-06-11,3 wk ahead inc case,quantile,0.5,1125057
US,2022-05-22,2022-06-11,3 wk ahead inc case,quantile,0.75,1982513
US,2022-05-22,2022-06-11,3 wk ahead inc case,quantile,0.9,2891732
US,2022-05-22,2022-06-11,3 wk ahead inc case,quantile,0.975,4219634
US,2022-05-22,2022-06-18,4 wk ahead inc case,point,,1272801
US,2022-05-22,2022-06-18,4 wk ahead inc case,quantile,0.025,258963
US,2022-05-22,2022-06-18,4 wk ahead inc case,quantile,0.1,398901
US,2022-05-22,2022-06-18,4 wk ahead inc case,quantile,0.25,626511
US,2022-05-22,2022-06-18,4 wk ahead inc case,quantile,0.5,1272801
US,2022-05-22,2022-06-18,4 wk ahead inc case,quantile,0.75,2619866
US,2022-05-22,2022-06-18,4 wk ahead inc case,quantile,0.9,4183623
US,2022-05-22,2022-06-18,4 wk ahead inc case,quantile,0.975,6574741
US,2022-05-22,2022-05-28,1 wk ahead inc death,point,,5104
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.01,1503
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.025,1759
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.05,2060
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.1,2412
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.15,2682
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.2,2983
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.25,3317
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.3,3690
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.35,4009
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.4,4356
US,2022-05-22,2022-05-28,1 wk ahead inc death,quantile,0.45,4734
