location,forecast_date,target_end_date,target,type,quantile,value
US,2022-05-01,2022-05-07,1 wk ahead inc case,point,,373197
US,2022-05-01,2022-05-07,1 wk ahead inc case,quantile,0.025,217229
US,2022-05-01,2022-05-07,1 wk ahead inc case,quantile,0.1,258421
US,2022-05-01,2022-05-07,1 wk ahead inc case,quantile,0.25,301919
US,2022-05-01,2022-05-07,1 wk ahead inc case,quantile,0.5,373197
US,2022-05-01,2022-05-07,1 wk ahead inc case,quantile,0.75,465289
US,2022-05-01,2022-05-07,1 wk ahead inc case,quantile,0.9,550738
US,2022-05-01,2022-05-07,1 wk ahead inc case,quantile,0.975,666410
US,2022-05-01,2022-05-14,2 wk ahead inc case,point,,403179
US,2022-05-01,2022-05-14,2 wk ahead inc case,quantile,0.025,163414
US,2022-05-01,2022-05-14,2 wk ahead inc case,quantile,0.1,212439
US,2022-05-01,2022-05-14,2 wk ahead inc case,quantile,0.25,274843
US,2022-05-01,2022-05-14,2 wk ahead inc case,quantile,0.5,403179
US,2022-05-01,2022-05-14,2 wk ahead inc case,quantile,0.75,599412
US,2022-05-01,2022-05-14,2 wk ahead inc case,quantile,0.9,789471
US,2022-05-01,2022-05-14,2 wk ahead inc case,quantile,0.975,1052935
US,2022-05-01,2022-05-21,3 wk ahead inc case,point,,424628
US,2022-05-01,2022-05-21,3 wk ahead inc case,quantile,0.025,121756
US,2022-05-01,2022-05-21,3 wk ahead inc case,quantile,0.1,172210
US,2022-05-01,2022-05-21,3 wk ahead inc case,quantile,0.25,245515
US,2022-05-01,2022-05-21,3 wk ahead inc case,quantile,0.5,424628
US,2022-05-01,2022-05-21,3 wk ahead inc case,quantile,0.75,747919
US,2022-05-01,2022-05-21,3 wk ahead inc case,quantile,0.9,1092167
US,2022-05-01,2022-05-21,3 wk ahead inc case,quantile,0.975,1598946
US,2022-05-01,2022-05-28,4 wk ahead inc case,point,,438317
US,2022-05-01,2022-05-28,4 wk ahead inc case,quantile,0.025,89555
US,2022-05-01,2022-05-28,4 wk ahead inc case,quantile,0.1,137568
US,2022-05-01,2022-05-28,4 wk ahead inc case,quantile,0.25,215701
US,2022-05-01,2022-05-28,4 wk ahead inc case,quantile,0.5,438317
US,2022-05-01,2022-05-28,4 wk ahead inc case,quantile,0.75,910299
US,2022-05-01,2022-05-28,4 wk ahead inc case,quantile,0.9,1468325
US,2022-05-01,2022-05-28,4 wk ahead inc case,quantile,0.975,2347363
US,2022-05-01,2022-05-07,1 wk ahead inc death,point,,3605
US,2022-05-01,2022-05-07,1 wk ahead inc death,quantile,0.01,1093
US,2022-05-01,2022-05-07,1 wk ahead inc death,quantile,0.025,1276
US,2022-05-01,2022-05-07,1 wk ahead inc death,quantile,0.05,1489
US,2022-05-01,2022-05-07,1 wk ahead inc death,quantile,0.1,1738
US,2022-05-01,2022-05-07,1 wk ahead inc death,quantile,0.15,1928
