location,forecast_date,target_end_date,target,type,quantile,value
US,2022-04-03,2022-04-09,1 wk ahead inc case,point,,181002
US,2022-04-03,2022-04-09,1 wk ahead inc case,quantile,0.025,106524
US,2022-04-03,2022-04-09,1 wk ahead inc case,quantile,0.1,126371
US,2022-04-03,2022-04-09,1 wk ahead inc case,quantile,0.25,147181
US,2022-04-03,2022-04-09,1 wk ahead inc case,quantile,0.5,181002
US,2022-04-03,2022-04-09,1 wk ahead inc case,quantile,0.75,224538
US,2022-04-03,2022-04-09,1 wk ahead inc case,quantile,0.9,264995
US,2022-04-03,2022-04-09,1 wk ahead inc case,quantile,0.975,319820
US,2022-04-03,2022-04-16,2 wk ahead inc case,point,,168303
US,2022-04-03,2022-04-16,2 wk ahead inc case,quantile,0.025,69340
US,2022-04-03,2022-04-16,2 wk ahead inc case,quantile,0.1,89785
US,2022-04-03,2022-04-16,2 wk ahead inc case,quantile,0.25,115628
US,2022-04-03,2022-04-16,2 wk ahead inc case,quantile,0.5,168303
US,2022-04-03,2022-04-16,2 wk ahead inc case,quantile,0.75,248243
US,2022-04-03,2022-04-16,2 wk ahead inc case,quantile,0.9,325395
US,2022-04-03,2022-04-16,2 wk ahead inc case,quantile,0.975,432165
US,2022-04-03,2022-04-23,3 wk ahead inc case,point,,154335
US,2022-04-03,2022-04-23,3 wk ahead inc case,quantile,0.025,45328
US,2022-04-03,2022-04-23,3 wk ahead inc case,quantile,0.1,63726
US,2022-04-03,2022-04-23,3 wk ahead inc case,quantile,0.25,90240
US,2022-04-03,2022-04-23,3 wk ahead inc case,quantile,0.5,154335
US,2022-04-03,2022-04-23,3 wk ahead inc case,quantile,0.75,268947
US,2022-04-03,2022-04-23,3 wk ahead inc case,quantile,0.9,390350
US,2022-04-03,2022-04-23,3 wk ahead inc case,quantile,0.975,568756
US,2022-04-03,2022-04-30,4 wk ahead inc case,point,,139177
US,2022-04-03,2022-04-30,4 wk ahead inc case,quantile,0.025,29310
US,2022-04-03,2022-04-30,4 wk ahead inc case,quantile,0.1,44669
US,2022-04-03,2022-04-30,4 wk ahead inc case,quantile,0.25,69436
US,2022-04-03,2022-04-30,4 wk ahead inc case,quantile,0.5,139177
US,2022-04-03,2022-04-30,4 wk ahead inc case,quantile,0.75,285801
US,2022-04-03,2022-04-30,4 wk ahead inc case,quantile,0.9,458538
US,2022-04-03,2022-04-30,4 wk ahead inc case,quantile,0.975,731514
US,2022-04-03,2022-04-09,1 wk ahead inc death,point,,3431
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.01,1092
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.025,1268
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.05,1472
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.1,1709
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.15,1888
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.2,2086
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.25,2305
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.3,2548
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.35,2750
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.4,2968
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.45,3204
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.5,3431
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.55,3734
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.6,4032
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.65,4354
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.7,4702
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.75,5263
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.8,5891
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.85,6594
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.9,7383
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.95,8821
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.975,10542
US,2022-04-03,2022-04-09,1 wk ahead inc death,quantile,0.99,12601
US,2022-04-03,2022-04-16,2 wk ahead inc death,point,,3100
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.01,683
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.025,825
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.05,996
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.1,1204
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.15,1371
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.2,1562
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.25,1780
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.3,2028
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.35,2260
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.4,2519
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.45,2808
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.5,3100
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.55,3490
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.6,3891
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.65,4339
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.7,4839
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.75,5600
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.8,6482
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.85,7503
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.9,8685
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.95,10863
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.975,13589
US,2022-04-03,2022-04-16,2 wk ahead inc death,quantile,0.99,17002
US,2022-04-03,2022-04-23,3 wk ahead inc death,point,,2765
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.01,421
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.025,529
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.05,665
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.1,836
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.15,982
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.2,1154
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.25,1356
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.3,1594
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.35,1834
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.4,2111
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.45,2429
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.5,2765
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.55,3219
US,2022-04-03,2022-04-23,3 wk ahead inc death,quantile,0.6,3706
