location,forecast_date,target_end_date,target,type,quantile,value
US,2022-04-10,2022-04-16,1 wk ahead inc case,point,,289248
US,2022-04-10,2022-04-16,1 wk ahead inc case,quantile,0.025,167443
US,2022-04-10,2022-04-16,1 wk ahead inc case,quantile,0.1,199458
US,2022-04-10,2022-04-16,1 wk ahead inc case,quantile,0.25,233390
US,2022-04-10,2022-04-16,1 wk ahead inc case,quantile,0.5,289248
US,2022-04-10,2022-04-16,1 wk ahead inc case,quantile,0.75,361621
US,2022-04-10,2022-04-16,1 wk ahead inc case,quantile,0.9,428764
US,2022-04-10,2022-04-16,1 wk ahead inc case,quantile,0.975,519643
US,2022-04-10,2022-04-23,2 wk ahead inc case,point,,351938
US,2022-04-10,2022-04-23,2 wk ahead inc case,quantile,0.025,140652
US,2022-04-10,2022-04-23,2 wk ahead inc case,quantile,0.1,183458
US,2022-04-10,2022-04-23,2 wk ahead inc case,quantile,0.25,238283
US,2022-04-10,2022-04-23,2 wk ahead inc case,quantile,0.5,351938
US,2022-04-10,2022-04-23,2 wk ahead inc case,quantile,0.75,527044
US,2022-04-10,2022-04-23,2 wk ahead inc case,quantile,0.9,697306
US,2022-04-10,2022-04-23,2 wk ahead inc case,quantile,0.975,933926
US,2022-04-10,2022-04-30,3 wk ahead inc case,point,,417650
US,2022-04-10,2022-04-30,3 wk ahead inc case,quantile,0.025,117071
US,2022-04-10,2022-04-30,3 wk ahead inc case,quantile,0.1,166479
US,2022-04-10,2022-04-30,3 wk ahead inc case,quantile,0.25,238852
US,2022-04-10,2022-04-30,3 wk ahead inc case,quantile,0.5,417650
US,2022-04-10,2022-04-30,3 wk ahead inc case,quantile,0.75,744217
US,2022-04-10,2022-04-30,3 wk ahead inc case,quantile,0.9,1094624
US,2022-04-10,2022-04-30,3 wk ahead inc case,quantile,0.975,1613234
US,2022-04-10,2022-05-07,4 wk ahead inc case,point,,485572
US,2022-04-10,2022-05-07,4 wk ahead inc case,quantile,0.025,96153
US,2022-04-10,2022-05-07,4 wk ahead inc case,quantile,0.1,148821
US,2022-04-10,2022-05-07,4 wk ahead inc case,quantile,0.25,235397
US,2022-04-10,2022-05-07,4 wk ahead inc case,quantile,0.5,485572
US,2022-04-10,2022-05-07,4 wk ahead inc case,quantile,0.75,1024227
US,2022-04-10,2022-05-07,4 wk ahead inc case,quantile,0.9,1667737
US,2022-04-10,2022-05-07,4 wk ahead inc case,quantile,0.975,2688287
US,2022-04-10,2022-04-16,1 wk ahead inc death,point,,4700
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.01,1367
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.025,1602
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.05,1878
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.1,2201
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.15,2451
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.2,2728
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.25,3037
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.3,3381
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.35,3679
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.4,4003
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.45,4356
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.5,4700
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.55,5160
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.6,5617
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.65,6115
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.7,6658
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.75,7515
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.8,8484
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.85,9579
US,2022-04-10,2022-04-16,1 wk ahead inc death,quantile,0.9,10816
