location,forecast_date,target_end_date,target,type,quantile,value
US,2022-05-15,2022-05-21,1 wk ahead inc case,point,,585849
US,2022-05-15,2022-05-21,1 wk ahead inc case,quantile,0.025,340296
US,2022-05-15,2022-05-21,1 wk ahead inc case,quantile,0.1,405044
US,2022-05-15,2022-05-21,1 wk ahead inc case,quantile,0.25,473504
US,2022-05-15,2022-05-21,1 wk ahead inc case,quantile,0.5,585849
US,2022-05-15,2022-05-21,1 wk ahead inc case,quantile,0.75,731067
US,2022-05-15,2022-05-21,1 wk ahead inc case,quantile,0.9,865761
US,2022-05-15,2022-05-21,1 wk ahead inc case,quantile,0.975,1048039
US,2022-05-15,2022-05-28,2 wk ahead inc case,point,,655058
US,2022-05-15,2022-05-28,2 wk ahead inc case,quantile,0.025,264860
US,2022-05-15,2022-05-28,2 wk ahead inc case,quantile,0.1,344547
US,2022-05-15,2022-05-28,2 wk ahead inc case,quantile,0.25,446070
US,2022-05-15,2022-05-28,2 wk ahead inc case,quantile,0.5,655058
US,2022-05-15,2022-05-28,2 wk ahead inc case,quantile,0.75,974670
US,2022-05-15,2022-05-28,2 wk ahead inc case,quantile,0.9,1284165
US,2022-05-15,2022-05-28,2 wk ahead inc case,quantile,0.975,1712919
US,2022-05-15,2022-06-04,3 wk ahead inc case,point,,715615
US,2022-05-15,2022-06-04,3 wk ahead inc case,quantile,0.025,204740
US,2022-05-15,2022-06-04,3 wk ahead inc case,quantile,0.1,289819
US,2022-05-15,2022-06-04,3 wk ahead inc case,quantile,0.25,413476
US,2022-05-15,2022-06-04,3 wk ahead inc case,quantile,0.5,715615
US,2022-05-15,2022-06-04,3 wk ahead inc case,quantile,0.75,1259749
US,2022-05-15,2022-06-04,3 wk ahead inc case,quantile,0.9,1837798
US,2022-05-15,2022-06-04,3 wk ahead inc case,quantile,0.975,2685507
US,2022-05-15,2022-06-11,4 wk ahead inc case,point,,767755
US,2022-05-15,2022-06-11,4 wk ahead inc case,quantile,0.025,156809
US,2022-05-15,2022-06-11,4 wk ahead inc case,quantile,0.1,241083
US,2022-05-15,2022-06-11,4 wk ahead inc case,quantile,0.25,378126
US,2022-05-15,2022-06-11,4 wk ahead inc case,quantile,0.5,767755
US,2022-05-15,2022-06-11,4 wk ahead inc case,quantile,0.75,1587239
US,2022-05-15,2022-06-11,4 wk ahead inc case,quantile,0.9,2548129
US,2022-05-15,2022-06-11,4 wk ahead inc case,quantile,0.975,4042326
US,2022-05-15,2022-05-21,1 wk ahead inc death,point,,3619
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.01,1086
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.025,1269
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.05,1483
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.1,1732
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.15,1923
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.2,2136
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.25,2371
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.3,2633
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.35,2857
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.4,3099
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.45,3363
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.5,3619
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.55,3960
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.6,4298
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.65,4665
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.7,5064
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.75,5697
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.8,6410
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.85,7213
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.9,8117
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.95,9764
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.975,11747
US,2022-05-15,2022-05-21,1 wk ahead inc death,quantile,0.99,14136
US,2022-05-15,2022-05-28,2 wk ahead inc death,point,,3927
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.01,806
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.025,981
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.05,1195
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.1,1455
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.15,1667
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.2,1910
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.25,2189
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.3,2510
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.35,2813
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.4,3153
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.45,3535
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.5,3927
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.55,4445
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.6,4985
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.65,5590
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.7,6270
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.75,7293
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.8,8484
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.85,9870
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.9,11483
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.95,14438
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.975,18156
US,2022-05-15,2022-05-28,2 wk ahead inc death,quantile,0.99,22834
US,2022-05-15,2022-06-04,3 wk ahead inc death,point,,4196
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.01,591
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.025,750
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.05,951
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.1,1206
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.15,1427
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.2,1687
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.25,1996
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.3,2361
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.35,2732
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.4,3162
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.45,3660
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.5,4196
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.55,4905
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.6,5678
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.65,6575
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.7,7613
US,2022-05-15,2022-06-04,3 wk ahead inc death,quantile,0.75,9137
