"""forecast_date""","""target""","""target_end_date""","""location""","""type""","""quantile""","""value""",,,,,,
2020-05-29,0 day ahead inc death,2020-05-29,US,point,NA,1387.10309,,,,,,
2020-05-29,1 day ahead inc death,2020-05-30,US,point,NA,1434.242783,,,,,,
2020-05-29,2 day ahead inc death,2020-05-31,US,point,NA,1476.745261,,,,,,
2020-05-29,3 day ahead inc death,2020-06-01,US,point,NA,1537.136226,,,,,,
2020-05-29,4 day ahead inc death,2020-06-02,US,point,NA,1609.25841,,,,,,
2020-05-29,5 day ahead inc death,2020-06-03,US,point,NA,1678.773072,,,,,,
2020-05-29,6 day ahead inc death,2020-06-04,US,point,NA,1750.210863,,,,,,
2020-05-29,7 day ahead inc death,2020-06-05,US,point,NA,1821.683264,,,,,,
2020-05-29,8 day ahead inc death,2020-06-06,US,point,NA,1893.435425,,,,,,
2020-05-29,9 day ahead inc death,2020-06-07,US,point,NA,1964.95576,,,,,,
2020-05-29,10 day ahead inc death,2020-06-08,US,point,NA,2035.954298,,,,,,
2020-05-29,11 day ahead inc death,2020-06-09,US,point,NA,2106.034689,,,,,,
2020-05-29,12 day ahead inc death,2020-06-10,US,point,NA,2174.808199,,,,,,
2020-05-29,13 day ahead inc death,2020-06-11,US,point,NA,2241.859365,,,,,,
2020-05-29,14 day ahead inc death,2020-06-12,US,point,NA,2306.762558,,,,,,
2020-05-29,15 day ahead inc death,2020-06-13,US,point,NA,2369.08221,,,,,,
2020-05-29,16 day ahead inc death,2020-06-14,US,point,NA,2428.379326,,,,,,
2020-05-29,17 day ahead inc death,2020-06-15,US,point,NA,2484.216588,,,,,,
2020-05-29,18 day ahead inc death,2020-06-16,US,point,NA,2536.164508,,,,,,
2020-05-29,19 day ahead inc death,2020-06-17,US,point,NA,2583.807673,,,,,,
2020-05-29,20 day ahead inc death,2020-06-18,US,point,NA,2626.75122,,,,,,
2020-05-29,21 day ahead inc death,2020-06-19,US,point,NA,2664.627302,,,,,,
2020-05-29,22 day ahead inc death,2020-06-20,US,point,NA,2697.101402,,,,,,
2020-05-29,23 day ahead inc death,2020-06-21,US,point,NA,2723.878315,,,,,,
2020-05-29,24 day ahead inc death,2020-06-22,US,point,NA,2744.707625,,,,,,
2020-05-29,25 day ahead inc death,2020-06-23,US,point,NA,2759.388513,,,,,,
2020-05-29,26 day ahead inc death,2020-06-24,US,point,NA,2767.773734,,,,,,
2020-05-29,27 day ahead inc death,2020-06-25,US,point,NA,2769.772642,,,,,,
2020-05-29,28 day ahead inc death,2020-06-26,US,point,NA,2765.353154,,,,,,
2020-05-29,29 day ahead inc death,2020-06-27,US,point,NA,2754.542579,,,,,,
2020-05-29,30 day ahead inc death,2020-06-28,US,point,NA,2737.427289,,,,,,
2020-05-29,31 day ahead inc death,2020-06-29,US,point,NA,2714.151227,,,,,,
2020-05-29,32 day ahead inc death,2020-06-30,US,point,NA,2684.913302,,,,,,
2020-05-29,33 day ahead inc death,2020-07-01,US,point,NA,2649.963757,,,,,,
2020-05-29,34 day ahead inc death,2020-07-02,US,point,NA,2609.599607,,,,,,
2020-05-29,35 day ahead inc death,2020-07-03,US,point,NA,2536.28802,,,,,,
2020-05-29,36 day ahead inc death,2020-07-04,US,point,NA,2441.725361,,,,,,
2020-05-29,37 day ahead inc death,2020-07-05,US,point,NA,2351.722621,,,,,,
2020-05-29,38 day ahead inc death,2020-07-06,US,point,NA,2258.585595,,,,,,
2020-05-29,39 day ahead inc death,2020-07-07,US,point,NA,2165.612278,,,,,,
2020-05-29,40 day ahead inc death,2020-07-08,US,point,NA,2072.433033,,,,,,
