,forecast_date,target,target_end_date,location,type,quantile,value
131,2020-06-19,1 wk ahead inc death,2020-06-27,US,point,,3805
132,2020-06-19,2 wk ahead inc death,2020-07-04,US,point,,2942
133,2020-06-19,3 wk ahead inc death,2020-07-11,US,point,,2343
134,2020-06-19,4 wk ahead inc death,2020-07-18,US,point,,1871
135,2020-06-19,5 wk ahead inc death,2020-07-25,US,point,,1553
136,2020-06-19,6 wk ahead inc death,2020-08-01,US,point,,1352
137,2020-06-19,7 wk ahead inc death,2020-08-08,US,point,,1187
138,2020-06-19,8 wk ahead inc death,2020-08-15,US,point,,1082
139,2020-06-19,9 wk ahead inc death,2020-08-22,US,point,,995
140,2020-06-19,10 wk ahead inc death,2020-08-29,US,point,,952
141,2020-06-19,11 wk ahead inc death,2020-09-05,US,point,,915
142,2020-06-19,12 wk ahead inc death,2020-09-12,US,point,,1001
143,2020-06-19,13 wk ahead inc death,2020-09-19,US,point,,1275
144,2020-06-19,14 wk ahead inc death,2020-09-26,US,point,,1680
145,2020-06-19,15 wk ahead inc death,2020-10-03,US,point,,2213
146,2020-06-19,16 wk ahead inc death,2020-10-10,US,point,,2876
147,2020-06-19,17 wk ahead inc death,2020-10-17,US,point,,3660
148,2020-06-19,18 wk ahead inc death,2020-10-24,US,point,,4352
149,2020-06-19,19 wk ahead inc death,2020-10-31,US,point,,4792
150,2020-06-19,20 wk ahead inc death,2020-11-07,US,point,,5060
282,2020-06-19,1 wk ahead inc death,2020-06-27,48,point,,366
283,2020-06-19,2 wk ahead inc death,2020-07-04,48,point,,529
284,2020-06-19,3 wk ahead inc death,2020-07-11,48,point,,774
285,2020-06-19,4 wk ahead inc death,2020-07-18,48,point,,1069
286,2020-06-19,5 wk ahead inc death,2020-07-25,48,point,,1306
287,2020-06-19,6 wk ahead inc death,2020-08-01,48,point,,1385
288,2020-06-19,7 wk ahead inc death,2020-08-08,48,point,,1269
289,2020-06-19,8 wk ahead inc death,2020-08-15,48,point,,1009
290,2020-06-19,9 wk ahead inc death,2020-08-22,48,point,,711
291,2020-06-19,10 wk ahead inc death,2020-08-29,48,point,,474
292,2020-06-19,11 wk ahead inc death,2020-09-05,48,point,,320
293,2020-06-19,12 wk ahead inc death,2020-09-12,48,point,,245
294,2020-06-19,13 wk ahead inc death,2020-09-19,48,point,,219
295,2020-06-19,14 wk ahead inc death,2020-09-26,48,point,,202
296,2020-06-19,15 wk ahead inc death,2020-10-03,48,point,,195
297,2020-06-19,16 wk ahead inc death,2020-10-10,48,point,,187
298,2020-06-19,17 wk ahead inc death,2020-10-17,48,point,,178
299,2020-06-19,18 wk ahead inc death,2020-10-24,48,point,,174
300,2020-06-19,19 wk ahead inc death,2020-10-31,48,point,,171
301,2020-06-19,20 wk ahead inc death,2020-11-07,48,point,,165
