forecast_date,target,target_end_date,type,quantile,value,location
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.35,558596.9080818327,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.4,559022.9053516426,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.45,559390.4067369254,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.5,559748.7105807576,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.55,560263.1816494609,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.6,560634.8903144129,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.65,561019.2021863612,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.7,561789.3871470458,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.75,562351.4853156189,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.8,562940.1651597745,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.85,563628.6638340299,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.9,564510.4887170967,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.95,565974.5820764449,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.975,567480.493744966,US
2021-03-28,2 wk ahead cum death,2021-04-10,quantile,0.99,569309.2268202036,US
2021-03-28,2 wk ahead inc case,2021-04-10,point,,444080.0,US
2021-03-28,2 wk ahead inc case,2021-04-10,quantile,0.025,316622.9855734324,US
2021-03-28,2 wk ahead inc case,2021-04-10,quantile,0.1,367959.26298770105,US
2021-03-28,2 wk ahead inc case,2021-04-10,quantile,0.25,403457.873939252,US
2021-03-28,2 wk ahead inc case,2021-04-10,quantile,0.5,441936.30213428923,US
2021-03-28,2 wk ahead inc case,2021-04-10,quantile,0.75,480530.2834405806,US
2021-03-28,2 wk ahead inc case,2021-04-10,quantile,0.9,522424.9056297341,US
2021-03-28,2 wk ahead inc case,2021-04-10,quantile,0.975,606134.0807094529,US
2021-03-28,2 wk ahead inc death,2021-04-10,point,,5337.0,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.01,2331.068206571445,US
