forecast_date,target,target_end_date,type,quantile,value,location
2021-01-03,1 wk ahead inc case,2021-01-09,point,,24002.0,01
2021-01-03,1 wk ahead inc case,2021-01-09,point,,1688.0,02
2021-01-03,1 wk ahead inc case,2021-01-09,point,,40166.0,04
2021-01-03,1 wk ahead inc case,2021-01-09,point,,18142.0,05
2021-01-03,1 wk ahead inc case,2021-01-09,point,,268600.0,06
2021-01-03,1 wk ahead inc case,2021-01-09,point,,12950.0,08
2021-01-03,1 wk ahead inc case,2021-01-09,point,,15925.0,09
2021-01-03,1 wk ahead inc case,2021-01-09,point,,4327.0,10
2021-01-03,1 wk ahead inc case,2021-01-09,point,,1941.0,11
2021-01-03,1 wk ahead inc case,2021-01-09,point,,75312.0,12
2021-01-03,1 wk ahead inc case,2021-01-09,point,,58764.0,13
2021-01-03,1 wk ahead inc case,2021-01-09,point,,905.0,15
2021-01-03,1 wk ahead inc case,2021-01-09,point,,5763.0,16
2021-01-03,1 wk ahead inc case,2021-01-09,point,,36280.0,17
2021-01-03,1 wk ahead inc case,2021-01-09,point,,29325.0,18
2021-01-03,1 wk ahead inc case,2021-01-09,point,,7850.0,19
2021-01-03,1 wk ahead inc case,2021-01-09,point,,16439.0,21
2021-01-03,1 wk ahead inc case,2021-01-09,point,,21952.0,22
2021-01-03,1 wk ahead inc case,2021-01-09,point,,3759.0,23
2021-01-03,1 wk ahead inc case,2021-01-09,point,,17713.0,24
2021-01-03,1 wk ahead inc case,2021-01-09,point,,34181.0,25
2021-01-03,1 wk ahead inc case,2021-01-09,point,,19776.0,26
2021-01-03,1 wk ahead inc case,2021-01-09,point,,7290.0,27
2021-01-03,1 wk ahead inc case,2021-01-09,point,,14965.0,28
2021-01-03,1 wk ahead inc case,2021-01-09,point,,19403.0,29
2021-01-03,1 wk ahead inc case,2021-01-09,point,,2546.0,30
2021-01-03,1 wk ahead inc case,2021-01-09,point,,6728.0,31
2021-01-03,1 wk ahead inc case,2021-01-09,point,,12840.0,32
2021-01-03,1 wk ahead inc case,2021-01-09,point,,5585.0,33
2021-01-03,1 wk ahead inc case,2021-01-09,point,,26242.0,34
2021-01-03,1 wk ahead inc case,2021-01-09,point,,7743.0,35
2021-01-03,1 wk ahead inc case,2021-01-09,point,,75785.0,36
2021-01-03,1 wk ahead inc case,2021-01-09,point,,43914.0,37
2021-01-03,1 wk ahead inc case,2021-01-09,point,,1327.0,38
2021-01-03,1 wk ahead inc case,2021-01-09,point,,41681.0,39
2021-01-03,1 wk ahead inc case,2021-01-09,point,,18988.0,40
2021-01-03,1 wk ahead inc case,2021-01-09,point,,7379.0,41
2021-01-03,1 wk ahead inc case,2021-01-09,point,,44175.0,42
