forecast_date,target,target_end_date,type,quantile,value,location
2021-09-19,1 wk ahead inc death,2021-09-25,point,,0.0,60
2021-09-19,1 wk ahead inc death,2021-09-25,point,,20.0,66
2021-09-19,1 wk ahead inc death,2021-09-25,point,,0.0,69
2021-09-19,1 wk ahead inc death,2021-09-25,point,,70.0,72
2021-09-19,1 wk ahead inc death,2021-09-25,point,,3.0,78
2021-09-19,1 wk ahead inc death,2021-09-25,point,,287.0,01
2021-09-19,1 wk ahead inc death,2021-09-25,point,,19.0,02
2021-09-19,1 wk ahead inc death,2021-09-25,point,,229.0,04
2021-09-19,1 wk ahead inc death,2021-09-25,point,,221.0,05
2021-09-19,1 wk ahead inc death,2021-09-25,point,,1068.0,06
2021-09-19,1 wk ahead inc death,2021-09-25,point,,108.0,08
2021-09-19,1 wk ahead inc death,2021-09-25,point,,42.0,09
2021-09-19,1 wk ahead inc death,2021-09-25,point,,19.0,10
2021-09-19,1 wk ahead inc death,2021-09-25,point,,8.0,11
2021-09-19,1 wk ahead inc death,2021-09-25,point,,2465.0,12
2021-09-19,1 wk ahead inc death,2021-09-25,point,,969.0,13
2021-09-19,1 wk ahead inc death,2021-09-25,point,,53.0,15
2021-09-19,1 wk ahead inc death,2021-09-25,point,,139.0,16
2021-09-19,1 wk ahead inc death,2021-09-25,point,,309.0,17
2021-09-19,1 wk ahead inc death,2021-09-25,point,,327.0,18
2021-09-19,1 wk ahead inc death,2021-09-25,point,,72.0,19
2021-09-19,1 wk ahead inc death,2021-09-25,point,,132.0,20
2021-09-19,1 wk ahead inc death,2021-09-25,point,,271.0,21
2021-09-19,1 wk ahead inc death,2021-09-25,point,,308.0,22
2021-09-19,1 wk ahead inc death,2021-09-25,point,,28.0,23
2021-09-19,1 wk ahead inc death,2021-09-25,point,,116.0,24
2021-09-19,1 wk ahead inc death,2021-09-25,point,,119.0,25
2021-09-19,1 wk ahead inc death,2021-09-25,point,,180.0,26
2021-09-19,1 wk ahead inc death,2021-09-25,point,,81.0,27
2021-09-19,1 wk ahead inc death,2021-09-25,point,,274.0,28
2021-09-19,1 wk ahead inc death,2021-09-25,point,,168.0,29
2021-09-19,1 wk ahead inc death,2021-09-25,point,,46.0,30
2021-09-19,1 wk ahead inc death,2021-09-25,point,,28.0,31
2021-09-19,1 wk ahead inc death,2021-09-25,point,,137.0,32
2021-09-19,1 wk ahead inc death,2021-09-25,point,,22.0,33
2021-09-19,1 wk ahead inc death,2021-09-25,point,,133.0,34
2021-09-19,1 wk ahead inc death,2021-09-25,point,,79.0,35
2021-09-19,1 wk ahead inc death,2021-09-25,point,,605.0,37
2021-09-19,1 wk ahead inc death,2021-09-25,point,,14.0,38
2021-09-19,1 wk ahead inc death,2021-09-25,point,,227.0,40
2021-09-19,1 wk ahead inc death,2021-09-25,point,,174.0,41
2021-09-19,1 wk ahead inc death,2021-09-25,point,,296.0,42
2021-09-19,1 wk ahead inc death,2021-09-25,point,,25.0,44
2021-09-19,1 wk ahead inc death,2021-09-25,point,,471.0,45
2021-09-19,1 wk ahead inc death,2021-09-25,point,,21.0,46
2021-09-19,1 wk ahead inc death,2021-09-25,point,,515.0,47
2021-09-19,1 wk ahead inc death,2021-09-25,point,,1960.0,48
2021-09-19,1 wk ahead inc death,2021-09-25,point,,90.0,49
2021-09-19,1 wk ahead inc death,2021-09-25,point,,14.0,50
2021-09-19,1 wk ahead inc death,2021-09-25,point,,224.0,51
2021-09-19,1 wk ahead inc death,2021-09-25,point,,315.0,53
2021-09-19,1 wk ahead inc death,2021-09-25,point,,161.0,54
2021-09-19,1 wk ahead inc death,2021-09-25,point,,123.0,55
2021-09-19,1 wk ahead inc death,2021-09-25,point,,40.0,56
2021-09-19,2 wk ahead inc death,2021-10-02,point,,0.0,60
2021-09-19,2 wk ahead inc death,2021-10-02,point,,18.0,66
2021-09-19,2 wk ahead inc death,2021-10-02,point,,0.0,69
2021-09-19,2 wk ahead inc death,2021-10-02,point,,57.0,72
2021-09-19,2 wk ahead inc death,2021-10-02,point,,4.0,78
2021-09-19,2 wk ahead inc death,2021-10-02,point,,400.0,01
2021-09-19,2 wk ahead inc death,2021-10-02,point,,20.0,02
2021-09-19,2 wk ahead inc death,2021-10-02,point,,301.0,04
2021-09-19,2 wk ahead inc death,2021-10-02,point,,198.0,05
2021-09-19,2 wk ahead inc death,2021-10-02,point,,1169.0,06
2021-09-19,2 wk ahead inc death,2021-10-02,point,,115.0,08
2021-09-19,2 wk ahead inc death,2021-10-02,point,,48.0,09
2021-09-19,2 wk ahead inc death,2021-10-02,point,,25.0,10
2021-09-19,2 wk ahead inc death,2021-10-02,point,,8.0,11
2021-09-19,2 wk ahead inc death,2021-10-02,point,,2456.0,12
2021-09-19,2 wk ahead inc death,2021-10-02,point,,902.0,13
2021-09-19,2 wk ahead inc death,2021-10-02,point,,64.0,15
2021-09-19,2 wk ahead inc death,2021-10-02,point,,156.0,16
2021-09-19,2 wk ahead inc death,2021-10-02,point,,314.0,17
2021-09-19,2 wk ahead inc death,2021-10-02,point,,319.0,18
2021-09-19,2 wk ahead inc death,2021-10-02,point,,96.0,19
2021-09-19,2 wk ahead inc death,2021-10-02,point,,153.0,20
2021-09-19,2 wk ahead inc death,2021-10-02,point,,303.0,21
