forecast_date,target,target_end_date,type,quantile,location,value
2021-07-18,1 wk ahead inc case,2021-07-24,point,,US,272318.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,US,396060.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,US,605147.0
2021-07-18,4 wk ahead inc case,2021-08-14,point,,US,969356.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,66,64.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,69,0.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,72,694.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,78,115.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,01,7416.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,02,892.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,04,7540.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,05,10788.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,06,31728.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,08,4358.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,09,1007.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,10,408.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,11,282.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,12,36051.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,13,9876.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,15,846.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,16,1482.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,17,6774.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,18,4088.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,19,668.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,20,3829.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,21,4034.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,22,11638.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,23,234.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,24,1227.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,25,2101.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,26,2332.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,27,1808.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,28,3875.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,29,16924.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,30,526.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,31,902.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,32,7050.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,33,288.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,34,3658.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,35,1358.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,36,8328.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,37,8139.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,38,200.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,39,3564.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,40,5266.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,41,2344.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,42,2352.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,44,264.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,45,3988.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,46,127.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,47,5612.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,48,27264.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,49,4752.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,50,130.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,51,3131.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,53,6954.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,54,590.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,55,1778.0
2021-07-18,1 wk ahead inc case,2021-07-24,point,,56,668.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,66,58.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,69,0.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,72,820.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,78,124.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,01,12514.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,02,1282.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,04,10696.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,05,14533.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,06,51709.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,08,5728.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,09,1374.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,10,562.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,11,482.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,12,48062.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,13,14218.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,15,1132.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,16,1974.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,17,10256.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,18,5444.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,19,627.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,20,6138.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,21,6280.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,22,17690.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,23,365.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,24,1793.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,25,3296.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,26,3408.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,27,2647.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,28,5503.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,29,23016.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,30,609.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,31,1106.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,32,10159.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,33,392.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,34,5364.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,35,1892.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,36,12882.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,37,12318.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,38,330.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,39,5009.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,40,8382.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,41,3170.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,42,3335.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,44,416.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,45,5956.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,46,164.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,47,8523.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,48,39074.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,49,6405.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,50,208.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,51,4346.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,53,10272.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,54,722.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,55,2506.0
2021-07-18,2 wk ahead inc case,2021-07-31,point,,56,786.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,66,68.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,69,2.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,72,964.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,78,102.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,01,19714.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,02,1995.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,04,14168.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,05,21734.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,06,93479.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,08,7680.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,09,2066.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,10,743.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,11,809.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,12,67954.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,13,22690.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,15,1562.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,16,2856.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,17,15320.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,18,7908.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,19,633.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,20,9053.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,21,9857.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,22,28226.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,23,478.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,24,2712.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,25,5145.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,26,4790.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,27,3832.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,28,8610.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,29,29286.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,30,731.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,31,1490.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,32,15026.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,33,516.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,34,8134.0
2021-07-18,3 wk ahead inc case,2021-08-07,point,,35,2982.0
