target,forecast_date,target_end_date,type,quantile,value,location
1 wk ahead inc case,2022-01-09,2022-01-15,point,,5814132.0,US
1 wk ahead inc case,2022-01-09,2022-01-15,point,,1.0,60
1 wk ahead inc case,2022-01-09,2022-01-15,point,,1530.0,66
1 wk ahead inc case,2022-01-09,2022-01-15,point,,337.0,69
1 wk ahead inc case,2022-01-09,2022-01-15,point,,85325.0,01
1 wk ahead inc case,2022-01-09,2022-01-15,point,,12437.0,02
1 wk ahead inc case,2022-01-09,2022-01-15,point,,74124.0,04
1 wk ahead inc case,2022-01-09,2022-01-15,point,,57436.0,05
1 wk ahead inc case,2022-01-09,2022-01-15,point,,86313.0,08
1 wk ahead inc case,2022-01-09,2022-01-15,point,,91571.0,09
1 wk ahead inc case,2022-01-09,2022-01-15,point,,23507.0,10
1 wk ahead inc case,2022-01-09,2022-01-15,point,,24544.0,11
1 wk ahead inc case,2022-01-09,2022-01-15,point,,143712.0,13
1 wk ahead inc case,2022-01-09,2022-01-15,point,,34994.0,15
1 wk ahead inc case,2022-01-09,2022-01-15,point,,13095.0,16
1 wk ahead inc case,2022-01-09,2022-01-15,point,,313586.0,17
1 wk ahead inc case,2022-01-09,2022-01-15,point,,120540.0,18
1 wk ahead inc case,2022-01-09,2022-01-15,point,,37416.0,19
1 wk ahead inc case,2022-01-09,2022-01-15,point,,65976.0,20
1 wk ahead inc case,2022-01-09,2022-01-15,point,,78762.0,21
1 wk ahead inc case,2022-01-09,2022-01-15,point,,132005.0,22
1 wk ahead inc case,2022-01-09,2022-01-15,point,,6882.0,23
1 wk ahead inc case,2022-01-09,2022-01-15,point,,145186.0,24
1 wk ahead inc case,2022-01-09,2022-01-15,point,,248093.0,25
1 wk ahead inc case,2022-01-09,2022-01-15,point,,242254.0,26
1 wk ahead inc case,2022-01-09,2022-01-15,point,,61362.0,27
1 wk ahead inc case,2022-01-09,2022-01-15,point,,66863.0,28
1 wk ahead inc case,2022-01-09,2022-01-15,point,,120089.0,29
1 wk ahead inc case,2022-01-09,2022-01-15,point,,7765.0,30
1 wk ahead inc case,2022-01-09,2022-01-15,point,,32017.0,31
1 wk ahead inc case,2022-01-09,2022-01-15,point,,39418.0,32
1 wk ahead inc case,2022-01-09,2022-01-15,point,,29627.0,33
1 wk ahead inc case,2022-01-09,2022-01-15,point,,287367.0,34
1 wk ahead inc case,2022-01-09,2022-01-15,point,,31833.0,35
1 wk ahead inc case,2022-01-09,2022-01-15,point,,253922.0,37
1 wk ahead inc case,2022-01-09,2022-01-15,point,,8073.0,38
1 wk ahead inc case,2022-01-09,2022-01-15,point,,167532.0,39
1 wk ahead inc case,2022-01-09,2022-01-15,point,,40695.0,40
1 wk ahead inc case,2022-01-09,2022-01-15,point,,60524.0,41
1 wk ahead inc case,2022-01-09,2022-01-15,point,,248232.0,42
1 wk ahead inc case,2022-01-09,2022-01-15,point,,59388.0,44
1 wk ahead inc case,2022-01-09,2022-01-15,point,,113839.0,45
1 wk ahead inc case,2022-01-09,2022-01-15,point,,18115.0,46
1 wk ahead inc case,2022-01-09,2022-01-15,point,,96273.0,47
1 wk ahead inc case,2022-01-09,2022-01-15,point,,67030.0,49
1 wk ahead inc case,2022-01-09,2022-01-15,point,,18385.0,50
1 wk ahead inc case,2022-01-09,2022-01-15,point,,147116.0,51
1 wk ahead inc case,2022-01-09,2022-01-15,point,,130836.0,53
1 wk ahead inc case,2022-01-09,2022-01-15,point,,38368.0,54
1 wk ahead inc case,2022-01-09,2022-01-15,point,,74129.0,55
1 wk ahead inc case,2022-01-09,2022-01-15,point,,6277.0,56
1 wk ahead cum death,2022-01-09,2022-01-15,point,,848665.0,US
1 wk ahead inc death,2022-01-09,2022-01-15,point,,11404.0,US
2 wk ahead cum death,2022-01-09,2022-01-22,point,,866111.0,US
2 wk ahead inc death,2022-01-09,2022-01-22,point,,17446.0,US
1 wk ahead inc death,2022-01-09,2022-01-15,point,,2.0,66
1 wk ahead inc death,2022-01-09,2022-01-15,point,,6.0,69
1 wk ahead inc death,2022-01-09,2022-01-15,point,,52.0,72
1 wk ahead inc death,2022-01-09,2022-01-15,point,,125.0,01
1 wk ahead inc death,2022-01-09,2022-01-15,point,,7.0,02
1 wk ahead inc death,2022-01-09,2022-01-15,point,,346.0,04
1 wk ahead inc death,2022-01-09,2022-01-15,point,,148.0,05
1 wk ahead inc death,2022-01-09,2022-01-15,point,,490.0,06
1 wk ahead inc death,2022-01-09,2022-01-15,point,,164.0,08
1 wk ahead inc death,2022-01-09,2022-01-15,point,,184.0,09
1 wk ahead inc death,2022-01-09,2022-01-15,point,,192.0,12
1 wk ahead inc death,2022-01-09,2022-01-15,point,,181.0,13
1 wk ahead inc death,2022-01-09,2022-01-15,point,,65.0,16
1 wk ahead inc death,2022-01-09,2022-01-15,point,,497.0,17
1 wk ahead inc death,2022-01-09,2022-01-15,point,,431.0,18
1 wk ahead inc death,2022-01-09,2022-01-15,point,,124.0,19
1 wk ahead inc death,2022-01-09,2022-01-15,point,,82.0,20
1 wk ahead inc death,2022-01-09,2022-01-15,point,,233.0,21
1 wk ahead inc death,2022-01-09,2022-01-15,point,,72.0,22
1 wk ahead inc death,2022-01-09,2022-01-15,point,,290.0,25
1 wk ahead inc death,2022-01-09,2022-01-15,point,,783.0,26
1 wk ahead inc death,2022-01-09,2022-01-15,point,,228.0,27
1 wk ahead inc death,2022-01-09,2022-01-15,point,,86.0,28
1 wk ahead inc death,2022-01-09,2022-01-15,point,,263.0,29
1 wk ahead inc death,2022-01-09,2022-01-15,point,,17.0,30
1 wk ahead inc death,2022-01-09,2022-01-15,point,,76.0,31
1 wk ahead inc death,2022-01-09,2022-01-15,point,,83.0,32
1 wk ahead inc death,2022-01-09,2022-01-15,point,,74.0,33
1 wk ahead inc death,2022-01-09,2022-01-15,point,,339.0,34
1 wk ahead inc death,2022-01-09,2022-01-15,point,,131.0,35
1 wk ahead inc death,2022-01-09,2022-01-15,point,,740.0,36
1 wk ahead inc death,2022-01-09,2022-01-15,point,,176.0,37
1 wk ahead inc death,2022-01-09,2022-01-15,point,,19.0,38
1 wk ahead inc death,2022-01-09,2022-01-15,point,,165.0,40
1 wk ahead inc death,2022-01-09,2022-01-15,point,,89.0,41
1 wk ahead inc death,2022-01-09,2022-01-15,point,,755.0,42
1 wk ahead inc death,2022-01-09,2022-01-15,point,,55.0,44
1 wk ahead inc death,2022-01-09,2022-01-15,point,,129.0,45
1 wk ahead inc death,2022-01-09,2022-01-15,point,,36.0,46
1 wk ahead inc death,2022-01-09,2022-01-15,point,,234.0,47
1 wk ahead inc death,2022-01-09,2022-01-15,point,,705.0,48
1 wk ahead inc death,2022-01-09,2022-01-15,point,,84.0,49
1 wk ahead inc death,2022-01-09,2022-01-15,point,,14.0,50
1 wk ahead inc death,2022-01-09,2022-01-15,point,,166.0,51
1 wk ahead inc death,2022-01-09,2022-01-15,point,,120.0,53
1 wk ahead inc death,2022-01-09,2022-01-15,point,,75.0,54
1 wk ahead inc death,2022-01-09,2022-01-15,point,,222.0,55
1 wk ahead inc death,2022-01-09,2022-01-15,point,,46.0,56
2 wk ahead inc death,2022-01-09,2022-01-22,point,,5.0,66
2 wk ahead inc death,2022-01-09,2022-01-22,point,,5.0,69
2 wk ahead inc death,2022-01-09,2022-01-22,point,,63.0,72
2 wk ahead inc death,2022-01-09,2022-01-22,point,,170.0,01
2 wk ahead inc death,2022-01-09,2022-01-22,point,,12.0,02
2 wk ahead inc death,2022-01-09,2022-01-22,point,,368.0,04
2 wk ahead inc death,2022-01-09,2022-01-22,point,,189.0,05
2 wk ahead inc death,2022-01-09,2022-01-22,point,,580.0,06
2 wk ahead inc death,2022-01-09,2022-01-22,point,,177.0,08
2 wk ahead inc death,2022-01-09,2022-01-22,point,,230.0,09
2 wk ahead inc death,2022-01-09,2022-01-22,point,,239.0,12
2 wk ahead inc death,2022-01-09,2022-01-22,point,,186.0,13
2 wk ahead inc death,2022-01-09,2022-01-22,point,,77.0,16
2 wk ahead inc death,2022-01-09,2022-01-22,point,,527.0,17
2 wk ahead inc death,2022-01-09,2022-01-22,point,,456.0,18
2 wk ahead inc death,2022-01-09,2022-01-22,point,,139.0,19
2 wk ahead inc death,2022-01-09,2022-01-22,point,,97.0,20
2 wk ahead inc death,2022-01-09,2022-01-22,point,,269.0,21
2 wk ahead inc death,2022-01-09,2022-01-22,point,,99.0,22
2 wk ahead inc death,2022-01-09,2022-01-22,point,,317.0,25
2 wk ahead inc death,2022-01-09,2022-01-22,point,,816.0,26
2 wk ahead inc death,2022-01-09,2022-01-22,point,,234.0,27
2 wk ahead inc death,2022-01-09,2022-01-22,point,,119.0,28
2 wk ahead inc death,2022-01-09,2022-01-22,point,,294.0,29
2 wk ahead inc death,2022-01-09,2022-01-22,point,,23.0,30
2 wk ahead inc death,2022-01-09,2022-01-22,point,,94.0,31
2 wk ahead inc death,2022-01-09,2022-01-22,point,,108.0,32
2 wk ahead inc death,2022-01-09,2022-01-22,point,,84.0,33
2 wk ahead inc death,2022-01-09,2022-01-22,point,,382.0,34
2 wk ahead inc death,2022-01-09,2022-01-22,point,,146.0,35
2 wk ahead inc death,2022-01-09,2022-01-22,point,,762.0,36
2 wk ahead inc death,2022-01-09,2022-01-22,point,,198.0,37
2 wk ahead inc death,2022-01-09,2022-01-22,point,,23.0,38
2 wk ahead inc death,2022-01-09,2022-01-22,point,,193.0,40
