forecast_date,target,target_end_date,type,quantile,location,value
2020-11-29,1 wk ahead inc case,2020-12-05,point,,US,1225109.0
2020-11-29,1 wk ahead inc case,2020-12-05,quantile,0.025,US,850277.1346503372
2020-11-29,1 wk ahead inc case,2020-12-05,quantile,0.1,US,953643.6680866793
2020-11-29,1 wk ahead inc case,2020-12-05,quantile,0.25,US,1067663.5685434665
2020-11-29,1 wk ahead inc case,2020-12-05,quantile,0.5,US,1201489.0807079403
2020-11-29,1 wk ahead inc case,2020-12-05,quantile,0.75,US,1348497.1356225994
2020-11-29,1 wk ahead inc case,2020-12-05,quantile,0.9,US,1511595.3968156965
2020-11-29,1 wk ahead inc case,2020-12-05,quantile,0.975,US,1770518.496752701
2020-11-29,2 wk ahead inc case,2020-12-12,point,,US,1377579.0
2020-11-29,2 wk ahead inc case,2020-12-12,quantile,0.025,US,932198.499069461
2020-11-29,2 wk ahead inc case,2020-12-12,quantile,0.1,US,1035608.7351353723
2020-11-29,2 wk ahead inc case,2020-12-12,quantile,0.25,US,1147587.0597385543
2020-11-29,2 wk ahead inc case,2020-12-12,quantile,0.5,US,1286997.5040246383
2020-11-29,2 wk ahead inc case,2020-12-12,quantile,0.75,US,1448311.4662640772
2020-11-29,2 wk ahead inc case,2020-12-12,quantile,0.9,US,1715376.1515014207
2020-11-29,2 wk ahead inc case,2020-12-12,quantile,0.975,US,2985861.5460502733
2020-11-29,3 wk ahead inc case,2020-12-19,point,,US,1529924.0
2020-11-29,3 wk ahead inc case,2020-12-19,quantile,0.025,US,1034588.6363628388
2020-11-29,3 wk ahead inc case,2020-12-19,quantile,0.1,US,1168467.1438526842
2020-11-29,3 wk ahead inc case,2020-12-19,quantile,0.25,US,1290992.3601623103
2020-11-29,3 wk ahead inc case,2020-12-19,quantile,0.5,US,1438496.8034803646
2020-11-29,3 wk ahead inc case,2020-12-19,quantile,0.75,US,1616459.3426350155
2020-11-29,3 wk ahead inc case,2020-12-19,quantile,0.9,US,1893724.4624486393
2020-11-29,3 wk ahead inc case,2020-12-19,quantile,0.975,US,3338873.12552414
2020-11-29,4 wk ahead inc case,2020-12-26,point,,US,1681482.0
2020-11-29,4 wk ahead inc case,2020-12-26,quantile,0.025,US,1173213.243894277
2020-11-29,4 wk ahead inc case,2020-12-26,quantile,0.1,US,1304635.748538994
2020-11-29,4 wk ahead inc case,2020-12-26,quantile,0.25,US,1438562.170746987
2020-11-29,4 wk ahead inc case,2020-12-26,quantile,0.5,US,1579755.2658515773
2020-11-29,4 wk ahead inc case,2020-12-26,quantile,0.75,US,1759295.4631391414
2020-11-29,4 wk ahead inc case,2020-12-26,quantile,0.9,US,2048942.0675773039
2020-11-29,4 wk ahead inc case,2020-12-26,quantile,0.975,US,3606174.5322180605
2020-11-29,1 wk ahead inc death,2020-12-05,point,,US,11514.0
2020-11-29,1 wk ahead inc death,2020-12-05,quantile,0.01,US,3669.501323410976
2020-11-29,1 wk ahead inc death,2020-12-05,quantile,0.025,US,4663.408475868058
2020-11-29,1 wk ahead inc death,2020-12-05,quantile,0.05,US,5507.036779380019
2020-11-29,1 wk ahead inc death,2020-12-05,quantile,0.1,US,6421.313056245789
2020-11-29,1 wk ahead inc death,2020-12-05,quantile,0.15,US,7052.005399467679
