target,forecast_date,target_end_date,type,quantile,location,value
1 wk ahead inc case,2021-12-26,2022-01-01,point,,34,93871.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,34,139392.0
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.025,34,53919.0618424331
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.1,34,62465.825712274
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.25,34,73695.0147852498
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.5,34,94290.34562705971
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.75,34,108217.802754838
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.9,34,131280.936744232
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.975,34,137885.70418861302
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.025,34,79893.73890822519
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.1,34,98807.320827634
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.25,34,114786.73988777699
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.5,34,144780.025994981
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.75,34,164907.593798047
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.9,34,172778.916133268
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.975,34,192424.356925998
1 wk ahead inc case,2021-12-26,2022-01-01,point,,24,37014.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,24,56159.0
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.025,24,21583.5239549412
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.1,24,24773.1590236929
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.25,24,29179.415149211898
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.5,24,37345.5558938008
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.75,24,42077.271926241694
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.9,24,47061.8850467945
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.975,24,72646.7300031284
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.025,24,32422.966302688503
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.1,24,37399.0775540194
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.25,24,42115.03894726
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.5,24,56876.1550796272
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.75,24,61769.5060127689
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.9,24,78686.37020184929
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.975,24,106543.267195319
1 wk ahead inc case,2021-12-26,2022-01-01,point,,36,218463.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,36,285774.0
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.025,36,121718.888371241
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.1,36,148759.145608422
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.25,36,163956.387074083
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.5,36,225711.62586988
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.75,36,253809.922048249
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.9,36,279841.475097743
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.975,36,361822.130776383
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.025,36,160325.48761866402
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.1,36,191731.161363841
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.25,36,219703.21267219397
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.5,36,291557.041683224
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.75,36,333922.66188913
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.9,36,367985.494635006
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.975,36,466303.689849914
1 wk ahead inc case,2021-12-26,2022-01-01,point,,17,106037.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,17,132688.0
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.025,17,67558.5544955537
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.1,17,77516.7617008848
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.25,17,88486.1976246626
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.5,17,95245.3537707956
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.75,17,121487.105955719
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.9,17,143311.387523745
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.975,17,148940.247743026
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.025,17,79607.7047333096
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.1,17,95556.63384693301
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.25,17,108646.03205330699
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.5,17,122390.079347205
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.75,17,158611.030612367
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.9,17,178849.29014069398
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.975,17,188101.79066640802
1 wk ahead inc case,2021-12-26,2022-01-01,point,,15,9900.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,15,16694.0
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.025,15,5405.68062876943
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.1,15,5867.61744350471
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.25,15,6516.46613882188
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.5,15,8066.65437837697
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.75,15,11757.680712251698
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.9,15,17251.832011063
1 wk ahead inc case,2021-12-26,2022-01-01,quantile,0.975,15,18183.830584808202
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.025,15,8730.1801281103
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.1,15,9879.84482544118
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.25,15,11162.1154888764
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.5,15,12835.3285258079
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.75,15,23882.124973296402
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.9,15,26591.6332309965
2 wk ahead inc case,2021-12-26,2022-01-08,quantile,0.975,15,32656.8937768859
1 wk ahead inc case,2021-12-26,2022-01-01,point,,US,1496740.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,US,1850564.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,US,2397694.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,US,3272890.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,60,2.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,66,96.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,69,388.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,78,350.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,01,10320.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,02,952.0
