target,location,forecast_date,target_end_date,type,quantile,value
1 wk ahead inc death,09,2022-01-16,2022-01-22,point,,226.0
2 wk ahead inc death,09,2022-01-16,2022-01-29,point,,320.0
1 wk ahead cum death,09,2022-01-16,2022-01-22,point,,9782.0
2 wk ahead cum death,09,2022-01-16,2022-01-29,point,,10102.0
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.01,99.48598706770008
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.025,129.1075531812993
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.05,146.6684701752059
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.1,169.87390927583175
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.15,184.84091445940825
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.2,188.49505984031686
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.25,189.3405693647528
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.3,197.77123033810778
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.35,200.04395936977892
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.4,202.22807464143955
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.45,211.85342802733777
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.5,213.11753289520448
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.55,216.98283164672034
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.6,227.82938386907273
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.65,236.29356262361
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.7,258.5769273240603
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.75,270.7430001194554
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.8,272.42627121924147
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.85,274.06115228002994
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.9,285.2501116446751
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.95,307.3774789783048
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.975,374.0762694002516
1 wk ahead inc death,09,2022-01-16,2022-01-22,quantile,0.99,398.21501598304565
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.01,148.6821065219662
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.025,182.4978051405451
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.05,217.8482888170147
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.1,241.0185916654957
