target,forecast_date,target_end_date,type,quantile,location,value
1 wk ahead inc case,2022-01-02,2022-01-08,point,,US,3385174.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,60,1.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,66,188.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,69,598.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,01,40055.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,02,1614.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,04,39529.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,05,25380.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,06,296780.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,08,50210.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,09,36392.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,10,16208.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,11,19461.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,12,551242.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,13,150184.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,15,23336.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,16,3606.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,17,136872.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,18,44651.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,19,11948.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,20,12372.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,21,17892.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,22,37820.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,23,5417.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,24,82946.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,25,99224.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,26,58890.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,27,25120.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,28,16838.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,29,30890.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,30,2080.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,31,7562.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,32,11167.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,33,6938.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,34,246520.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,35,7066.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,36,471538.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,37,81057.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,38,3701.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,39,113024.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,40,15806.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,41,10310.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,42,126771.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,44,12521.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,45,35729.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,46,3096.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,47,54680.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,48,116612.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,49,12100.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,50,4514.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,51,87319.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,53,40972.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,54,7736.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,55,37924.0
1 wk ahead inc case,2022-01-02,2022-01-08,point,,56,1410.0
1 wk ahead inc case,2022-01-02,2022-01-08,quantile,0.025,US,2107950.7127894373
1 wk ahead inc case,2022-01-02,2022-01-08,quantile,0.1,US,2501314.8346330663
