forecast_date,target,target_end_date,type,quantile,value,location
2021-01-10,1 wk ahead inc case,2021-01-16,point,,30797.0,01
2021-01-10,1 wk ahead inc case,2021-01-16,point,,2458.0,02
2021-01-10,1 wk ahead inc case,2021-01-16,point,,65109.0,04
2021-01-10,1 wk ahead inc case,2021-01-16,point,,20631.0,05
2021-01-10,1 wk ahead inc case,2021-01-16,point,,272891.0,06
2021-01-10,1 wk ahead inc case,2021-01-16,point,,21214.0,08
2021-01-10,1 wk ahead inc case,2021-01-16,point,,18097.0,09
2021-01-10,1 wk ahead inc case,2021-01-16,point,,5637.0,10
2021-01-10,1 wk ahead inc case,2021-01-16,point,,2108.0,11
2021-01-10,1 wk ahead inc case,2021-01-16,point,,62748.0,13
2021-01-10,1 wk ahead inc case,2021-01-16,point,,1299.0,15
2021-01-10,1 wk ahead inc case,2021-01-16,point,,7142.0,16
2021-01-10,1 wk ahead inc case,2021-01-16,point,,45256.0,17
2021-01-10,1 wk ahead inc case,2021-01-16,point,,37428.0,18
2021-01-10,1 wk ahead inc case,2021-01-16,point,,13797.0,19
2021-01-10,1 wk ahead inc case,2021-01-16,point,,13993.0,20
2021-01-10,1 wk ahead inc case,2021-01-16,point,,34454.0,21
2021-01-10,1 wk ahead inc case,2021-01-16,point,,30040.0,22
2021-01-10,1 wk ahead inc case,2021-01-16,point,,3971.0,23
2021-01-10,1 wk ahead inc case,2021-01-16,point,,20432.0,24
2021-01-10,1 wk ahead inc case,2021-01-16,point,,44523.0,25
2021-01-10,1 wk ahead inc case,2021-01-16,point,,31085.0,26
2021-01-10,1 wk ahead inc case,2021-01-16,point,,18925.0,27
2021-01-10,1 wk ahead inc case,2021-01-16,point,,14889.0,28
2021-01-10,1 wk ahead inc case,2021-01-16,point,,21302.0,29
2021-01-10,1 wk ahead inc case,2021-01-16,point,,4408.0,30
2021-01-10,1 wk ahead inc case,2021-01-16,point,,7463.0,31
2021-01-10,1 wk ahead inc case,2021-01-16,point,,17779.0,32
2021-01-10,1 wk ahead inc case,2021-01-16,point,,5860.0,33
2021-01-10,1 wk ahead inc case,2021-01-16,point,,35917.0,34
2021-01-10,1 wk ahead inc case,2021-01-16,point,,9424.0,35
2021-01-10,1 wk ahead inc case,2021-01-16,point,,60933.0,37
2021-01-10,1 wk ahead inc case,2021-01-16,point,,1828.0,38
2021-01-10,1 wk ahead inc case,2021-01-16,point,,59290.0,39
2021-01-10,1 wk ahead inc case,2021-01-16,point,,30221.0,40
2021-01-10,1 wk ahead inc case,2021-01-16,point,,8343.0,41
2021-01-10,1 wk ahead inc case,2021-01-16,point,,62018.0,42
2021-01-10,1 wk ahead inc case,2021-01-16,point,,10750.0,44
2021-01-10,1 wk ahead inc case,2021-01-16,point,,36781.0,45
2021-01-10,1 wk ahead inc case,2021-01-16,point,,3310.0,46
2021-01-10,1 wk ahead inc case,2021-01-16,point,,49110.0,47
2021-01-10,1 wk ahead inc case,2021-01-16,point,,190349.0,48
2021-01-10,1 wk ahead inc case,2021-01-16,point,,23391.0,49
2021-01-10,1 wk ahead inc case,2021-01-16,point,,1188.0,50
2021-01-10,1 wk ahead inc case,2021-01-16,point,,34147.0,51
2021-01-10,1 wk ahead inc case,2021-01-16,point,,23437.0,53
2021-01-10,1 wk ahead inc case,2021-01-16,point,,11056.0,54
2021-01-10,1 wk ahead inc case,2021-01-16,point,,26027.0,55
2021-01-10,1 wk ahead inc case,2021-01-16,point,,2473.0,56
2021-01-10,1 wk ahead inc case,2021-01-16,point,,0.0,60
2021-01-10,1 wk ahead inc case,2021-01-16,point,,95.0,66
2021-01-10,1 wk ahead inc case,2021-01-16,point,,4.0,69
2021-01-10,1 wk ahead inc case,2021-01-16,point,,4689.0,72
2021-01-10,1 wk ahead inc case,2021-01-16,point,,137.0,78
2021-01-10,2 wk ahead inc case,2021-01-23,point,,30326.0,01
2021-01-10,2 wk ahead inc case,2021-01-23,point,,2533.0,02
2021-01-10,2 wk ahead inc case,2021-01-23,point,,65513.0,04
2021-01-10,2 wk ahead inc case,2021-01-23,point,,19799.0,05
2021-01-10,2 wk ahead inc case,2021-01-23,point,,272693.0,06
2021-01-10,2 wk ahead inc case,2021-01-23,point,,21547.0,08
2021-01-10,2 wk ahead inc case,2021-01-23,point,,18066.0,09
2021-01-10,2 wk ahead inc case,2021-01-23,point,,5848.0,10
2021-01-10,2 wk ahead inc case,2021-01-23,point,,2031.0,11
2021-01-10,2 wk ahead inc case,2021-01-23,point,,61912.0,13
2021-01-10,2 wk ahead inc case,2021-01-23,point,,1349.0,15
2021-01-10,2 wk ahead inc case,2021-01-23,point,,7284.0,16
2021-01-10,2 wk ahead inc case,2021-01-23,point,,45612.0,17
2021-01-10,2 wk ahead inc case,2021-01-23,point,,40270.0,18
2021-01-10,2 wk ahead inc case,2021-01-23,point,,15078.0,19
2021-01-10,2 wk ahead inc case,2021-01-23,point,,14157.0,20
2021-01-10,2 wk ahead inc case,2021-01-23,point,,36864.0,21
2021-01-10,2 wk ahead inc case,2021-01-23,point,,30212.0,22
2021-01-10,2 wk ahead inc case,2021-01-23,point,,4487.0,23
2021-01-10,2 wk ahead inc case,2021-01-23,point,,20013.0,24
2021-01-10,2 wk ahead inc case,2021-01-23,point,,45171.0,25
2021-01-10,2 wk ahead inc case,2021-01-23,point,,31261.0,26
2021-01-10,2 wk ahead inc case,2021-01-23,point,,19706.0,27
2021-01-10,2 wk ahead inc case,2021-01-23,point,,15073.0,28
2021-01-10,2 wk ahead inc case,2021-01-23,point,,21603.0,29
2021-01-10,2 wk ahead inc case,2021-01-23,point,,4865.0,30
2021-01-10,2 wk ahead inc case,2021-01-23,point,,7897.0,31
2021-01-10,2 wk ahead inc case,2021-01-23,point,,17361.0,32
2021-01-10,2 wk ahead inc case,2021-01-23,point,,5924.0,33
