forecast_date,target,target_end_date,type,quantile,location,value
2021-09-12,1 wk ahead inc case,2021-09-18,point,,US,982241.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,US,904018.0
2021-09-12,3 wk ahead inc case,2021-10-02,point,,US,844299.0
2021-09-12,4 wk ahead inc case,2021-10-09,point,,US,791560.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,69,8.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,72,2774.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,78,250.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,01,25016.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,02,4587.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,04,18218.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,05,10756.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,06,48218.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,08,13225.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,09,3555.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,10,2783.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,11,996.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,12,99739.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,13,47150.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,15,4290.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,16,7608.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,17,25198.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,18,25980.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,19,8874.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,20,9005.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,21,26992.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,22,13882.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,23,2620.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,24,7039.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,25,10949.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,26,17312.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,27,10834.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,28,12494.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,29,14254.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,30,4270.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,31,5538.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,32,7082.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,33,2520.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,34,13836.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,35,4296.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,36,30936.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,37,40776.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,38,3102.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,39,45909.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,40,16150.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,41,11589.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,42,27048.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,44,2111.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,45,30846.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,46,2905.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,47,53653.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,48,118703.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,49,10808.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,50,1106.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,51,23534.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,53,21796.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,54,11653.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,55,12428.0
2021-09-12,1 wk ahead inc case,2021-09-18,point,,56,3446.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,69,11.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,72,2212.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,78,313.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,01,23156.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,02,4393.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,04,17589.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,05,10047.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,06,37392.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,08,12406.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,09,3046.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,10,2877.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,11,846.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,12,93959.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,13,38696.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,15,4124.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,16,8248.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,17,22327.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,18,23260.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,19,8510.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,20,8827.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,21,23650.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,22,11438.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,23,2996.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,24,7066.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,25,10534.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,26,16821.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,27,10434.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,28,9943.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,29,14418.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,30,4432.0
2021-09-12,2 wk ahead inc case,2021-09-25,point,,31,5680.0
