forecast_date,target,target_end_date,type,quantile,location,value
2021-09-05,1 wk ahead inc case,2021-09-11,point,,US,1181578.0
2021-09-05,2 wk ahead inc case,2021-09-18,point,,US,1184418.0
2021-09-05,3 wk ahead inc case,2021-09-25,point,,US,1200668.0
2021-09-05,4 wk ahead inc case,2021-10-02,point,,US,1211412.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,69,11.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,72,3958.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,78,228.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,01,34984.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,02,4425.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,04,22424.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,05,14013.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,06,96850.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,08,13342.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,09,4744.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,10,3050.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,11,1436.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,12,135611.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,13,66266.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,15,6993.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,16,8540.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,17,31824.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,18,31861.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,19,9114.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,20,11854.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,21,30198.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,23,2823.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,24,9102.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,25,12870.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,26,17072.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,27,12148.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,28,18618.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,29,15590.0
2021-09-05,1 wk ahead inc case,2021-09-11,point,,30,4716.0
