forecast_date,target,location,target_end_date,type,quantile,value
2020-08-03,1 wk ahead inc death,US,2020-08-08,point,NA,8140.53622504355
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.01,4349.30987060058
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.025,4946.27767940961
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.05,5459.8036323327
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.1,6051.88226989842
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.15,6451.49053285222
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.2,6768.92812444333
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.25,7041.30385440853
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.3,7285.90909171169
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.35,7512.57107055188
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.4,7727.64571354541
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.45,7935.74513889847
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.5,8140.53622504355
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.55,8345.32731118863
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.6,8553.42673654169
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.65,8768.50137953522
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.7,8995.1633583754
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.75,9239.76859567856
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.8,9512.14432564377
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.85,9829.58191723488
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.9,10229.1901801887
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.95,10821.2688177544
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.975,11334.7947706775
2020-08-03,1 wk ahead inc death,US,2020-08-08,quantile,0.99,11931.7625794865
2020-08-03,2 wk ahead inc death,US,2020-08-15,point,NA,10053.6576611931
2020-08-03,2 wk ahead inc death,US,2020-08-15,quantile,0.01,5272.54243163501
2020-08-03,2 wk ahead inc death,US,2020-08-15,quantile,0.025,6025.3784839873
2020-08-03,2 wk ahead inc death,US,2020-08-15,quantile,0.05,6672.98601905747
2020-08-03,2 wk ahead inc death,US,2020-08-15,quantile,0.1,7419.65633797525
2020-08-03,2 wk ahead inc death,US,2020-08-15,quantile,0.15,7923.6022840216
2020-08-03,2 wk ahead inc death,US,2020-08-15,quantile,0.2,8323.92280347882
