,date,location,location_name,cases,deaths,hosps
0,2021-08-23,60,American Samoa,0,0,0
1,2021-08-24,60,American Samoa,0,0,0
2,2021-08-25,60,American Samoa,0,0,0
3,2021-08-26,60,American Samoa,0,0,0
4,2021-08-27,60,American Samoa,0,0,0
5,2021-08-28,60,American Samoa,0,0,0
6,2021-08-29,60,American Samoa,0,0,0
7,2021-08-30,60,American Samoa,0,0,0
8,2021-08-31,60,American Samoa,0,0,0
9,2021-09-01,60,American Samoa,0,0,0
10,2021-09-02,60,American Samoa,0,0,0
11,2021-09-03,60,American Samoa,0,0,0
12,2021-09-04,60,American Samoa,0,0,0
13,2021-09-05,60,American Samoa,0,0,0
14,2021-09-06,60,American Samoa,0,0,0
15,2021-09-07,60,American Samoa,0,0,0
16,2021-09-08,60,American Samoa,0,0,0
17,2021-09-09,60,American Samoa,0,0,0
18,2021-09-10,60,American Samoa,0,0,0
19,2021-09-11,60,American Samoa,0,0,0
20,2021-09-12,60,American Samoa,0,0,0
21,2021-09-13,60,American Samoa,0,0,0
22,2021-09-14,60,American Samoa,0,0,0
23,2021-09-15,60,American Samoa,0,0,0
24,2021-09-16,60,American Samoa,0,0,0
25,2021-09-17,60,American Samoa,0,0,0
26,2021-09-18,60,American Samoa,0,0,0
27,2021-09-19,60,American Samoa,0,0,0
28,2021-09-20,60,American Samoa,0,0,0
29,2021-09-21,60,American Samoa,0,0,0
30,2021-09-22,60,American Samoa,0,0,0
31,2021-09-23,60,American Samoa,0,0,0
32,2021-09-24,60,American Samoa,0,0,0
33,2021-09-25,60,American Samoa,0,0,0
34,2021-09-26,60,American Samoa,0,0,0
35,2021-09-27,60,American Samoa,0,0,0
36,2021-09-28,60,American Samoa,0,0,0
37,2021-09-29,60,American Samoa,0,0,0
38,2021-09-30,60,American Samoa,0,0,0
39,2021-10-01,60,American Samoa,0,0,0
40,2021-10-02,60,American Samoa,0,0,0
41,2021-10-03,60,American Samoa,0,0,0
42,2021-10-04,60,American Samoa,0,0,0
43,2021-10-05,60,American Samoa,0,0,0
44,2021-10-06,60,American Samoa,3,0,0
45,2021-10-07,60,American Samoa,0,0,0
46,2021-10-08,60,American Samoa,0,0,0
47,2021-10-09,60,American Samoa,0,0,0
48,2021-10-10,60,American Samoa,0,0,0
49,2021-10-11,60,American Samoa,0,0,0
50,2021-10-12,60,American Samoa,0,0,0
51,2021-10-13,60,American Samoa,0,0,0
52,2021-10-14,60,American Samoa,0,0,0
53,2021-10-15,60,American Samoa,0,0,0
54,2021-10-16,60,American Samoa,0,0,0
55,2021-10-17,60,American Samoa,0,0,0
56,2021-10-18,60,American Samoa,0,0,0
57,2021-10-19,60,American Samoa,0,0,0
58,2021-10-20,60,American Samoa,0,0,0
59,2021-10-21,60,American Samoa,0,0,0
60,2021-10-22,60,American Samoa,0,0,0
61,2021-10-23,60,American Samoa,0,0,0
62,2021-10-24,60,American Samoa,0,0,0
63,2021-10-25,60,American Samoa,1,0,0
64,2021-10-26,60,American Samoa,0,0,0
65,2021-10-27,60,American Samoa,0,0,0
66,2021-10-28,60,American Samoa,0,0,0
67,2021-10-29,60,American Samoa,0,0,0
68,2021-10-30,60,American Samoa,0,0,0
69,2021-10-31,60,American Samoa,0,0,0
70,2021-11-01,60,American Samoa,0,0,0
71,2021-11-02,60,American Samoa,0,0,0
72,2021-11-03,60,American Samoa,0,0,0
73,2021-11-04,60,American Samoa,0,0,0
74,2021-11-05,60,American Samoa,0,0,0
75,2021-11-06,60,American Samoa,0,0,0
76,2021-11-07,60,American Samoa,0,0,0
77,2021-11-08,60,American Samoa,0,0,0
78,2021-11-09,60,American Samoa,0,0,0
79,2021-11-10,60,American Samoa,0,0,0
80,2021-11-11,60,American Samoa,0,0,0
81,2021-11-12,60,American Samoa,0,0,0
82,2021-11-13,60,American Samoa,0,0,0
83,2021-11-14,60,American Samoa,0,0,0
84,2021-11-15,60,American Samoa,0,0,0
85,2021-11-16,60,American Samoa,0,0,0
86,2021-11-17,60,American Samoa,0,0,0
87,2021-11-18,60,American Samoa,0,0,0
88,2021-11-19,60,American Samoa,0,0,0
89,2021-11-20,60,American Samoa,0,0,0
90,2021-11-21,60,American Samoa,0,0,0
91,2021-11-22,60,American Samoa,0,0,0
92,2021-11-23,60,American Samoa,0,0,0
93,2021-11-24,60,American Samoa,0,0,0
94,2021-11-25,60,American Samoa,0,0,0
95,2021-11-26,60,American Samoa,0,0,0
96,2021-11-27,60,American Samoa,0,0,0
97,2021-11-28,60,American Samoa,0,0,0
98,2021-11-29,60,American Samoa,6,0,0
99,2021-11-30,60,American Samoa,0,0,0
100,2021-12-01,60,American Samoa,0,0,0
101,2021-12-02,60,American Samoa,0,0,0
102,2021-12-03,60,American Samoa,0,0,0
103,2021-12-04,60,American Samoa,0,0,0
104,2021-12-05,60,American Samoa,0,0,0
105,2021-12-06,60,American Samoa,0,0,0
106,2021-12-07,60,American Samoa,0,0,0
107,2021-12-08,60,American Samoa,0,0,0
108,2021-12-09,60,American Samoa,0,0,0
109,2021-12-10,60,American Samoa,0,0,0
110,2021-12-11,60,American Samoa,0,0,0
111,2021-12-12,60,American Samoa,0,0,0
112,2021-12-13,60,American Samoa,0,0,0
113,2021-12-14,60,American Samoa,0,0,0
114,2021-12-15,60,American Samoa,0,0,0
115,2021-12-16,60,American Samoa,0,0,0
116,2021-12-17,60,American Samoa,0,0,0
117,2021-12-18,60,American Samoa,0,0,0
118,2021-12-19,60,American Samoa,0,0,0
119,2021-12-20,60,American Samoa,0,0,0
120,2021-12-21,60,American Samoa,0,0,0
121,2021-12-22,60,American Samoa,0,0,0
122,2021-12-23,60,American Samoa,0,0,0
123,2021-12-24,60,American Samoa,0,0,0
124,2021-12-25,60,American Samoa,0,0,0
125,2021-12-26,60,American Samoa,0,0,0
126,2021-12-27,60,American Samoa,0,0,0
127,2021-12-28,60,American Samoa,0,0,0
128,2021-12-29,60,American Samoa,0,0,0
129,2021-12-30,60,American Samoa,0,0,0
130,2021-12-31,60,American Samoa,0,0,0
131,2022-01-01,60,American Samoa,0,0,0
132,2022-01-02,60,American Samoa,0,0,0
133,2022-01-03,60,American Samoa,0,0,0
134,2022-01-04,60,American Samoa,0,0,0
135,2022-01-05,60,American Samoa,0,0,0
136,2022-01-06,60,American Samoa,0,0,0
137,2022-01-07,60,American Samoa,0,0,0
138,2022-01-08,60,American Samoa,0,0,0
139,2022-01-09,60,American Samoa,0,0,0
140,2022-01-10,60,American Samoa,0,0,0
141,2022-01-11,60,American Samoa,0,0,0
142,2022-01-12,60,American Samoa,0,0,0
143,2022-01-13,60,American Samoa,0,0,0
144,2022-01-14,60,American Samoa,0,0,0
145,2022-01-15,60,American Samoa,0,0,0
146,2022-01-16,60,American Samoa,0,0,0
147,2022-01-17,60,American Samoa,0,0,0
148,2022-01-18,60,American Samoa,0,0,0
149,2022-01-19,60,American Samoa,0,0,0
150,2022-01-20,60,American Samoa,8,0,0
151,2022-01-21,60,American Samoa,0,0,0
152,2022-01-22,60,American Samoa,0,0,0
153,2022-01-23,60,American Samoa,0,0,0
154,2022-01-24,60,American Samoa,0,0,0
155,2022-01-25,60,American Samoa,0,0,0
156,2022-01-26,60,American Samoa,0,0,0
157,2022-01-27,60,American Samoa,0,0,0
158,2022-01-28,60,American Samoa,0,0,0
159,2022-01-29,60,American Samoa,0,0,0
160,2020-07-14,10,Delaware,90,0,1
161,2020-07-15,10,Delaware,81,0,1
162,2020-07-16,10,Delaware,64,0,1
163,2020-07-17,10,Delaware,223,0,1
164,2020-07-18,10,Delaware,92,2,2
165,2020-07-19,10,Delaware,90,3,0
166,2020-07-20,10,Delaware,105,0,2
167,2020-07-21,10,Delaware,122,2,1
168,2020-07-22,10,Delaware,46,2,1
169,2020-07-23,10,Delaware,132,0,0
170,2020-07-24,10,Delaware,278,2,2
171,2020-07-25,10,Delaware,-27,2,1
172,2020-07-26,10,Delaware,115,1,1
173,2020-07-27,10,Delaware,116,1,1
174,2020-07-28,10,Delaware,70,0,0
175,2020-07-29,10,Delaware,126,1,0
176,2020-07-30,10,Delaware,87,0,3
177,2020-07-31,10,Delaware,99,1,2
178,2020-08-01,10,Delaware,89,2,0
179,2020-08-02,10,Delaware,72,0,1
180,2020-08-03,10,Delaware,106,0,1
181,2020-08-04,10,Delaware,82,1,2
182,2020-08-05,10,Delaware,159,5,1
183,2020-08-06,10,Delaware,69,0,0
184,2020-08-07,10,Delaware,80,0,2
185,2020-08-08,10,Delaware,57,0,1
186,2020-08-09,10,Delaware,73,0,2
187,2020-08-10,10,Delaware,59,0,5
