,date,location,location_name,hosps
0,2020-10-17,78,Virgin Islands,0
1,2020-10-16,50,Vermont,0
2,2020-10-14,33,New Hampshire,3
3,2020-10-12,33,New Hampshire,5
4,2020-10-11,33,New Hampshire,2
5,2020-10-10,16,Idaho,23
6,2020-10-10,38,North Dakota,20
7,2020-10-09,15,Hawaii,14
8,2020-10-08,15,Hawaii,17
9,2020-10-06,18,Indiana,121
10,2020-10-06,35,New Mexico,26
11,2020-10-05,15,Hawaii,17
12,2020-10-03,38,North Dakota,18
13,2020-10-02,19,Iowa,66
14,2020-09-29,44,Rhode Island,5
15,2020-09-26,28,Mississippi,55
16,2020-09-25,16,Idaho,21
17,2020-09-24,16,Idaho,22
18,2020-09-24,41,Oregon,17
19,2020-09-23,24,Maryland,48
20,2020-09-22,16,Idaho,24
21,2020-09-22,35,New Mexico,10
22,2020-09-22,44,Rhode Island,6
23,2020-09-21,38,North Dakota,20
24,2020-09-21,35,New Mexico,5
25,2020-09-19,28,Mississippi,45
26,2020-09-18,16,Idaho,11
27,2020-09-16,20,Kansas,48
28,2020-09-14,46,South Dakota,37
29,2020-09-11,20,Kansas,53
30,2020-09-09,20,Kansas,32
31,2020-09-08,18,Indiana,159
32,2020-09-07,44,Rhode Island,2
33,2020-09-06,40,Oklahoma,65
34,2020-08-19,19,Iowa,55
35,2020-08-11,22,Louisiana,158
36,2020-08-10,16,Idaho,23
37,2020-08-08,41,Oregon,15
38,2020-07-19,41,Oregon,8
39,2021-04-05,16,Idaho,21
40,2021-04-04,19,Iowa,27
41,2021-04-04,31,Nebraska,16
42,2021-04-03,38,North Dakota,10
43,2021-04-02,11,District of Columbia,15
44,2021-03-31,22,Louisiana,55
45,2021-03-30,15,Hawaii,5
46,2021-03-30,38,North Dakota,13
47,2021-03-30,56,Wyoming,5
48,2021-03-29,30,Montana,10
49,2021-03-29,44,Rhode Island,16
50,2021-03-28,02,Alaska,4
51,2021-03-28,23,Maine,9
52,2021-03-28,30,Montana,8
53,2021-03-27,15,Hawaii,5
54,2021-03-26,15,Hawaii,3
55,2021-03-25,19,Iowa,33
56,2021-03-23,11,District of Columbia,22
57,2021-03-23,30,Montana,8
58,2021-03-22,37,North Carolina,130
59,2021-03-21,21,Kentucky,96
60,2021-03-21,35,New Mexico,12
61,2021-03-20,47,Tennessee,99
62,2021-03-19,41,Oregon,15
63,2021-03-02,20,Kansas,23
64,2021-02-28,23,Maine,1
65,2021-02-21,23,Maine,5
66,2021-02-16,41,Oregon,29
67,2021-02-12,23,Maine,9
68,2021-02-05,20,Kansas,57
69,2021-02-03,32,Nevada,99
70,2021-02-01,27,Minnesota,58
71,2021-01-29,10,Delaware,42
72,2021-01-27,16,Idaho,28
73,2021-01-25,20,Kansas,84
74,2021-01-20,11,District of Columbia,26
75,2021-01-19,15,Hawaii,12
76,2021-01-18,30,Montana,39
77,2021-01-14,08,Colorado,123
78,2021-01-14,38,North Dakota,19
79,2021-01-12,33,New Hampshire,39
80,2021-01-12,44,Rhode Island,35
81,2021-01-11,23,Maine,21
82,2021-01-10,02,Alaska,7
83,2021-01-10,15,Hawaii,10
84,2021-01-10,47,Tennessee,289
85,2021-01-09,32,Nevada,157
86,2021-01-08,16,Idaho,42
87,2021-01-04,20,Kansas,143
88,2021-01-02,44,Rhode Island,26
89,2020-12-31,20,Kansas,136
90,2020-12-29,44,Rhode Island,27
91,2020-12-27,44,Rhode Island,19
92,2020-12-23,10,Delaware,40
93,2020-12-19,38,North Dakota,18
94,2022-01-07,60,American Samoa,0
95,2022-01-06,11,District of Columbia,90
96,2022-01-04,49,Utah,118
97,2022-01-03,50,Vermont,21
98,2022-01-01,60,American Samoa,0
99,2021-12-31,60,American Samoa,0
100,2021-12-18,11,District of Columbia,25
101,2021-12-18,30,Montana,12
102,2021-12-12,72,Puerto Rico,4
103,2021-12-06,15,Hawaii,1
104,2021-11-26,72,Puerto Rico,6
105,2021-11-23,15,Hawaii,4
106,2021-11-22,72,Puerto Rico,0
107,2021-11-21,72,Puerto Rico,5
108,2021-11-20,09,Connecticut,39
109,2021-11-20,33,New Hampshire,43
110,2021-11-18,44,Rhode Island,10
111,2021-11-17,44,Rhode Island,10
112,2021-11-15,72,Puerto Rico,6
113,2021-11-14,72,Puerto Rico,5
114,2021-11-12,11,District of Columbia,6
115,2021-11-11,15,Hawaii,9
116,2021-11-04,15,Hawaii,5
117,2021-11-03,44,Rhode Island,11
118,2021-11-01,11,District of Columbia,1
119,2021-10-30,33,New Hampshire,28
120,2021-10-28,09,Connecticut,26
121,2021-10-25,11,District of Columbia,10
122,2021-10-24,16,Idaho,41
123,2021-10-23,72,Puerto Rico,2
124,2021-10-17,15,Hawaii,7
125,2021-10-13,15,Hawaii,7
126,2021-10-12,32,Nevada,77
127,2021-10-06,15,Hawaii,13
128,2021-10-05,33,New Hampshire,13
129,2021-10-01,44,Rhode Island,11
130,2021-09-27,44,Rhode Island,4
131,2021-09-19,41,Oregon,82
132,2021-09-18,33,New Hampshire,14
133,2021-09-13,33,New Hampshire,16
134,2021-09-11,33,New Hampshire,16
135,2021-09-07,33,New Hampshire,25
136,2021-09-07,44,Rhode Island,13
137,2021-09-06,33,New Hampshire,13
138,2021-09-02,33,New Hampshire,12
139,2021-08-30,44,Rhode Island,13
140,2021-08-29,44,Rhode Island,10
141,2021-08-19,44,Rhode Island,16
142,2021-08-18,31,Nebraska,38
143,2021-08-17,38,North Dakota,14
144,2021-08-14,16,Idaho,48
145,2021-08-14,33,New Hampshire,10
146,2021-08-12,23,Maine,9
147,2021-08-12,44,Rhode Island,6
148,2021-08-11,38,North Dakota,9
149,2021-08-10,11,District of Columbia,12
150,2021-08-07,38,North Dakota,7
151,2021-08-06,11,District of Columbia,7
152,2021-08-06,44,Rhode Island,10
153,2021-08-05,33,New Hampshire,7
154,2021-08-04,38,North Dakota,3
155,2021-08-02,35,New Mexico,31
156,2021-08-02,46,South Dakota,9
157,2021-08-01,38,North Dakota,6
158,2021-07-31,44,Rhode Island,1
159,2021-07-30,32,Nevada,134
160,2021-07-30,44,Rhode Island,1
161,2021-07-28,02,Alaska,16
162,2021-07-28,32,Nevada,133
163,2021-07-26,32,Nevada,134
164,2021-07-25,32,Nevada,147
165,2021-07-23,46,South Dakota,5
166,2021-07-22,15,Hawaii,5
167,2021-07-22,33,New Hampshire,3
168,2021-07-21,15,Hawaii,10
169,2021-07-19,19,Iowa,26
170,2021-07-18,27,Minnesota,13
171,2021-07-15,16,Idaho,8
172,2021-07-14,25,Massachusetts,12
173,2021-07-14,31,Nebraska,13
174,2021-07-12,25,Massachusetts,16
175,2021-07-11,15,Hawaii,6
176,2021-07-10,41,Oregon,16
177,2021-07-09,16,Idaho,13
178,2021-07-07,25,Massachusetts,13
179,2021-07-06,25,Massachusetts,14
180,2021-07-03,10,Delaware,2
181,2021-06-29,20,Kansas,14
182,2021-06-26,15,Hawaii,2
183,2021-06-23,09,Connecticut,7
184,2021-06-19,23,Maine,3
185,2021-06-19,37,North Carolina,39
186,2021-06-17,19,Iowa,13
187,2021-06-13,23,Maine,8
188,2021-06-11,19,Iowa,14
189,2021-06-10,15,Hawaii,2
190,2021-06-09,15,Hawaii,1
191,2021-06-09,46,South Dakota,3
192,2021-06-05,15,Hawaii,1
193,2021-06-03,23,Maine,5
194,2021-06-03,44,Rhode Island,1
195,2021-06-01,02,Alaska,3
196,2021-06-01,15,Hawaii,5
197,2021-05-28,44,Rhode Island,4
198,2021-05-27,20,Kansas,13
199,2021-05-27,30,Montana,20
200,2021-05-26,19,Iowa,19
201,2021-05-25,28,Mississippi,21
202,2021-05-24,46,South Dakota,6
203,2021-05-22,49,Utah,21
