target,location,type,quantile,value
3 wk ahead cum deaths,US,quantile,0.010,26250.0
3 wk ahead cum deaths,US,quantile,0.025,29250.0
3 wk ahead cum deaths,US,quantile,0.050,31750.0
3 wk ahead cum deaths,US,quantile,0.100,34250.0
3 wk ahead cum deaths,US,quantile,0.150,35750.0
3 wk ahead cum deaths,US,quantile,0.200,37250.0
3 wk ahead cum deaths,US,quantile,0.250,38750.0
3 wk ahead cum deaths,US,quantile,0.300,40250.0
3 wk ahead cum deaths,US,quantile,0.350,41750.0
3 wk ahead cum deaths,US,quantile,0.400,43250.0
3 wk ahead cum deaths,US,quantile,0.450,44750.0
3 wk ahead cum deaths,US,quantile,0.500,46750.0
3 wk ahead cum deaths,US,quantile,0.550,48250.0
3 wk ahead cum deaths,US,quantile,0.600,50250.0
3 wk ahead cum deaths,US,quantile,0.650,52250.0
3 wk ahead cum deaths,US,quantile,0.700,54250.0
3 wk ahead cum deaths,US,quantile,0.750,56250.0
3 wk ahead cum deaths,US,quantile,0.800,59250.0
3 wk ahead cum deaths,US,quantile,0.850,63250.0
3 wk ahead cum deaths,US,quantile,0.900,68750.0
3 wk ahead cum deaths,US,quantile,0.950,81750.0
3 wk ahead cum deaths,US,quantile,0.975,108750.0
3 wk ahead cum deaths,US,quantile,0.990,135250.0
8 wk ahead cum deaths,US,quantile,0.010,33750.0
8 wk ahead cum deaths,US,quantile,0.025,37250.0
8 wk ahead cum deaths,US,quantile,0.050,40750.0
8 wk ahead cum deaths,US,quantile,0.100,45250.0
8 wk ahead cum deaths,US,quantile,0.150,48250.0
8 wk ahead cum deaths,US,quantile,0.200,50750.0
8 wk ahead cum deaths,US,quantile,0.250,53250.0
8 wk ahead cum deaths,US,quantile,0.300,56250.0
8 wk ahead cum deaths,US,quantile,0.350,59250.0
8 wk ahead cum deaths,US,quantile,0.400,62250.0
8 wk ahead cum deaths,US,quantile,0.450,65750.0
8 wk ahead cum deaths,US,quantile,0.500,70750.0
8 wk ahead cum deaths,US,quantile,0.550,75750.0
8 wk ahead cum deaths,US,quantile,0.600,80250.0
8 wk ahead cum deaths,US,quantile,0.650,84750.0
8 wk ahead cum deaths,US,quantile,0.700,90250.0
8 wk ahead cum deaths,US,quantile,0.750,96250.0
8 wk ahead cum deaths,US,quantile,0.800,104250.0
8 wk ahead cum deaths,US,quantile,0.850,114250.0
8 wk ahead cum deaths,US,quantile,0.900,131250.0
8 wk ahead cum deaths,US,quantile,0.950,167250.0
8 wk ahead cum deaths,US,quantile,0.975,201750.0
8 wk ahead cum deaths,US,quantile,0.990,254250.0
