"","forecast_date","target","target_end_date","location","location_name","type","quantile","value"
"1",2020-05-18,"1 day ahead cum death","2020-05-19",17,"Illinois","quantile","0.010000",4759.99
"2",2020-05-18,"1 day ahead inc death","2020-05-19",17,"Illinois","quantile","0.010000",77.86
"3",2020-05-18,"2 day ahead cum death","2020-05-20",17,"Illinois","quantile","0.010000",4887.87
"4",2020-05-18,"2 day ahead inc death","2020-05-20",17,"Illinois","quantile","0.010000",77.95
"5",2020-05-18,"3 day ahead cum death","2020-05-21",17,"Illinois","quantile","0.010000",5008.97
"6",2020-05-18,"3 day ahead inc death","2020-05-21",17,"Illinois","quantile","0.010000",86.99
"7",2020-05-18,"4 day ahead cum death","2020-05-22",17,"Illinois","quantile","0.010000",5133.93
"8",2020-05-18,"4 day ahead inc death","2020-05-22",17,"Illinois","quantile","0.010000",80.96
"9",2020-05-18,"5 day ahead cum death","2020-05-23",17,"Illinois","quantile","0.010000",5250.99
"10",2020-05-18,"5 day ahead inc death","2020-05-23",17,"Illinois","quantile","0.010000",91.97
"11",2020-05-18,"6 day ahead cum death","2020-05-24",17,"Illinois","quantile","0.010000",5385.89
"12",2020-05-18,"6 day ahead inc death","2020-05-24",17,"Illinois","quantile","0.010000",91.89
"13",2020-05-18,"7 day ahead cum death","2020-05-25",17,"Illinois","quantile","0.010000",5512.88
"14",2020-05-18,"7 day ahead inc death","2020-05-25",17,"Illinois","quantile","0.010000",87.97
"15",2020-05-18,"8 day ahead cum death","2020-05-26",17,"Illinois","quantile","0.010000",5645.91
"16",2020-05-18,"8 day ahead inc death","2020-05-26",17,"Illinois","quantile","0.010000",81.94
"17",2020-05-18,"9 day ahead cum death","2020-05-27",17,"Illinois","quantile","0.010000",5759.91
"18",2020-05-18,"9 day ahead inc death","2020-05-27",17,"Illinois","quantile","0.010000",88.98
"19",2020-05-18,"10 day ahead cum death","2020-05-28",17,"Illinois","quantile","0.010000",5884.82
"20",2020-05-18,"10 day ahead inc death","2020-05-28",17,"Illinois","quantile","0.010000",85.99
"21",2020-05-18,"11 day ahead cum death","2020-05-29",17,"Illinois","quantile","0.010000",5989.93
"22",2020-05-18,"11 day ahead inc death","2020-05-29",17,"Illinois","quantile","0.010000",87.97
"23",2020-05-18,"12 day ahead cum death","2020-05-30",17,"Illinois","quantile","0.010000",6107.74
"24",2020-05-18,"12 day ahead inc death","2020-05-30",17,"Illinois","quantile","0.010000",88.96
"25",2020-05-18,"13 day ahead cum death","2020-05-31",17,"Illinois","quantile","0.010000",6238.82
"26",2020-05-18,"13 day ahead inc death","2020-05-31",17,"Illinois","quantile","0.010000",88.92
"27",2020-05-18,"14 day ahead cum death","2020-06-01",17,"Illinois","quantile","0.010000",6370.61
"28",2020-05-18,"14 day ahead inc death","2020-06-01",17,"Illinois","quantile","0.010000",82.74
"29",2020-05-18,"15 day ahead cum death","2020-06-02",17,"Illinois","quantile","0.010000",6482.81
"30",2020-05-18,"15 day ahead inc death","2020-06-02",17,"Illinois","quantile","0.010000",86.99
"31",2020-05-18,"16 day ahead cum death","2020-06-03",17,"Illinois","quantile","0.010000",6623.67
"32",2020-05-18,"16 day ahead inc death","2020-06-03",17,"Illinois","quantile","0.010000",92.98
"33",2020-05-18,"17 day ahead cum death","2020-06-04",17,"Illinois","quantile","0.010000",6741.9
"34",2020-05-18,"17 day ahead inc death","2020-06-04",17,"Illinois","quantile","0.010000",93.96
"35",2020-05-18,"18 day ahead cum death","2020-06-05",17,"Illinois","quantile","0.010000",6872.64
"36",2020-05-18,"18 day ahead inc death","2020-06-05",17,"Illinois","quantile","0.010000",91.96
"37",2020-05-18,"19 day ahead cum death","2020-06-06",17,"Illinois","quantile","0.010000",6992.6
"38",2020-05-18,"19 day ahead inc death","2020-06-06",17,"Illinois","quantile","0.010000",88.95
"39",2020-05-18,"20 day ahead cum death","2020-06-07",17,"Illinois","quantile","0.010000",7097.53
"40",2020-05-18,"20 day ahead inc death","2020-06-07",17,"Illinois","quantile","0.010000",93.99
"41",2020-05-18,"21 day ahead cum death","2020-06-08",17,"Illinois","quantile","0.010000",7211.76
"42",2020-05-18,"21 day ahead inc death","2020-06-08",17,"Illinois","quantile","0.010000",90.98
"43",2020-05-18,"22 day ahead cum death","2020-06-09",17,"Illinois","quantile","0.010000",7336.71
"44",2020-05-18,"22 day ahead inc death","2020-06-09",17,"Illinois","quantile","0.010000",91.99
"45",2020-05-18,"23 day ahead cum death","2020-06-10",17,"Illinois","quantile","0.010000",7483.8
"46",2020-05-18,"23 day ahead inc death","2020-06-10",17,"Illinois","quantile","0.010000",89.97
"47",2020-05-18,"24 day ahead cum death","2020-06-11",17,"Illinois","quantile","0.010000",7630.93
"48",2020-05-18,"24 day ahead inc death","2020-06-11",17,"Illinois","quantile","0.010000",103.95
"49",2020-05-18,"25 day ahead cum death","2020-06-12",17,"Illinois","quantile","0.010000",7751.98
"50",2020-05-18,"25 day ahead inc death","2020-06-12",17,"Illinois","quantile","0.010000",97.98
"51",2020-05-18,"26 day ahead cum death","2020-06-13",17,"Illinois","quantile","0.010000",7905.81
"52",2020-05-18,"26 day ahead inc death","2020-06-13",17,"Illinois","quantile","0.010000",101.98
"53",2020-05-18,"27 day ahead cum death","2020-06-14",17,"Illinois","quantile","0.010000",8063.58
"54",2020-05-18,"27 day ahead inc death","2020-06-14",17,"Illinois","quantile","0.010000",96.91
"55",2020-05-18,"28 day ahead cum death","2020-06-15",17,"Illinois","quantile","0.010000",8198.55
"56",2020-05-18,"28 day ahead inc death","2020-06-15",17,"Illinois","quantile","0.010000",94
"57",2020-05-18,"29 day ahead cum death","2020-06-16",17,"Illinois","quantile","0.010000",8317.87
"58",2020-05-18,"29 day ahead inc death","2020-06-16",17,"Illinois","quantile","0.010000",101.95
"59",2020-05-18,"30 day ahead cum death","2020-06-17",17,"Illinois","quantile","0.010000",8475.91
"60",2020-05-18,"30 day ahead inc death","2020-06-17",17,"Illinois","quantile","0.010000",101.99
"61",2020-05-18,"31 day ahead cum death","2020-06-18",17,"Illinois","quantile","0.010000",8622.78
"62",2020-05-18,"31 day ahead inc death","2020-06-18",17,"Illinois","quantile","0.010000",108.88
"63",2020-05-18,"32 day ahead cum death","2020-06-19",17,"Illinois","quantile","0.010000",8774.47
"64",2020-05-18,"32 day ahead inc death","2020-06-19",17,"Illinois","quantile","0.010000",101.9
"65",2020-05-18,"33 day ahead cum death","2020-06-20",17,"Illinois","quantile","0.010000",8911.56
"66",2020-05-18,"33 day ahead inc death","2020-06-20",17,"Illinois","quantile","0.010000",117.94
"67",2020-05-18,"1 day ahead cum death","2020-05-19",17,"Illinois","quantile","0.025000",4792.55
"68",2020-05-18,"1 day ahead inc death","2020-05-19",17,"Illinois","quantile","0.025000",84
"69",2020-05-18,"2 day ahead cum death","2020-05-20",17,"Illinois","quantile","0.025000",4910.95
"70",2020-05-18,"2 day ahead inc death","2020-05-20",17,"Illinois","quantile","0.025000",82.975
"71",2020-05-18,"3 day ahead cum death","2020-05-21",17,"Illinois","quantile","0.025000",5027
"72",2020-05-18,"3 day ahead inc death","2020-05-21",17,"Illinois","quantile","0.025000",96.875
"73",2020-05-18,"4 day ahead cum death","2020-05-22",17,"Illinois","quantile","0.025000",5157
"74",2020-05-18,"4 day ahead inc death","2020-05-22",17,"Illinois","quantile","0.025000",92
"75",2020-05-18,"5 day ahead cum death","2020-05-23",17,"Illinois","quantile","0.025000",5283.975
"76",2020-05-18,"5 day ahead inc death","2020-05-23",17,"Illinois","quantile","0.025000",94.975
"77",2020-05-18,"6 day ahead cum death","2020-05-24",17,"Illinois","quantile","0.025000",5410.525
"78",2020-05-18,"6 day ahead inc death","2020-05-24",17,"Illinois","quantile","0.025000",99.95
"79",2020-05-18,"7 day ahead cum death","2020-05-25",17,"Illinois","quantile","0.025000",5527.95
"80",2020-05-18,"7 day ahead inc death","2020-05-25",17,"Illinois","quantile","0.025000",90.975
"81",2020-05-18,"8 day ahead cum death","2020-05-26",17,"Illinois","quantile","0.025000",5654.925
"82",2020-05-18,"8 day ahead inc death","2020-05-26",17,"Illinois","quantile","0.025000",98.975
"83",2020-05-18,"9 day ahead cum death","2020-05-27",17,"Illinois","quantile","0.025000",5795.825
"84",2020-05-18,"9 day ahead inc death","2020-05-27",17,"Illinois","quantile","0.025000",98
"85",2020-05-18,"10 day ahead cum death","2020-05-28",17,"Illinois","quantile","0.025000",5917.45
"86",2020-05-18,"10 day ahead inc death","2020-05-28",17,"Illinois","quantile","0.025000",96
"87",2020-05-18,"11 day ahead cum death","2020-05-29",17,"Illinois","quantile","0.025000",6044.875
"88",2020-05-18,"11 day ahead inc death","2020-05-29",17,"Illinois","quantile","0.025000",98.9
"89",2020-05-18,"12 day ahead cum death","2020-05-30",17,"Illinois","quantile","0.025000",6161.625
"90",2020-05-18,"12 day ahead inc death","2020-05-30",17,"Illinois","quantile","0.025000",92.95
"91",2020-05-18,"13 day ahead cum death","2020-05-31",17,"Illinois","quantile","0.025000",6274.925
"92",2020-05-18,"13 day ahead inc death","2020-05-31",17,"Illinois","quantile","0.025000",91
"93",2020-05-18,"14 day ahead cum death","2020-06-01",17,"Illinois","quantile","0.025000",6402.85
"94",2020-05-18,"14 day ahead inc death","2020-06-01",17,"Illinois","quantile","0.025000",87.95
"95",2020-05-18,"15 day ahead cum death","2020-06-02",17,"Illinois","quantile","0.025000",6536.075
"96",2020-05-18,"15 day ahead inc death","2020-06-02",17,"Illinois","quantile","0.025000",93
"97",2020-05-18,"16 day ahead cum death","2020-06-03",17,"Illinois","quantile","0.025000",6647.625
"98",2020-05-18,"16 day ahead inc death","2020-06-03",17,"Illinois","quantile","0.025000",94.975
"99",2020-05-18,"17 day ahead cum death","2020-06-04",17,"Illinois","quantile","0.025000",6779.975
"100",2020-05-18,"17 day ahead inc death","2020-06-04",17,"Illinois","quantile","0.025000",97
"101",2020-05-18,"18 day ahead cum death","2020-06-05",17,"Illinois","quantile","0.025000",6911.575
"102",2020-05-18,"18 day ahead inc death","2020-06-05",17,"Illinois","quantile","0.025000",94.975
"103",2020-05-18,"19 day ahead cum death","2020-06-06",17,"Illinois","quantile","0.025000",7039.2
"104",2020-05-18,"19 day ahead inc death","2020-06-06",17,"Illinois","quantile","0.025000",101.875
"105",2020-05-18,"20 day ahead cum death","2020-06-07",17,"Illinois","quantile","0.025000",7132.975
"106",2020-05-18,"20 day ahead inc death","2020-06-07",17,"Illinois","quantile","0.025000",100.925
"107",2020-05-18,"21 day ahead cum death","2020-06-08",17,"Illinois","quantile","0.025000",7272.85
"108",2020-05-18,"21 day ahead inc death","2020-06-08",17,"Illinois","quantile","0.025000",95.975
"109",2020-05-18,"22 day ahead cum death","2020-06-09",17,"Illinois","quantile","0.025000",7416.925
"110",2020-05-18,"22 day ahead inc death","2020-06-09",17,"Illinois","quantile","0.025000",97
"111",2020-05-18,"23 day ahead cum death","2020-06-10",17,"Illinois","quantile","0.025000",7577.65
"112",2020-05-18,"23 day ahead inc death","2020-06-10",17,"Illinois","quantile","0.025000",95.975
"113",2020-05-18,"24 day ahead cum death","2020-06-11",17,"Illinois","quantile","0.025000",7690.95
"114",2020-05-18,"24 day ahead inc death","2020-06-11",17,"Illinois","quantile","0.025000",106
"115",2020-05-18,"25 day ahead cum death","2020-06-12",17,"Illinois","quantile","0.025000",7818.8
"116",2020-05-18,"25 day ahead inc death","2020-06-12",17,"Illinois","quantile","0.025000",107.925
"117",2020-05-18,"26 day ahead cum death","2020-06-13",17,"Illinois","quantile","0.025000",7962.525
"118",2020-05-18,"26 day ahead inc death","2020-06-13",17,"Illinois","quantile","0.025000",107.925
"119",2020-05-18,"27 day ahead cum death","2020-06-14",17,"Illinois","quantile","0.025000",8099.875
"120",2020-05-18,"27 day ahead inc death","2020-06-14",17,"Illinois","quantile","0.025000",103.9
"121",2020-05-18,"28 day ahead cum death","2020-06-15",17,"Illinois","quantile","0.025000",8236.4
"122",2020-05-18,"28 day ahead inc death","2020-06-15",17,"Illinois","quantile","0.025000",101.925
"123",2020-05-18,"29 day ahead cum death","2020-06-16",17,"Illinois","quantile","0.025000",8374.95
"124",2020-05-18,"29 day ahead inc death","2020-06-16",17,"Illinois","quantile","0.025000",106
"125",2020-05-18,"30 day ahead cum death","2020-06-17",17,"Illinois","quantile","0.025000",8506.925
"126",2020-05-18,"30 day ahead inc death","2020-06-17",17,"Illinois","quantile","0.025000",109.95
"127",2020-05-18,"31 day ahead cum death","2020-06-18",17,"Illinois","quantile","0.025000",8655.65
"128",2020-05-18,"31 day ahead inc death","2020-06-18",17,"Illinois","quantile","0.025000",109.975
"129",2020-05-18,"32 day ahead cum death","2020-06-19",17,"Illinois","quantile","0.025000",8795.875
"130",2020-05-18,"32 day ahead inc death","2020-06-19",17,"Illinois","quantile","0.025000",111.875
"131",2020-05-18,"33 day ahead cum death","2020-06-20",17,"Illinois","quantile","0.025000",8941.875
"132",2020-05-18,"33 day ahead inc death","2020-06-20",17,"Illinois","quantile","0.025000",126.825
"133",2020-05-18,"1 day ahead cum death","2020-05-19",17,"Illinois","quantile","0.050000",4839.65
"134",2020-05-18,"1 day ahead inc death","2020-05-19",17,"Illinois","quantile","0.050000",93.8
"135",2020-05-18,"2 day ahead cum death","2020-05-20",17,"Illinois","quantile","0.050000",4930.85
"136",2020-05-18,"2 day ahead inc death","2020-05-20",17,"Illinois","quantile","0.050000",90.95
"137",2020-05-18,"3 day ahead cum death","2020-05-21",17,"Illinois","quantile","0.050000",5056.95
"138",2020-05-18,"3 day ahead inc death","2020-05-21",17,"Illinois","quantile","0.050000",102.95
"139",2020-05-18,"4 day ahead cum death","2020-05-22",17,"Illinois","quantile","0.050000",5195.9
"140",2020-05-18,"4 day ahead inc death","2020-05-22",17,"Illinois","quantile","0.050000",98.9
"141",2020-05-18,"5 day ahead cum death","2020-05-23",17,"Illinois","quantile","0.050000",5315.55
"142",2020-05-18,"5 day ahead inc death","2020-05-23",17,"Illinois","quantile","0.050000",100.9
"143",2020-05-18,"6 day ahead cum death","2020-05-24",17,"Illinois","quantile","0.050000",5440.45
"144",2020-05-18,"6 day ahead inc death","2020-05-24",17,"Illinois","quantile","0.050000",104.95
"145",2020-05-18,"7 day ahead cum death","2020-05-25",17,"Illinois","quantile","0.050000",5569.75
"146",2020-05-18,"7 day ahead inc death","2020-05-25",17,"Illinois","quantile","0.050000",98.9
"147",2020-05-18,"8 day ahead cum death","2020-05-26",17,"Illinois","quantile","0.050000",5688.6
"148",2020-05-18,"8 day ahead inc death","2020-05-26",17,"Illinois","quantile","0.050000",104.95
