Report_date,date_of_error,first_fcast_date,target ,location_name,Error_message
2020-06-05,2020-06-13,2020-06-06,1 wk ahead cum death,Michigan,a
2020-06-05,2020-06-13,2020-05-30,2 wk ahead cum death,Michigan,a
2020-06-05,2020-06-13,2020-05-23,3 wk ahead cum death,Michigan,a
2020-06-05,2020-06-13,2020-05-16,4 wk ahead cum death,Michigan,a
2020-06-12,2020-06-11,2020-06-06,1 wk ahead cum death,Missouri,b
2020-06-12,2020-06-11,2020-05-30,2 wk ahead cum death,Missouri,b
2020-06-12,2020-06-11,2020-05-23,3 wk ahead cum death,Missouri,b
2020-06-12,2020-06-11,2020-05-16,4 wk ahead cum death,Missouri,b
2020-06-16,2020-06-14,2020-06-13,1 wk ahead cum death,Oregon,c
2020-06-17,2020-06-14,2020-06-06,2 wk ahead cum death,Oregon,c
2020-06-18,2020-06-14,2020-05-30,3 wk ahead cum death,Oregon,c
2020-06-19,2020-06-14,2020-05-23,4 wk ahead cum death,Oregon,c
2020-06-22,2020-06-27,2020-06-20,1 wk ahead cum death,Mississippi,d
2020-06-22,2020-06-27,2020-06-13,2 wk ahead cum death,Mississippi,d
2020-06-22,2020-06-27,2020-06-06,3 wk ahead cum death,Mississippi,d
2020-06-22,2020-06-27,2020-05-30,4 wk ahead cum death,Mississippi,d
2020-06-23,2020-06-23,2020-06-20,1 wk ahead cum death,Delaware,e
2020-06-23,2020-06-23,2020-06-13,2 wk ahead cum death,Delaware,e
2020-06-23,2020-06-23,2020-06-06,3 wk ahead cum death,Delaware,e
2020-06-23,2020-06-23,2020-05-30,4 wk ahead cum death,Delaware,e
2020-06-25,2020-06-04,2020-05-28,1 wk ahead cum death,New Jersey,f
2020-06-25,2020-06-04,2020-05-21,2 wk ahead cum death,New Jersey,f
2020-06-25,2020-06-04,2020-05-14,3 wk ahead cum death,New Jersey,f
2020-06-25,2020-06-04,2020-05-07,4 wk ahead cum death,New Jersey,f
2020-06-30,2020-07-11,2020-07-04,1 wk ahead cum death,New York,g
2020-06-30,2020-07-11,2020-06-27,2 wk ahead cum death,New York,g
2020-06-30,2020-07-11,2020-06-20,3 wk ahead cum death,New York,g
2020-06-30,2020-07-11,2020-06-13,4 wk ahead cum death,New York,g
2020-07-27,2020-08-01,2020-07-25,1 wk ahead cum death,Texas,h
2020-07-27,2020-08-01,2020-07-18,2 wk ahead cum death,Texas,h
2020-07-27,2020-08-01,2020-07-11,3 wk ahead cum death,Texas,h
2020-07-27,2020-08-01,2020-07-04,4 wk ahead cum death,Texas,h
