date,location,location_name,value
2021-06-01,02,Alaska,87
2021-05-28,44,Rhode Island,274
2021-05-26,11,District of Columbia,131
2021-09-03,10,Delaware,94
2021-05-22,49,Utah,66
2021-05-19,31,Nebraska,93
2021-05-18,11,District of Columbia,139
2021-05-18,33,New Hampshire,434
2021-05-17,02,Alaska,87
2021-05-16,08,Colorado,256
2021-05-16,44,Rhode Island,274
2021-05-15,32,Nevada,664
2021-05-12,11,District of Columbia,150
2020-12-04,32,Nevada,821
2021-05-10,32,Nevada,853
2021-05-08,33,New Hampshire,443
2020-12-23,02,Alaska,98
2021-05-04,02,Alaska,102
2021-05-14,56,Wyoming,37
2021-05-04,50,Vermont,1
2021-05-01,10,Delaware,105
2020-11-08,06,California,373
2020-08-06,40,Oklahoma,463
2020-10-20,21,Kentucky,271
2020-08-05,13,Georgia,290
2020-11-01,29,Missouri,217
2020-09-28,10,Delaware,115
2020-09-09,56,Wyoming,44
2020-09-03,53,Washington,37
2020-09-02,12,Florida,386
2020-10-05,12,Florida,701
2020-11-05,12,Florida,1116
2020-08-29,47,Tennessee,484
2020-09-07,39,Ohio,72
2020-10-26,11,District of Columbia,160
2020-10-19,21,Kentucky,471
2020-10-12,26,Michigan,124
2020-05-31,36,New York,0
2020-09-07,21,Kentucky,870
2020-08-11,11,District of Columbia,178
2020-07-23,26,Michigan,154
2020-11-09,45,South Carolina,350
2020-09-08,12,Florida,1458
2020-07-23,44,Rhode Island,281
2020-09-04,10,Delaware,124
2020-08-01,33,New Hampshire,444
2020-10-24,32,Nevada,900
2020-09-30,40,Oklahoma,593
2020-08-21,11,District of Columbia,192
2020-07-24,47,Tennessee,634
2020-09-27,26,Michigan,211
2020-10-08,26,Michigan,284
2020-08-26,10,Delaware,130
2020-08-02,26,Michigan,311
2020-08-28,11,District of Columbia,199
2020-11-19,47,Tennessee,911
2020-10-08,56,Wyoming,57
2020-09-25,39,Ohio,172
2020-10-12,41,Oregon,170
2020-08-22,53,Washington,49
2020-10-24,22,Louisiana,940
2020-08-16,47,Tennessee,1007
2020-06-20,44,Rhode Island,281
2020-08-01,10,Delaware,130
2020-08-13,10,Delaware,135
