location,location_name,date,orig_obs,issue_date,real_diff,relative_diff
08,Colorado,2020-03-14,0,2020-05-24,2,2
08,Colorado,2020-03-21,6,2020-05-24,-2,-0.3333333333333333
08,Colorado,2020-03-28,25,2020-05-24,13,0.52
08,Colorado,2020-04-04,80,2020-05-24,2,0.025
08,Colorado,2020-04-11,139,2020-05-24,9,0.06474820143884892
08,Colorado,2020-04-18,139,2020-05-24,-2,-0.014388489208633094
08,Colorado,2020-04-25,295,2020-05-24,-22,-0.07457627118644068
US,US,2020-03-14,39,2020-05-24,2,0.05128205128205128
US,US,2020-03-21,397,2020-05-24,-2,-0.005037783375314861
US,US,2020-03-28,2433,2020-05-24,13,0.005343197698314837
US,US,2020-04-04,7948,2020-05-24,2,2.516356316054353e-4
US,US,2020-04-11,13508,2020-05-24,9,6.662718389102754e-4
US,US,2020-04-18,15411,2020-05-24,-2,-1.2977743170462656e-4
US,US,2020-04-25,14002,2020-05-24,-22,-0.001571204113698043
06,California,2020-05-23,530,2020-05-31,-1,-0.0018867924528301887
US,US,2020-05-23,8333,2020-05-31,-1,-1.2000480019200768e-4
26,Michigan,2020-03-14,0,2020-06-14,1,1
26,Michigan,2020-03-21,3,2020-06-14,2,0.6666666666666666
26,Michigan,2020-03-28,108,2020-06-14,16,0.14814814814814814
26,Michigan,2020-04-04,429,2020-06-14,26,0.06060606060606061
26,Michigan,2020-04-11,844,2020-06-14,58,0.06872037914691943
26,Michigan,2020-04-18,924,2020-06-14,49,0.05303030303030303
26,Michigan,2020-04-25,847,2020-06-14,32,0.03778040141676505
26,Michigan,2020-05-02,866,2020-06-14,19,0.021939953810623556
26,Michigan,2020-05-09,509,2020-06-14,24,0.047151277013752456
26,Michigan,2020-05-16,351,2020-06-14,6,0.017094017094017096
26,Michigan,2020-05-23,342,2020-06-14,4,0.011695906432748537
26,Michigan,2020-05-30,241,2020-06-14,3,0.012448132780082987
26,Michigan,2020-06-06,149,2020-06-14,63,0.4228187919463087
29,Missouri,2020-03-28,7,2020-06-14,3,0.42857142857142855
29,Missouri,2020-04-04,23,2020-06-14,15,0.6521739130434783
29,Missouri,2020-04-11,83,2020-06-14,11,0.13253012048192772
29,Missouri,2020-04-18,81,2020-06-14,10,0.12345679012345678
29,Missouri,2020-04-25,84,2020-06-14,37,0.44047619047619047
29,Missouri,2020-05-02,95,2020-06-14,20,0.21052631578947367
29,Missouri,2020-05-09,118,2020-06-14,4,0.03389830508474576
29,Missouri,2020-05-16,100,2020-06-14,-3,-0.03
29,Missouri,2020-05-23,88,2020-06-14,-14,-0.1590909090909091
29,Missouri,2020-05-30,92,2020-06-14,-45,-0.4891304347826087
29,Missouri,2020-06-06,41,2020-06-14,-5,-0.12195121951219512
69,Northern Mariana Islands,2020-06-06,15,2020-06-14,-15,-1
US,US,2020-03-14,41,2020-06-14,1,0.024390243902439025
US,US,2020-03-21,395,2020-06-14,2,0.005063291139240506
US,US,2020-03-28,2446,2020-06-14,19,0.00776778413736713
US,US,2020-04-04,7950,2020-06-14,41,0.005157232704402516
US,US,2020-04-11,13517,2020-06-14,69,0.005104682991788119
US,US,2020-04-18,15409,2020-06-14,59,0.0038289311441365437
US,US,2020-04-25,13980,2020-06-14,69,0.004935622317596567
US,US,2020-05-02,12614,2020-06-14,39,0.003091802758839385
US,US,2020-05-09,12426,2020-06-14,28,0.0022533397714469662
US,US,2020-05-16,9959,2020-06-14,3,0.00030123506376142183
US,US,2020-05-23,8332,2020-06-14,-10,-0.001200192030724916
US,US,2020-05-30,6690,2020-06-14,-42,-0.006278026905829596
US,US,2020-06-06,6026,2020-06-14,43,0.007135745104546963
06,California,2020-06-06,462,2020-06-21,1,0.0021645021645021645
06,California,2020-06-13,470,2020-06-21,-1,-0.002127659574468085
US,US,2020-06-06,6069,2020-06-21,1,1.6477179106936892e-4
US,US,2020-06-13,5313,2020-06-21,-1,-1.8821757952192734e-4
41,Oregon,2020-06-20,15,2020-06-28,1,0.06666666666666667
US,US,2020-06-20,4283,2020-06-28,1,2.3348120476301658e-4
25,Massachusetts,2020-06-20,251,2020-07-05,1,0.00398406374501992
29,Missouri,2020-06-13,37,2020-07-05,2,0.05405405405405406
29,Missouri,2020-06-20,80,2020-07-05,6,0.075
29,Missouri,2020-06-27,39,2020-07-05,2,0.05128205128205128
36,New York,2020-03-14,6,2020-07-05,-1,-0.16666666666666666
36,New York,2020-03-21,189,2020-07-05,1,0.005291005291005291
36,New York,2020-03-28,1393,2020-07-05,13,0.00933237616654702
36,New York,2020-04-04,4403,2020-07-05,106,0.024074494662729956
36,New York,2020-04-11,6507,2020-07-05,160,0.02458890425695405
36,New York,2020-04-18,6262,2020-07-05,197,0.031459597572660494
36,New York,2020-04-25,3249,2020-07-05,26,0.008002462296091105
36,New York,2020-05-02,2189,2020-07-05,511,0.2334399269072636
36,New York,2020-05-09,2414,2020-07-05,-159,-0.06586578293289147
36,New York,2020-05-16,1437,2020-07-05,-46,-0.032011134307585246
36,New York,2020-05-23,982,2020-07-05,-68,-0.06924643584521385
36,New York,2020-05-30,679,2020-07-05,-21,-0.030927835051546393
36,New York,2020-06-06,570,2020-07-05,-25,-0.043859649122807015
36,New York,2020-06-13,515,2020-07-05,-48,-0.09320388349514563
36,New York,2020-06-20,288,2020-07-05,-26,-0.09027777777777778
36,New York,2020-06-27,285,2020-07-05,-50,-0.17543859649122806
US,US,2020-03-14,42,2020-07-05,-1,-0.023809523809523808
US,US,2020-03-21,397,2020-07-05,1,0.0025188916876574307
US,US,2020-03-28,2465,2020-07-05,13,0.005273833671399594
US,US,2020-04-04,7991,2020-07-05,106,0.01326492303841822
US,US,2020-04-11,13586,2020-07-05,160,0.01177682908876785
US,US,2020-04-18,15468,2020-07-05,197,0.012735971036979571
US,US,2020-04-25,14049,2020-07-05,26,0.0018506655277955727
US,US,2020-05-02,12653,2020-07-05,511,0.04038567928554493
US,US,2020-05-09,12454,2020-07-05,-159,-0.012766982495583749
US,US,2020-05-16,9962,2020-07-05,-46,-0.004617546677374022
US,US,2020-05-23,8322,2020-07-05,-68,-0.008171112713290074
US,US,2020-05-30,6648,2020-07-05,-21,-0.00315884476534296
US,US,2020-06-06,6070,2020-07-05,-25,-0.004118616144975288
US,US,2020-06-13,5312,2020-07-05,-46,-0.008659638554216868
US,US,2020-06-20,4284,2020-07-05,-19,-0.004435107376283847
US,US,2020-06-27,5819,2020-07-05,-48,-0.008248840006874033
48,Texas,2020-07-04,219,2020-07-12,13,0.0593607305936073
US,US,2020-07-04,3556,2020-07-12,13,0.003655793025871766
48,Texas,2020-05-30,174,2020-07-19,5,0.028735632183908046
48,Texas,2020-06-06,181,2020-07-19,-5,-0.027624309392265192
US,US,2020-05-30,6627,2020-07-19,5,7.544892108042855e-4
US,US,2020-06-06,6045,2020-07-19,-5,-8.271298593879239e-4
16,Idaho,2020-07-25,25,2020-08-02,2,0.08
34,New Jersey,2020-03-21,15,2020-08-02,6,0.4
34,New Jersey,2020-03-28,124,2020-08-02,46,0.3709677419354839
34,New Jersey,2020-04-04,706,2020-08-02,161,0.22804532577903683
34,New Jersey,2020-04-11,1337,2020-08-02,458,0.3425579655946148
34,New Jersey,2020-04-18,1887,2020-08-02,428,0.22681505034446212
34,New Jersey,2020-04-25,1844,2020-08-02,261,0.14154013015184383
34,New Jersey,2020-05-02,1828,2020-08-02,200,0.10940919037199125
34,New Jersey,2020-05-09,1374,2020-08-02,129,0.09388646288209607
34,New Jersey,2020-05-16,1145,2020-08-02,63,0.05502183406113537
34,New Jersey,2020-05-23,821,2020-08-02,35,0.04263093788063337
34,New Jersey,2020-05-30,552,2020-08-02,29,0.05253623188405797
34,New Jersey,2020-06-06,472,2020-08-02,23,0.048728813559322036
34,New Jersey,2020-06-13,515,2020-08-02,16,0.031067961165048542
34,New Jersey,2020-06-20,303,2020-08-02,6,0.019801980198019802
34,New Jersey,2020-06-27,2024,2020-08-02,-1861,-0.9194664031620553
41,Oregon,2020-07-25,25,2020-08-02,3,0.12
US,US,2020-03-21,398,2020-08-02,6,0.01507537688442211
US,US,2020-03-28,2478,2020-08-02,46,0.018563357546408393
