location,location_name,date,orig_obs,issue_date,real_diff,relative_diff
02,Alaska,2020-11-21,22,2020-11-29,2,0.09090909090909091
01,Alabama,2020-11-21,192,2020-11-29,6,0.03125
05,Arkansas,2020-11-21,134,2020-11-29,-12,-0.08955223880597014
04,Arizona,2020-11-21,284,2020-11-29,-12,-0.04225352112676056
06,California,2020-11-21,766,2020-11-29,10,0.013054830287206266
08,Colorado,2020-11-21,239,2020-11-29,-26,-0.1087866108786611
09,Connecticut,2020-11-21,104,2020-11-29,-25,-0.2403846153846154
11,District of Columbia,2020-11-21,27,2020-11-29,-13,-0.48148148148148145
10,Delaware,2020-11-21,23,2020-11-29,-5,-0.21739130434782608
12,Florida,2020-11-21,561,2020-11-29,-7,-0.012477718360071301
13,Georgia,2020-11-21,436,2020-11-29,-67,-0.1536697247706422
15,Hawaii,2020-11-21,5,2020-11-29,-3,-0.6
16,Idaho,2020-11-21,57,2020-11-29,2,0.03508771929824561
17,Illinois,2020-11-21,552,2020-11-29,-19,-0.034420289855072464
18,Indiana,2020-11-21,378,2020-11-29,-16,-0.042328042328042326
20,Kansas,2020-11-21,181,2020-11-29,-17,-0.09392265193370165
21,Kentucky,2020-11-21,325,2020-11-29,3,0.009230769230769232
22,Louisiana,2020-11-21,141,2020-11-29,-1,-0.0070921985815602835
24,Maryland,2020-11-21,191,2020-11-29,12,0.06282722513089005
23,Maine,2020-11-21,13,2020-11-29,-1,-0.07692307692307693
26,Michigan,2020-11-21,486,2020-11-29,-88,-0.18106995884773663
27,Minnesota,2020-11-21,216,2020-11-29,-16,-0.07407407407407407
29,Missouri,2020-11-21,335,2020-11-29,-48,-0.14328358208955225
28,Mississippi,2020-11-21,118,2020-11-29,-2,-0.01694915254237288
30,Montana,2020-11-21,93,2020-11-29,-14,-0.15053763440860216
37,North Carolina,2020-11-21,217,2020-11-29,-12,-0.055299539170506916
38,North Dakota,2020-11-21,33,2020-11-29,10,0.30303030303030304
31,Nebraska,2020-11-21,123,2020-11-29,-11,-0.08943089430894309
33,New Hampshire,2020-11-21,15,2020-11-29,-2,-0.13333333333333333
34,New Jersey,2020-11-21,332,2020-11-29,8,0.024096385542168676
35,New Mexico,2020-11-21,152,2020-11-29,-44,-0.2894736842105263
32,Nevada,2020-11-21,127,2020-11-29,11,0.08661417322834646
36,New York,2020-11-21,574,2020-11-29,-15,-0.02613240418118467
39,Ohio,2020-11-21,646,2020-11-29,-14,-0.021671826625386997
40,Oklahoma,2020-11-21,322,2020-11-29,-14,-0.043478260869565216
41,Oregon,2020-11-21,62,2020-11-29,-13,-0.20967741935483872
42,Pennsylvania,2020-11-21,489,2020-11-29,-3,-0.006134969325153374
72,Puerto Rico,2020-11-21,33,2020-11-29,-2,-0.06060606060606061
44,Rhode Island,2020-11-21,17,2020-11-29,-1,-0.058823529411764705
45,South Carolina,2020-11-21,92,2020-11-29,9,0.09782608695652174
46,South Dakota,2020-11-21,53,2020-11-29,-3,-0.05660377358490566
47,Tennessee,2020-11-21,208,2020-11-29,40,0.19230769230769232
48,Texas,2020-11-21,1198,2020-11-29,-168,-0.14023372287145242
49,Utah,2020-11-21,74,2020-11-29,5,0.06756756756756757
51,Virginia,2020-11-21,124,2020-11-29,12,0.0967741935483871
53,Washington,2020-11-21,88,2020-11-29,3,0.03409090909090909
55,Wisconsin,2020-11-21,414,2020-11-29,-33,-0.07971014492753623
56,Wyoming,2020-11-21,38,2020-11-29,-9,-0.23684210526315788
01,Alabama,2020-11-20,186,2020-11-29,1,0.005376344086021506
05,Arkansas,2020-11-20,125,2020-11-29,7,0.056
04,Arizona,2020-11-20,254,2020-11-29,-11,-0.04330708661417323
06,California,2020-11-20,784,2020-11-29,-33,-0.042091836734693876
08,Colorado,2020-11-20,288,2020-11-29,-23,-0.0798611111111111
09,Connecticut,2020-11-20,104,2020-11-29,-34,-0.3269230769230769
11,District of Columbia,2020-11-20,27,2020-11-29,-1,-0.037037037037037035
10,Delaware,2020-11-20,25,2020-11-29,13,0.52
12,Florida,2020-11-20,541,2020-11-29,-36,-0.066543438077634
13,Georgia,2020-11-20,409,2020-11-29,-2,-0.004889975550122249
16,Idaho,2020-11-20,50,2020-11-29,-9,-0.18
17,Illinois,2020-11-20,623,2020-11-29,19,0.030497592295345103
18,Indiana,2020-11-20,368,2020-11-29,-3,-0.008152173913043478
20,Kansas,2020-11-20,216,2020-11-29,-7,-0.032407407407407406
