,location,target,type,quantile,forecast_date,target_end_date,value
0,25,1 day ahead inc death,point,,2020-05-08,2020-05-09,107
1,25,1 day ahead inc death,quantile,0.01,2020-05-08,2020-05-09,68
2,25,1 day ahead inc death,quantile,0.025,2020-05-08,2020-05-09,70
3,25,1 day ahead inc death,quantile,0.05,2020-05-08,2020-05-09,74
4,25,1 day ahead inc death,quantile,0.1,2020-05-08,2020-05-09,79
5,25,1 day ahead inc death,quantile,0.15,2020-05-08,2020-05-09,83
6,25,1 day ahead inc death,quantile,0.2,2020-05-08,2020-05-09,87
7,25,1 day ahead inc death,quantile,0.25,2020-05-08,2020-05-09,93
8,25,1 day ahead inc death,quantile,0.3,2020-05-08,2020-05-09,98
9,25,1 day ahead inc death,quantile,0.35,2020-05-08,2020-05-09,101
10,25,1 day ahead inc death,quantile,0.4,2020-05-08,2020-05-09,103
11,25,1 day ahead inc death,quantile,0.45,2020-05-08,2020-05-09,105
12,25,1 day ahead inc death,quantile,0.5,2020-05-08,2020-05-09,107
13,25,1 day ahead inc death,quantile,0.55,2020-05-08,2020-05-09,109
14,25,1 day ahead inc death,quantile,0.6,2020-05-08,2020-05-09,111
15,25,1 day ahead inc death,quantile,0.65,2020-05-08,2020-05-09,113
16,25,1 day ahead inc death,quantile,0.7,2020-05-08,2020-05-09,115
17,25,1 day ahead inc death,quantile,0.75,2020-05-08,2020-05-09,117
18,25,1 day ahead inc death,quantile,0.8,2020-05-08,2020-05-09,119
19,25,1 day ahead inc death,quantile,0.85,2020-05-08,2020-05-09,121
20,25,1 day ahead inc death,quantile,0.9,2020-05-08,2020-05-09,125
21,25,1 day ahead inc death,quantile,0.95,2020-05-08,2020-05-09,130
22,25,1 day ahead inc death,quantile,0.975,2020-05-08,2020-05-09,135
23,25,1 day ahead inc death,quantile,0.99,2020-05-08,2020-05-09,140
24,25,1 wk ahead inc death,point,,2020-05-08,2020-05-16,653
25,25,1 wk ahead inc death,quantile,0.01,2020-05-08,2020-05-16,477
26,25,1 wk ahead inc death,quantile,0.025,2020-05-08,2020-05-16,500
27,25,1 wk ahead inc death,quantile,0.05,2020-05-08,2020-05-16,539
28,25,1 wk ahead inc death,quantile,0.1,2020-05-08,2020-05-16,574
29,25,1 wk ahead inc death,quantile,0.15,2020-05-08,2020-05-16,587
30,25,1 wk ahead inc death,quantile,0.2,2020-05-08,2020-05-16,600
31,25,1 wk ahead inc death,quantile,0.25,2020-05-08,2020-05-16,613
32,25,1 wk ahead inc death,quantile,0.3,2020-05-08,2020-05-16,622
33,25,1 wk ahead inc death,quantile,0.35,2020-05-08,2020-05-16,630
34,25,1 wk ahead inc death,quantile,0.4,2020-05-08,2020-05-16,638
35,25,1 wk ahead inc death,quantile,0.45,2020-05-08,2020-05-16,646
36,25,1 wk ahead inc death,quantile,0.5,2020-05-08,2020-05-16,653
37,25,1 wk ahead inc death,quantile,0.55,2020-05-08,2020-05-16,661
38,25,1 wk ahead inc death,quantile,0.6,2020-05-08,2020-05-16,669
39,25,1 wk ahead inc death,quantile,0.65,2020-05-08,2020-05-16,689
40,25,1 wk ahead inc death,quantile,0.7,2020-05-08,2020-05-16,708
41,25,1 wk ahead inc death,quantile,0.75,2020-05-08,2020-05-16,726
42,25,1 wk ahead inc death,quantile,0.8,2020-05-08,2020-05-16,742
43,25,1 wk ahead inc death,quantile,0.85,2020-05-08,2020-05-16,757
44,25,1 wk ahead inc death,quantile,0.9,2020-05-08,2020-05-16,773
45,25,1 wk ahead inc death,quantile,0.95,2020-05-08,2020-05-16,812
46,25,1 wk ahead inc death,quantile,0.975,2020-05-08,2020-05-16,838
