location,target,target_end_date,forecast_date,type,quantile,value
01,1 day ahead inc hosp,2024-02-13,2024-02-12,point,NA,43
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.01,15
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.025,18
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.05,22
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.1,26
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.15,29
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.2,31
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.25,33
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.3,35
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.35,37
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.4,38
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.45,40
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.5,43
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.55,46
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.6,47
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.65,50
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.7,52
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.75,55
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.8,58
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.85,60
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.9,64
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.95,71
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.975,79
01,1 day ahead inc hosp,2024-02-13,2024-02-12,quantile,0.99,87
01,2 day ahead inc hosp,2024-02-14,2024-02-12,point,NA,42
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.01,14
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.025,17
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.05,21
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.1,25
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.15,28
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.2,31
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.25,33
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.3,35
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.35,36
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.4,37
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.45,39
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.5,42
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.55,45
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.6,48
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.65,49
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.7,52
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.75,54
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.8,58
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.85,62
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.9,67
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.95,72
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.975,81
01,2 day ahead inc hosp,2024-02-14,2024-02-12,quantile,0.99,90
01,3 day ahead inc hosp,2024-02-15,2024-02-12,point,NA,43
01,3 day ahead inc hosp,2024-02-15,2024-02-12,quantile,0.01,11
01,3 day ahead inc hosp,2024-02-15,2024-02-12,quantile,0.025,14
01,3 day ahead inc hosp,2024-02-15,2024-02-12,quantile,0.05,18
01,3 day ahead inc hosp,2024-02-15,2024-02-12,quantile,0.1,24
01,3 day ahead inc hosp,2024-02-15,2024-02-12,quantile,0.15,28
