weekdate,simple_countries,cumulative_prob
2020-03-15,albania,0
2020-03-22,albania,0
2020-03-29,albania,0
2020-04-05,albania,0
2020-04-12,albania,0
2020-04-19,albania,0
2020-04-26,albania,0.282467532467533
2020-05-03,albania,0.376873126873127
2020-05-10,albania,0.544205794205794
2020-05-17,albania,0.653596403596404
2020-05-24,albania,0.741508491508492
2020-05-31,albania,0.802447552447553
2020-06-07,albania,0.847402597402597
2020-06-14,albania,0.884865134865135
2020-06-21,albania,0.912087912087912
2020-06-28,albania,0.938311688311688
2020-07-05,albania,0.953046953046953
2020-07-12,albania,0.966033966033966
2020-07-19,albania,0.973026973026973
2020-07-26,albania,0.978771228771229
2020-08-02,albania,0.984015984015984
2020-08-09,albania,0.987012987012987
2020-08-16,albania,0.989260739260739
2020-08-23,albania,0.991508491508491
2020-08-30,albania,0.995254745254745
2020-09-06,albania,0.995754245754246
2020-09-13,albania,0.997752247752248
2020-09-20,albania,0.998501498501498
2020-09-27,albania,0.998751248751249
2020-10-04,albania,0.99975024975025
2020-10-11,albania,0.99975024975025
2020-10-18,albania,0.99975024975025
2020-10-25,albania,1
2020-11-01,albania,1
2020-11-08,albania,1
2020-03-15,andorra,0
2020-03-22,andorra,0
2020-03-29,andorra,0.511488511488512
2020-04-05,andorra,0.511488511488512
2020-04-12,andorra,0.511488511488512
2020-04-19,andorra,0.511488511488512
2020-04-26,andorra,0.511488511488512
2020-05-03,andorra,0.571428571428571
2020-05-10,andorra,0.672077922077922
2020-05-17,andorra,0.752997002997003
2020-05-24,andorra,0.808441558441558
2020-05-31,andorra,0.861388611388611
2020-06-07,andorra,0.895354645354645
2020-06-14,andorra,0.927822177822178
2020-06-21,andorra,0.947052947052947
2020-06-28,andorra,0.963786213786214
2020-07-05,andorra,0.973026973026973
2020-07-12,andorra,0.981018981018981
2020-07-19,andorra,0.986763236763237
2020-07-26,andorra,0.992007992007992
2020-08-02,andorra,0.994505494505495
2020-08-09,andorra,0.995504495504495
2020-08-16,andorra,0.996253746253746
2020-08-23,andorra,0.997502497502498
2020-08-30,andorra,0.997502497502498
2020-09-06,andorra,0.998501498501498
2020-09-13,andorra,0.998751248751249
2020-09-20,andorra,0.999250749250749
2020-09-27,andorra,0.999500499500499
2020-10-04,andorra,0.99975024975025
2020-10-11,andorra,0.99975024975025
2020-10-18,andorra,1
2020-10-25,andorra,1
2020-11-01,andorra,1
2020-11-08,andorra,1
2020-03-15,austria,0
2020-03-22,austria,0
2020-03-29,austria,0.998501498501498
2020-04-05,austria,0.998501498501498
2020-04-12,austria,0.998501498501498
2020-04-19,austria,0.998501498501498
2020-04-26,austria,0.998501498501498
2020-05-03,austria,0.998501498501498
2020-05-10,austria,0.998501498501498
2020-05-17,austria,0.998501498501498
2020-05-24,austria,0.998751248751249
2020-05-31,austria,0.999000999000999
2020-06-07,austria,0.999250749250749
2020-06-14,austria,0.999250749250749
2020-06-21,austria,0.99975024975025
2020-06-28,austria,0.99975024975025
2020-07-05,austria,1
2020-07-12,austria,1
2020-07-19,austria,1
2020-07-26,austria,1
2020-08-02,austria,1
2020-08-09,austria,1
2020-08-16,austria,1
2020-08-23,austria,1
2020-08-30,austria,1
2020-09-06,austria,1
2020-09-13,austria,1
2020-09-20,austria,1
2020-09-27,austria,1
2020-10-04,austria,1
2020-10-11,austria,1
2020-10-18,austria,1
2020-10-25,austria,1
2020-11-01,austria,1
2020-11-08,austria,1
2020-03-15,belarus,0
2020-03-22,belarus,0
2020-03-29,belarus,0
2020-04-05,belarus,0
2020-04-12,belarus,0
2020-04-19,belarus,0
2020-04-26,belarus,0.40984015984016
2020-05-03,belarus,0.443056943056943
