forecast_date,target,target_end_date,quantile,type,location,value
2021-02-08,1 wk ahead inc case,2021-02-13,0.025,quantile,US,583971.8430568025
2021-02-08,1 wk ahead inc case,2021-02-13,0.1,quantile,US,653915.6706283716
2021-02-08,1 wk ahead inc case,2021-02-13,0.25,quantile,US,709201.2877538895
2021-02-08,1 wk ahead inc case,2021-02-13,0.5,quantile,US,776365.286863134
2021-02-08,1 wk ahead inc case,2021-02-13,0.75,quantile,US,869610.0776847454
2021-02-08,1 wk ahead inc case,2021-02-13,0.9,quantile,US,1034758.6884953771
2021-02-08,1 wk ahead inc case,2021-02-13,0.975,quantile,US,1742840.3743146977
2021-02-08,1 wk ahead inc case,2021-02-13,NA,point,US,776365.286863134
2021-02-08,2 wk ahead inc case,2021-02-20,0.025,quantile,US,502667.1323397356
2021-02-08,2 wk ahead inc case,2021-02-20,0.1,quantile,US,581284.1397118468
2021-02-08,2 wk ahead inc case,2021-02-20,0.25,quantile,US,651568.0651878426
2021-02-08,2 wk ahead inc case,2021-02-20,0.5,quantile,US,741326.7624159161
2021-02-08,2 wk ahead inc case,2021-02-20,0.75,quantile,US,852988.2826360539
2021-02-08,2 wk ahead inc case,2021-02-20,0.9,quantile,US,1017098.9861064759
2021-02-08,2 wk ahead inc case,2021-02-20,0.975,quantile,US,1490536.5210901452
2021-02-08,2 wk ahead inc case,2021-02-20,NA,point,US,741326.7624159161
2021-02-08,3 wk ahead inc case,2021-02-27,0.025,quantile,US,423173.81751923385
2021-02-08,3 wk ahead inc case,2021-02-27,0.1,quantile,US,512016.853335967
2021-02-08,3 wk ahead inc case,2021-02-27,0.25,quantile,US,597447.7372526114
2021-02-08,3 wk ahead inc case,2021-02-27,0.5,quantile,US,711118.5058570143
2021-02-08,3 wk ahead inc case,2021-02-27,0.75,quantile,US,844160.5672355337
2021-02-08,3 wk ahead inc case,2021-02-27,0.9,quantile,US,1028062.7450165012
2021-02-08,3 wk ahead inc case,2021-02-27,0.975,quantile,US,1527438.6551746754
2021-02-08,3 wk ahead inc case,2021-02-27,NA,point,US,711118.5058570143
2021-02-08,4 wk ahead inc case,2021-03-06,0.025,quantile,US,392616.9983745707
2021-02-08,4 wk ahead inc case,2021-03-06,0.1,quantile,US,488874.0001345825
