target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.6,11362.671944818618
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.6,11391.752973170043
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.6,11405.773632373175
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.6,11423.279347814849
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.65,11363.427982317935
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.65,11397.572929301608
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.65,11416.693488563902
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.65,11436.40090904881
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.7,11376.600622589038
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.7,11402.47970226971
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.7,11429.367175479203
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.7,11446.848407790518
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.75,11377.068946984757
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.75,11407.136687302764
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.75,11459.672650391807
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.75,11461.672047519958
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.8,11392.121423706436
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.8,11421.006942756756
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.8,11474.056597797757
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.8,11475.191586652047
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.85,11413.403904396162
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.85,11443.324655114488
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.85,11506.694037581656
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.85,11519.64183971281
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.9,11426.102390189584
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.9,11476.293230437863
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.9,11548.403693698787
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.9,11574.191866802617
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.95,11486.895225675327
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.95,11569.412395250672
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.95,11642.403926765557
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.95,11690.467087585395
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.975,11568.60595978484
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.975,11676.18265270481
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.975,11822.881520034625
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.975,11835.808401301349
1 wk ahead cum death,2021-06-28,2021-07-03,01,quantile,0.99,11842.584468874997
2 wk ahead cum death,2021-06-28,2021-07-10,01,quantile,0.99,12160.759302784176
3 wk ahead cum death,2021-06-28,2021-07-17,01,quantile,0.99,12460.306201794445
4 wk ahead cum death,2021-06-28,2021-07-24,01,quantile,0.99,12551.940857481593
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.01,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.01,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.01,374.0
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.01,374.0
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.025,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.025,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.025,374.0
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.025,374.0
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.05,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.05,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.05,374.0
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.05,374.0
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.1,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.1,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.1,374.0
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.1,374.0
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.15,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.15,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.15,374.0
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.15,374.337542978884
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.2,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.2,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.2,374.0
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.2,375.2076759399264
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.25,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.25,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.25,374.64399824765735
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.25,376.66769069642015
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.3,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.3,374.0
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.3,375.0970016198764
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.3,377.6431983600157
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.35,374.0
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.35,374.1190374680441
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.35,376.16380898346256
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.35,377.6569926871653
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.4,374.44356566065295
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.4,374.92118714065475
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.4,376.32777917734586
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.4,379.14059055179933
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.45,375.27811676425506
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.45,376.20368598460743
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.45,378.3614063911947
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.45,380.3403082068554
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.5,375.6408047213286
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.5,377.6418101813216
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.5,379.0779089993558
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.5,380.4516574221273
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.55,375.8810567551294
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.55,378.53315533144826
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.55,379.60925844547995
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.55,381.3631261404415
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.6,376.3241630340278
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.6,379.0667279334242
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.6,380.76617342669726
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.6,381.7392225470861
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.65,376.49793966691635
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.65,379.33316859881586
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.65,380.90781151152896
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.65,384.9266388212252
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.7,377.4657854488633
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.7,379.68994318075164
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.7,383.4815890604824
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.7,385.90436011676354
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.75,377.53043115327
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.75,380.63240376649907
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.75,388.3348841430753
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.75,388.51387492358947
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.8,379.94148000878926
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.8,383.18760117454633
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.8,390.6847656603488
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.8,390.9837746975202
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.85,382.70781083153236
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.85,385.6642438782207
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.85,394.8925609554428
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.85,397.4525871100259
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.9,385.27621341929506
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.9,391.11056088907844
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.9,402.5615909581509
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.9,404.1790180828728
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.95,393.91737299253134
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.95,405.8900938987065
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.95,414.69880480133224
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.95,423.00366689806117
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.975,407.9293423908754
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.975,419.6897140846242
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.975,442.7588099420612
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.975,443.2617322355146
1 wk ahead cum death,2021-06-28,2021-07-03,02,quantile,0.99,449.9436951960267
2 wk ahead cum death,2021-06-28,2021-07-10,02,quantile,0.99,496.22101387302274
3 wk ahead cum death,2021-06-28,2021-07-17,02,quantile,0.99,537.2057578879081
4 wk ahead cum death,2021-06-28,2021-07-24,02,quantile,0.99,551.6306408504983
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.01,17914.0
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.01,17914.0
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.01,17914.0
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.01,17914.0
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.025,17914.0
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.025,17914.0
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.025,17914.0
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.025,17914.0
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.05,17914.0
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.05,17914.0
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.05,17914.0
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.05,17947.592829940848
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.1,17914.0
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.1,17948.591452336885
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.1,17953.981313317698
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.1,17989.28161375266
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.15,17918.165028306496
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.15,17972.351984753226
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.15,17978.56855758631
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.15,18028.567979132247
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.2,17948.999564515074
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.2,17987.4246249639
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.2,17996.86954626541
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.2,18045.051062101822
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.25,17952.05849325698
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.25,17993.140260661898
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.25,18029.325829166926
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.25,18059.404982769585
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.3,17965.032153624306
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.3,18002.20290467592
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.3,18030.481251209043
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.3,18067.963709377338
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.35,17967.345129328303
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.35,18004.669191187415
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.35,18049.57426016615
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.35,18072.37428853075
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.4,17972.10142650708
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.4,18006.704933801448
