country,state,location,quantile,forecast_date,target,target_end_date,value
US,AL,01,0.010,2020-05-25,0 day ahead cum death,2020-05-25,558
US,AL,01,0.025,2020-05-25,0 day ahead cum death,2020-05-25,559
US,AL,01,0.050,2020-05-25,0 day ahead cum death,2020-05-25,561
US,AL,01,0.100,2020-05-25,0 day ahead cum death,2020-05-25,564
US,AL,01,0.150,2020-05-25,0 day ahead cum death,2020-05-25,568
US,AL,01,0.200,2020-05-25,0 day ahead cum death,2020-05-25,571
US,AL,01,0.250,2020-05-25,0 day ahead cum death,2020-05-25,574
US,AL,01,0.300,2020-05-25,0 day ahead cum death,2020-05-25,578
US,AL,01,0.350,2020-05-25,0 day ahead cum death,2020-05-25,581
US,AL,01,0.400,2020-05-25,0 day ahead cum death,2020-05-25,585
US,AL,01,0.450,2020-05-25,0 day ahead cum death,2020-05-25,590
US,AL,01,0.500,2020-05-25,0 day ahead cum death,2020-05-25,595
US,AL,01,NA,2020-05-25,0 day ahead cum death,2020-05-25,595
US,AL,01,0.550,2020-05-25,0 day ahead cum death,2020-05-25,602
US,AL,01,0.600,2020-05-25,0 day ahead cum death,2020-05-25,613
US,AL,01,0.650,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.700,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.750,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.800,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.850,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.900,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.950,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.975,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.990,2020-05-25,0 day ahead cum death,2020-05-25,743
US,AL,01,0.010,2020-05-25,1 day ahead cum death,2020-05-26,559
US,AL,01,0.025,2020-05-25,1 day ahead cum death,2020-05-26,560
US,AL,01,0.050,2020-05-25,1 day ahead cum death,2020-05-26,563
US,AL,01,0.100,2020-05-25,1 day ahead cum death,2020-05-26,567
US,AL,01,0.150,2020-05-25,1 day ahead cum death,2020-05-26,572
US,AL,01,0.200,2020-05-25,1 day ahead cum death,2020-05-26,577
US,AL,01,0.250,2020-05-25,1 day ahead cum death,2020-05-26,581
US,AL,01,0.300,2020-05-25,1 day ahead cum death,2020-05-26,586
US,AL,01,0.350,2020-05-25,1 day ahead cum death,2020-05-26,591
US,AL,01,0.400,2020-05-25,1 day ahead cum death,2020-05-26,596
US,AL,01,0.450,2020-05-25,1 day ahead cum death,2020-05-26,602
US,AL,01,0.500,2020-05-25,1 day ahead cum death,2020-05-26,608
US,AL,01,NA,2020-05-25,1 day ahead cum death,2020-05-26,608
US,AL,01,0.550,2020-05-25,1 day ahead cum death,2020-05-26,616
US,AL,01,0.600,2020-05-25,1 day ahead cum death,2020-05-26,626
US,AL,01,0.650,2020-05-25,1 day ahead cum death,2020-05-26,643
US,AL,01,0.700,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.750,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.800,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.850,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.900,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.950,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.975,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.990,2020-05-25,1 day ahead cum death,2020-05-26,833
US,AL,01,0.010,2020-05-25,2 day ahead cum death,2020-05-27,559
US,AL,01,0.025,2020-05-25,2 day ahead cum death,2020-05-27,561
US,AL,01,0.050,2020-05-25,2 day ahead cum death,2020-05-27,564
US,AL,01,0.100,2020-05-25,2 day ahead cum death,2020-05-27,570
US,AL,01,0.150,2020-05-25,2 day ahead cum death,2020-05-27,576
US,AL,01,0.200,2020-05-25,2 day ahead cum death,2020-05-27,581
US,AL,01,0.250,2020-05-25,2 day ahead cum death,2020-05-27,587
US,AL,01,0.300,2020-05-25,2 day ahead cum death,2020-05-27,593
US,AL,01,0.350,2020-05-25,2 day ahead cum death,2020-05-27,599
US,AL,01,0.400,2020-05-25,2 day ahead cum death,2020-05-27,605
US,AL,01,0.450,2020-05-25,2 day ahead cum death,2020-05-27,611
US,AL,01,0.500,2020-05-25,2 day ahead cum death,2020-05-27,619
US,AL,01,NA,2020-05-25,2 day ahead cum death,2020-05-27,619
US,AL,01,0.550,2020-05-25,2 day ahead cum death,2020-05-27,627
US,AL,01,0.600,2020-05-25,2 day ahead cum death,2020-05-27,637
US,AL,01,0.650,2020-05-25,2 day ahead cum death,2020-05-27,651
US,AL,01,0.700,2020-05-25,2 day ahead cum death,2020-05-27,680
US,AL,01,0.750,2020-05-25,2 day ahead cum death,2020-05-27,909
US,AL,01,0.800,2020-05-25,2 day ahead cum death,2020-05-27,909
US,AL,01,0.850,2020-05-25,2 day ahead cum death,2020-05-27,909
US,AL,01,0.900,2020-05-25,2 day ahead cum death,2020-05-27,909
US,AL,01,0.950,2020-05-25,2 day ahead cum death,2020-05-27,909
US,AL,01,0.975,2020-05-25,2 day ahead cum death,2020-05-27,909
US,AL,01,0.990,2020-05-25,2 day ahead cum death,2020-05-27,909
US,AL,01,0.010,2020-05-25,3 day ahead cum death,2020-05-28,559
US,AL,01,0.025,2020-05-25,3 day ahead cum death,2020-05-28,561
US,AL,01,0.050,2020-05-25,3 day ahead cum death,2020-05-28,565
US,AL,01,0.100,2020-05-25,3 day ahead cum death,2020-05-28,572
US,AL,01,0.150,2020-05-25,3 day ahead cum death,2020-05-28,579
US,AL,01,0.200,2020-05-25,3 day ahead cum death,2020-05-28,586
US,AL,01,0.250,2020-05-25,3 day ahead cum death,2020-05-28,592
US,AL,01,0.300,2020-05-25,3 day ahead cum death,2020-05-28,599
US,AL,01,0.350,2020-05-25,3 day ahead cum death,2020-05-28,605
US,AL,01,0.400,2020-05-25,3 day ahead cum death,2020-05-28,612
US,AL,01,0.450,2020-05-25,3 day ahead cum death,2020-05-28,619
US,AL,01,0.500,2020-05-25,3 day ahead cum death,2020-05-28,627
US,AL,01,NA,2020-05-25,3 day ahead cum death,2020-05-28,627
US,AL,01,0.550,2020-05-25,3 day ahead cum death,2020-05-28,636
US,AL,01,0.600,2020-05-25,3 day ahead cum death,2020-05-28,647
US,AL,01,0.650,2020-05-25,3 day ahead cum death,2020-05-28,660
US,AL,01,0.700,2020-05-25,3 day ahead cum death,2020-05-28,681
US,AL,01,0.750,2020-05-25,3 day ahead cum death,2020-05-28,975
US,AL,01,0.800,2020-05-25,3 day ahead cum death,2020-05-28,975
US,AL,01,0.850,2020-05-25,3 day ahead cum death,2020-05-28,975
US,AL,01,0.900,2020-05-25,3 day ahead cum death,2020-05-28,975
US,AL,01,0.950,2020-05-25,3 day ahead cum death,2020-05-28,975
US,AL,01,0.975,2020-05-25,3 day ahead cum death,2020-05-28,975
US,AL,01,0.990,2020-05-25,3 day ahead cum death,2020-05-28,975
US,AL,01,0.010,2020-05-25,4 day ahead cum death,2020-05-29,559
US,AL,01,0.025,2020-05-25,4 day ahead cum death,2020-05-29,562
US,AL,01,0.050,2020-05-25,4 day ahead cum death,2020-05-29,566
