forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
2020-04-13,1 wk ahead cum death,2020-04-18,Alabama,51,21,106
2020-04-13,1 wk ahead cum death,2020-04-18,Alaska,14,0,40
2020-04-13,1 wk ahead cum death,2020-04-18,Arizona,228,102,379
2020-04-13,1 wk ahead cum death,2020-04-18,Arkansas,14,0,46
2020-04-13,1 wk ahead cum death,2020-04-18,California,1347,736,2662
2020-04-13,1 wk ahead cum death,2020-04-18,Colorado,351,212,684
2020-04-13,1 wk ahead cum death,2020-04-18,Connecticut,513,262,942
2020-04-13,1 wk ahead cum death,2020-04-18,Delaware,27,5,88
2020-04-13,1 wk ahead cum death,2020-04-18,Florida,976,543,1909
2020-04-13,1 wk ahead cum death,2020-04-18,Georgia,286,149,627
2020-04-13,1 wk ahead cum death,2020-04-18,Hawaii,16,4,72
2020-04-13,1 wk ahead cum death,2020-04-18,Idaho,0,0,10
2020-04-13,1 wk ahead cum death,2020-04-18,Illinois,973,495,2204
2020-04-13,1 wk ahead cum death,2020-04-18,Indiana,144,74,308
2020-04-13,1 wk ahead cum death,2020-04-18,Iowa,25,3,108
2020-04-13,1 wk ahead cum death,2020-04-18,Kansas,26,4,88
2020-04-13,1 wk ahead cum death,2020-04-18,Kentucky,39,7,141
2020-04-13,1 wk ahead cum death,2020-04-18,Louisiana,436,259,1040
2020-04-13,1 wk ahead cum death,2020-04-18,Maine,27,6,72
2020-04-13,1 wk ahead cum death,2020-04-18,Maryland,176,85,427
2020-04-13,1 wk ahead cum death,2020-04-18,Massachusetts,965,747,1738
2020-04-13,1 wk ahead cum death,2020-04-18,Michigan,1426,931,2730
2020-04-13,1 wk ahead cum death,2020-04-18,Minnesota,48,13,249
2020-04-13,1 wk ahead cum death,2020-04-18,Mississippi,13,0,67
2020-04-13,1 wk ahead cum death,2020-04-18,Missouri,159,97,291
2020-04-13,1 wk ahead cum death,2020-04-18,Montana,22,1,58
2020-04-13,1 wk ahead cum death,2020-04-18,Nebraska,8,1,58
2020-04-13,1 wk ahead cum death,2020-04-18,Nevada,52,23,169
2020-04-13,1 wk ahead cum death,2020-04-18,New Hampshire,44,17,182
2020-04-13,1 wk ahead cum death,2020-04-18,New Jersey,2187,1523,3553
2020-04-13,1 wk ahead cum death,2020-04-18,New Mexico,23,4,96
2020-04-13,1 wk ahead cum death,2020-04-18,New York,12010,8994,17865
2020-04-13,1 wk ahead cum death,2020-04-18,North Carolina,157,85,313
2020-04-13,1 wk ahead cum death,2020-04-18,North Dakota,0,0,14
2020-04-13,1 wk ahead cum death,2020-04-18,Ohio,130,58,339
2020-04-13,1 wk ahead cum death,2020-04-18,Oklahoma,40,10,99
2020-04-13,1 wk ahead cum death,2020-04-18,Oregon,95,38,247
2020-04-13,1 wk ahead cum death,2020-04-18,Pennsylvania,684,373,1348
2020-04-13,1 wk ahead cum death,2020-04-18,Rhode Island,37,17,97
2020-04-13,1 wk ahead cum death,2020-04-18,South Carolina,83,34,227
2020-04-13,1 wk ahead cum death,2020-04-18,South Dakota,13,0,190
2020-04-13,1 wk ahead cum death,2020-04-18,Tennessee,192,94,389
2020-04-13,1 wk ahead cum death,2020-04-18,Texas,340,197,595
2020-04-13,1 wk ahead cum death,2020-04-18,Utah,56,23,166
2020-04-13,1 wk ahead cum death,2020-04-18,Vermont,45,15,89
2020-04-13,1 wk ahead cum death,2020-04-18,Virginia,99,33,280
2020-04-13,1 wk ahead cum death,2020-04-18,Washington,611,340,1290
2020-04-13,1 wk ahead cum death,2020-04-18,West Virginia,0,0,17
2020-04-13,1 wk ahead cum death,2020-04-18,Wisconsin,157,71,325
2020-04-13,1 wk ahead cum death,2020-04-18,Wyoming,0,0,34
2020-04-13,1 wk ahead cum death,2020-04-18,US National,26030,19901,38850
2020-04-13,2 wk ahead cum death,2020-04-25,Alabama,91,40,238
