forecast_date,location,target,type,quantile,target_end_date,value
2020-08-31,01,1 wk ahead cum death,point,NA,2020-09-05,2282.6202
2020-08-31,02,1 wk ahead cum death,point,NA,2020-09-05,40.542
2020-08-31,04,1 wk ahead cum death,point,NA,2020-09-05,5221.3962
2020-08-31,05,1 wk ahead cum death,point,NA,2020-09-05,861.196
2020-08-31,06,1 wk ahead cum death,point,NA,2020-09-05,13667.1828
2020-08-31,08,1 wk ahead cum death,point,NA,2020-09-05,1969.9116
2020-08-31,09,1 wk ahead cum death,point,NA,2020-09-05,4472.1754
2020-08-31,10,1 wk ahead cum death,point,NA,2020-09-05,610.3754
2020-08-31,11,1 wk ahead cum death,point,NA,2020-09-05,610.3352
2020-08-31,12,1 wk ahead cum death,point,NA,2020-09-05,11905.9992
2020-08-31,13,1 wk ahead cum death,point,NA,2020-09-05,6155.3732
2020-08-31,15,1 wk ahead cum death,point,NA,2020-09-05,72.439
2020-08-31,16,1 wk ahead cum death,point,NA,2020-09-05,401.181
2020-08-31,17,1 wk ahead cum death,point,NA,2020-09-05,8343.3922
2020-08-31,18,1 wk ahead cum death,point,NA,2020-09-05,3363.4898
2020-08-31,19,1 wk ahead cum death,point,NA,2020-09-05,1184.0286
2020-08-31,20,1 wk ahead cum death,point,NA,2020-09-05,468.5956
2020-08-31,21,1 wk ahead cum death,point,NA,2020-09-05,975.7752
2020-08-31,22,1 wk ahead cum death,point,NA,2020-09-05,5109.3454
2020-08-31,23,1 wk ahead cum death,point,NA,2020-09-05,134.762
2020-08-31,24,1 wk ahead cum death,point,NA,2020-09-05,3801.574
2020-08-31,25,1 wk ahead cum death,point,NA,2020-09-05,9138.1482
2020-08-31,26,1 wk ahead cum death,point,NA,2020-09-05,6811.7698
2020-08-31,27,1 wk ahead cum death,point,NA,2020-09-05,1928.0448
2020-08-31,28,1 wk ahead cum death,point,NA,2020-09-05,2603.4814
2020-08-31,29,1 wk ahead cum death,point,NA,2020-09-05,1594.1392
2020-08-31,30,1 wk ahead cum death,point,NA,2020-09-05,114.2982
2020-08-31,31,1 wk ahead cum death,point,NA,2020-09-05,410.6258
2020-08-31,32,1 wk ahead cum death,point,NA,2020-09-05,1403.3696
2020-08-31,33,1 wk ahead cum death,point,NA,2020-09-05,436.4578
2020-08-31,34,1 wk ahead cum death,point,NA,2020-09-05,15961.2416
2020-08-31,35,1 wk ahead cum death,point,NA,2020-09-05,797.933
2020-08-31,36,1 wk ahead cum death,point,NA,2020-09-05,32992.255
