forecast_date,location,target,type,quantile,target_end_date,value
2020-12-14,01,1 wk ahead cum death,point,NA,2020-12-19,4428.194
2020-12-14,02,1 wk ahead cum death,point,NA,2020-12-19,202.98
2020-12-14,04,1 wk ahead cum death,point,NA,2020-12-19,7820.5054
2020-12-14,05,1 wk ahead cum death,point,NA,2020-12-19,3148.67
2020-12-14,06,1 wk ahead cum death,point,NA,2020-12-19,21977.5196
2020-12-14,08,1 wk ahead cum death,point,NA,2020-12-19,4582.0112
2020-12-14,09,1 wk ahead cum death,point,NA,2020-12-19,5570.6006
2020-12-14,10,1 wk ahead cum death,point,NA,2020-12-19,842.0512
2020-12-14,11,1 wk ahead cum death,point,NA,2020-12-19,731.0122
2020-12-14,12,1 wk ahead cum death,point,NA,2020-12-19,20771.1056
2020-12-14,13,1 wk ahead cum death,point,NA,2020-12-19,10476.6748
2020-12-14,15,1 wk ahead cum death,point,NA,2020-12-19,286.2436
2020-12-14,16,1 wk ahead cum death,point,NA,2020-12-19,1395.4352
2020-12-14,17,1 wk ahead cum death,point,NA,2020-12-19,16973.302
2020-12-14,18,1 wk ahead cum death,point,NA,2020-12-19,7510.5936
2020-12-14,19,1 wk ahead cum death,point,NA,2020-12-19,3568.545
2020-12-14,20,1 wk ahead cum death,point,NA,2020-12-19,2261.0596
2020-12-14,21,1 wk ahead cum death,point,NA,2020-12-19,2404.7912
2020-12-14,22,1 wk ahead cum death,point,NA,2020-12-19,7042.6062
2020-12-14,23,1 wk ahead cum death,point,NA,2020-12-19,290.3898
2020-12-14,24,1 wk ahead cum death,point,NA,2020-12-19,5409.8078
2020-12-14,25,1 wk ahead cum death,point,NA,2020-12-19,11663.6766
2020-12-14,26,1 wk ahead cum death,point,NA,2020-12-19,12555.973999999998
2020-12-14,27,1 wk ahead cum death,point,NA,2020-12-19,4957.8694
2020-12-14,28,1 wk ahead cum death,point,NA,2020-12-19,4409.94
2020-12-14,29,1 wk ahead cum death,point,NA,2020-12-19,4952.7904
2020-12-14,30,1 wk ahead cum death,point,NA,2020-12-19,929.6668
2020-12-14,31,1 wk ahead cum death,point,NA,2020-12-19,1643.9378
2020-12-14,32,1 wk ahead cum death,point,NA,2020-12-19,2834.988
2020-12-14,33,1 wk ahead cum death,point,NA,2020-12-19,633.7034
2020-12-14,34,1 wk ahead cum death,point,NA,2020-12-19,18216.5698
2020-12-14,35,1 wk ahead cum death,point,NA,2020-12-19,2241.2902
2020-12-14,36,1 wk ahead cum death,point,NA,2020-12-19,36107.939
