forecast_date,location,target,type,quantile,target_end_date,value
2020-12-21,01,1 wk ahead cum death,point,NA,2020-12-26,4682.9512
2020-12-21,02,1 wk ahead cum death,point,NA,2020-12-26,198.051
2020-12-21,04,1 wk ahead cum death,point,NA,2020-12-26,8569.498
2020-12-21,05,1 wk ahead cum death,point,NA,2020-12-26,3473.3372
2020-12-21,06,1 wk ahead cum death,point,NA,2020-12-26,24105.9694
2020-12-21,08,1 wk ahead cum death,point,NA,2020-12-26,4790.6286
2020-12-21,09,1 wk ahead cum death,point,NA,2020-12-26,5828.9688
2020-12-21,10,1 wk ahead cum death,point,NA,2020-12-26,903.9652
2020-12-21,11,1 wk ahead cum death,point,NA,2020-12-26,763.1984
2020-12-21,12,1 wk ahead cum death,point,NA,2020-12-26,21460.9488
2020-12-21,13,1 wk ahead cum death,point,NA,2020-12-26,10724.2864
2020-12-21,15,1 wk ahead cum death,point,NA,2020-12-26,290.4442
2020-12-21,16,1 wk ahead cum death,point,NA,2020-12-26,1398.4402
2020-12-21,17,1 wk ahead cum death,point,NA,2020-12-26,17761.8724
2020-12-21,18,1 wk ahead cum death,point,NA,2020-12-26,7994.149
2020-12-21,19,1 wk ahead cum death,point,NA,2020-12-26,3938.8836
2020-12-21,20,1 wk ahead cum death,point,NA,2020-12-26,2535.6754
2020-12-21,21,1 wk ahead cum death,point,NA,2020-12-26,2589.2748
2020-12-21,22,1 wk ahead cum death,point,NA,2020-12-26,7257.9772
2020-12-21,23,1 wk ahead cum death,point,NA,2020-12-26,328.3548
2020-12-21,24,1 wk ahead cum death,point,NA,2020-12-26,5827.5438
2020-12-21,25,1 wk ahead cum death,point,NA,2020-12-26,12148.262
2020-12-21,26,1 wk ahead cum death,point,NA,2020-12-26,13094.9692
2020-12-21,27,1 wk ahead cum death,point,NA,2020-12-26,5288.7108
2020-12-21,28,1 wk ahead cum death,point,NA,2020-12-26,4653.113
2020-12-21,29,1 wk ahead cum death,point,NA,2020-12-26,5408.5058
2020-12-21,30,1 wk ahead cum death,point,NA,2020-12-26,908.6444
2020-12-21,31,1 wk ahead cum death,point,NA,2020-12-26,1682.0876
2020-12-21,32,1 wk ahead cum death,point,NA,2020-12-26,3049.9006
2020-12-21,33,1 wk ahead cum death,point,NA,2020-12-26,709.0538
2020-12-21,34,1 wk ahead cum death,point,NA,2020-12-26,18766.9616
2020-12-21,35,1 wk ahead cum death,point,NA,2020-12-26,2379.05
2020-12-21,36,1 wk ahead cum death,point,NA,2020-12-26,37165.63
2020-12-21,37,1 wk ahead cum death,point,NA,2020-12-26,6658.3758
2020-12-21,38,1 wk ahead cum death,point,NA,2020-12-26,1296.029
2020-12-21,39,1 wk ahead cum death,point,NA,2020-12-26,8789.5546
2020-12-21,40,1 wk ahead cum death,point,NA,2020-12-26,2384.8734
2020-12-21,41,1 wk ahead cum death,point,NA,2020-12-26,1472.4752
2020-12-21,42,1 wk ahead cum death,point,NA,2020-12-26,15467.8036
2020-12-21,44,1 wk ahead cum death,point,NA,2020-12-26,1842.798
2020-12-21,45,1 wk ahead cum death,point,NA,2020-12-26,5147.2172
2020-12-21,46,1 wk ahead cum death,point,NA,2020-12-26,1489.7592
2020-12-21,47,1 wk ahead cum death,point,NA,2020-12-26,6570.413000000001
2020-12-21,48,1 wk ahead cum death,point,NA,2020-12-26,27113.2288
2020-12-21,49,1 wk ahead cum death,point,NA,2020-12-26,1248.868
2020-12-21,50,1 wk ahead cum death,point,NA,2020-12-26,124.4498
2020-12-21,51,1 wk ahead cum death,point,NA,2020-12-26,4902.2566
2020-12-21,53,1 wk ahead cum death,point,NA,2020-12-26,3211.523
2020-12-21,54,1 wk ahead cum death,point,NA,2020-12-26,1259.3528
2020-12-21,55,1 wk ahead cum death,point,NA,2020-12-26,4991.0866
2020-12-21,56,1 wk ahead cum death,point,NA,2020-12-26,404.5552
2020-12-21,US,1 wk ahead cum death,point,NA,2020-12-26,336653.0132
2020-12-21,01,1 wk ahead cum death,quantile,0.01,2020-12-26,4500.0
2020-12-21,02,1 wk ahead cum death,quantile,0.01,2020-12-26,186.0
