forecast_date,location,target,type,quantile,target_end_date,value
2020-11-30,01,1 wk ahead cum death,point,NA,2020-12-05,3729.9148
2020-11-30,02,1 wk ahead cum death,point,NA,2020-12-05,128.1284
2020-11-30,04,1 wk ahead cum death,point,NA,2020-12-05,6797.353
2020-11-30,05,1 wk ahead cum death,point,NA,2020-12-05,2564.043
2020-11-30,06,1 wk ahead cum death,point,NA,2020-12-05,19553.0506
2020-11-30,08,1 wk ahead cum death,point,NA,2020-12-05,3223.7554
2020-11-30,09,1 wk ahead cum death,point,NA,2020-12-05,5061.1064
2020-11-30,10,1 wk ahead cum death,point,NA,2020-12-05,797.7214
2020-11-30,11,1 wk ahead cum death,point,NA,2020-12-05,692.8876
2020-11-30,12,1 wk ahead cum death,point,NA,2020-12-05,18943.0632
2020-11-30,13,1 wk ahead cum death,point,NA,2020-12-05,9791.2588
2020-11-30,15,1 wk ahead cum death,point,NA,2020-12-05,251.3892
2020-11-30,16,1 wk ahead cum death,point,NA,2020-12-05,992.056
2020-11-30,17,1 wk ahead cum death,point,NA,2020-12-05,13608.0782
2020-11-30,18,1 wk ahead cum death,point,NA,2020-12-05,6047.1732
2020-11-30,19,1 wk ahead cum death,point,NA,2020-12-05,2603.1864
2020-11-30,20,1 wk ahead cum death,point,NA,2020-12-05,1591.9594
2020-11-30,21,1 wk ahead cum death,point,NA,2020-12-05,1998.547
2020-11-30,22,1 wk ahead cum death,point,NA,2020-12-05,6519.583000000001
2020-11-30,23,1 wk ahead cum death,point,NA,2020-12-05,202.8822
2020-11-30,24,1 wk ahead cum death,point,NA,2020-12-05,4775.521
2020-11-30,25,1 wk ahead cum death,point,NA,2020-12-05,10954.579
2020-11-30,26,1 wk ahead cum death,point,NA,2020-12-05,9950.5962
2020-11-30,27,1 wk ahead cum death,point,NA,2020-12-05,3922.2258
2020-11-30,28,1 wk ahead cum death,point,NA,2020-12-05,3930.0586
2020-11-30,29,1 wk ahead cum death,point,NA,2020-12-05,4023.2952
2020-11-30,30,1 wk ahead cum death,point,NA,2020-12-05,715.327
2020-11-30,31,1 wk ahead cum death,point,NA,2020-12-05,1080.002
2020-11-30,32,1 wk ahead cum death,point,NA,2020-12-05,2231.4706
2020-11-30,33,1 wk ahead cum death,point,NA,2020-12-05,542.409
2020-11-30,34,1 wk ahead cum death,point,NA,2020-12-05,17165.9866
2020-11-30,35,1 wk ahead cum death,point,NA,2020-12-05,1672.9952
2020-11-30,36,1 wk ahead cum death,point,NA,2020-12-05,34785.023
2020-11-30,37,1 wk ahead cum death,point,NA,2020-12-05,5469.6656
2020-11-30,38,1 wk ahead cum death,point,NA,2020-12-05,1001.5188
2020-11-30,39,1 wk ahead cum death,point,NA,2020-12-05,6706.0574
2020-11-30,40,1 wk ahead cum death,point,NA,2020-12-05,1842.8984
2020-11-30,41,1 wk ahead cum death,point,NA,2020-12-05,952.8474
2020-11-30,42,1 wk ahead cum death,point,NA,2020-12-05,10747.1218
2020-11-30,44,1 wk ahead cum death,point,NA,2020-12-05,1414.6828
2020-11-30,45,1 wk ahead cum death,point,NA,2020-12-05,4458.9468
2020-11-30,46,1 wk ahead cum death,point,NA,2020-12-05,1049.4328
2020-11-30,47,1 wk ahead cum death,point,NA,2020-12-05,4788.7784
2020-11-30,48,1 wk ahead cum death,point,NA,2020-12-05,22465.426
2020-11-30,49,1 wk ahead cum death,point,NA,2020-12-05,925.1404
2020-11-30,50,1 wk ahead cum death,point,NA,2020-12-05,69.0622
2020-11-30,51,1 wk ahead cum death,point,NA,2020-12-05,4165.7346
2020-11-30,53,1 wk ahead cum death,point,NA,2020-12-05,2775.8354
