forecast_date,location,target,type,quantile,target_end_date,value
2020-11-23,01,1 wk ahead cum death,point,NA,2020-11-28,3656.3744
2020-11-23,02,1 wk ahead cum death,point,NA,2020-11-28,110.3384
2020-11-23,04,1 wk ahead cum death,point,NA,2020-11-28,6612.2714
2020-11-23,05,1 wk ahead cum death,point,NA,2020-11-28,2496.8814
2020-11-23,06,1 wk ahead cum death,point,NA,2020-11-28,19120.0058
2020-11-23,08,1 wk ahead cum death,point,NA,2020-11-28,3028.2218
2020-11-23,09,1 wk ahead cum death,point,NA,2020-11-28,4926.5484
2020-11-23,10,1 wk ahead cum death,point,NA,2020-11-28,778.6764
2020-11-23,11,1 wk ahead cum death,point,NA,2020-11-28,680.0110000000002
2020-11-23,12,1 wk ahead cum death,point,NA,2020-11-28,18557.8068
2020-11-23,13,1 wk ahead cum death,point,NA,2020-11-28,9522.9988
2020-11-23,15,1 wk ahead cum death,point,NA,2020-11-28,242.755
2020-11-23,16,1 wk ahead cum death,point,NA,2020-11-28,941.1144
2020-11-23,17,1 wk ahead cum death,point,NA,2020-11-28,12839.628
2020-11-23,18,1 wk ahead cum death,point,NA,2020-11-28,5751.9608
2020-11-23,19,1 wk ahead cum death,point,NA,2020-11-28,2427.4676
2020-11-23,20,1 wk ahead cum death,point,NA,2020-11-28,1467.3452
2020-11-23,21,1 wk ahead cum death,point,NA,2020-11-28,1915.336
2020-11-23,22,1 wk ahead cum death,point,NA,2020-11-28,6385.0396
2020-11-23,23,1 wk ahead cum death,point,NA,2020-11-28,184.6908
2020-11-23,24,1 wk ahead cum death,point,NA,2020-11-28,4557.2592
2020-11-23,25,1 wk ahead cum death,point,NA,2020-11-28,10765.8996
2020-11-23,26,1 wk ahead cum death,point,NA,2020-11-28,9409.9814
2020-11-23,27,1 wk ahead cum death,point,NA,2020-11-28,3587.8634
2020-11-23,28,1 wk ahead cum death,point,NA,2020-11-28,3800.845
2020-11-23,29,1 wk ahead cum death,point,NA,2020-11-28,3854.9874
2020-11-23,30,1 wk ahead cum death,point,NA,2020-11-28,679.2078
2020-11-23,31,1 wk ahead cum death,point,NA,2020-11-28,1031.3494
2020-11-23,32,1 wk ahead cum death,point,NA,2020-11-28,2098.6104
2020-11-23,33,1 wk ahead cum death,point,NA,2020-11-28,529.0882
2020-11-23,34,1 wk ahead cum death,point,NA,2020-11-28,16940.3192
2020-11-23,35,1 wk ahead cum death,point,NA,2020-11-28,1524.1834
2020-11-23,36,1 wk ahead cum death,point,NA,2020-11-28,34566.8882
2020-11-23,37,1 wk ahead cum death,point,NA,2020-11-28,5373.1874
2020-11-23,38,1 wk ahead cum death,point,NA,2020-11-28,982.4206
2020-11-23,39,1 wk ahead cum death,point,NA,2020-11-28,6269.8404
2020-11-23,40,1 wk ahead cum death,point,NA,2020-11-28,1772.0402
2020-11-23,41,1 wk ahead cum death,point,NA,2020-11-28,864.1412
2020-11-23,42,1 wk ahead cum death,point,NA,2020-11-28,10301.9508
2020-11-23,44,1 wk ahead cum death,point,NA,2020-11-28,1404.3186
2020-11-23,45,1 wk ahead cum death,point,NA,2020-11-28,4420.0792
2020-11-23,46,1 wk ahead cum death,point,NA,2020-11-28,965.251
2020-11-23,47,1 wk ahead cum death,point,NA,2020-11-28,4588.094
2020-11-23,48,1 wk ahead cum death,point,NA,2020-11-28,21812.2366
2020-11-23,49,1 wk ahead cum death,point,NA,2020-11-28,860.4704
2020-11-23,50,1 wk ahead cum death,point,NA,2020-11-28,64.5258
2020-11-23,51,1 wk ahead cum death,point,NA,2020-11-28,4070.0154
2020-11-23,53,1 wk ahead cum death,point,NA,2020-11-28,2689.3282
2020-11-23,54,1 wk ahead cum death,point,NA,2020-11-28,750.6214
2020-11-23,55,1 wk ahead cum death,point,NA,2020-11-28,3513.4204
2020-11-23,56,1 wk ahead cum death,point,NA,2020-11-28,212.345
