target,location,location_name,type,quantile,value
1 day ahead cum death,01,Alabama,point,NA,107.242
1 day ahead inc death,01,Alabama,point,NA,18.499
1 wk ahead cum death,01,Alabama,point,NA,198.908
2 day ahead cum death,01,Alabama,point,NA,127.759
2 day ahead inc death,01,Alabama,point,NA,20.517
2 wk ahead cum death,01,Alabama,point,NA,442.365
3 day ahead cum death,01,Alabama,point,NA,149.794
3 day ahead inc death,01,Alabama,point,NA,22.035
3 wk ahead cum death,01,Alabama,point,NA,724.784
4 day ahead cum death,01,Alabama,point,NA,172.603
4 day ahead inc death,01,Alabama,point,NA,22.809
4 wk ahead cum death,01,Alabama,point,NA,881.824
5 day ahead cum death,01,Alabama,point,NA,198.908
5 day ahead inc death,01,Alabama,point,NA,26.305
5 wk ahead cum death,01,Alabama,point,NA,918.602
6 day ahead cum death,01,Alabama,point,NA,227.911
6 day ahead inc death,01,Alabama,point,NA,29.003
6 wk ahead cum death,01,Alabama,point,NA,922.542
7 day ahead cum death,01,Alabama,point,NA,257.886
7 day ahead inc death,01,Alabama,point,NA,29.975
1 day ahead cum death,01,Alabama,quantile,0.025,66
1 day ahead inc death,01,Alabama,quantile,0.025,3
1 wk ahead cum death,01,Alabama,quantile,0.025,119.95
2 day ahead cum death,01,Alabama,quantile,0.025,73.975
2 day ahead inc death,01,Alabama,quantile,0.025,3
2 wk ahead cum death,01,Alabama,quantile,0.025,236.975
3 day ahead cum death,01,Alabama,quantile,0.025,89
3 day ahead inc death,01,Alabama,quantile,0.025,4
3 wk ahead cum death,01,Alabama,quantile,0.025,336.975
4 day ahead cum death,01,Alabama,quantile,0.025,105
4 day ahead inc death,01,Alabama,quantile,0.025,5
4 wk ahead cum death,01,Alabama,quantile,0.025,374.975
5 day ahead cum death,01,Alabama,quantile,0.025,119.95
5 day ahead inc death,01,Alabama,quantile,0.025,6
5 wk ahead cum death,01,Alabama,quantile,0.025,378
6 day ahead cum death,01,Alabama,quantile,0.025,134.975
6 day ahead inc death,01,Alabama,quantile,0.025,6
6 wk ahead cum death,01,Alabama,quantile,0.025,378
7 day ahead cum death,01,Alabama,quantile,0.025,151
7 day ahead inc death,01,Alabama,quantile,0.025,5
1 day ahead cum death,01,Alabama,quantile,0.5,107.242
1 day ahead inc death,01,Alabama,quantile,0.5,18.499
1 wk ahead cum death,01,Alabama,quantile,0.5,198.908
2 day ahead cum death,01,Alabama,quantile,0.5,127.759
2 day ahead inc death,01,Alabama,quantile,0.5,20.517
2 wk ahead cum death,01,Alabama,quantile,0.5,442.365
3 day ahead cum death,01,Alabama,quantile,0.5,149.794
3 day ahead inc death,01,Alabama,quantile,0.5,22.035
3 wk ahead cum death,01,Alabama,quantile,0.5,724.784
4 day ahead cum death,01,Alabama,quantile,0.5,172.603
4 day ahead inc death,01,Alabama,quantile,0.5,22.809
4 wk ahead cum death,01,Alabama,quantile,0.5,881.824
5 day ahead cum death,01,Alabama,quantile,0.5,198.908
