target,location,location_name,type,quantile,value
1 day ahead cum death,01,Alabama,point,NA,110.151
1 day ahead inc death,01,Alabama,point,NA,8.006
1 wk ahead cum death,01,Alabama,point,NA,147.832
2 day ahead cum death,01,Alabama,point,NA,118.714
2 day ahead inc death,01,Alabama,point,NA,8.563
2 wk ahead cum death,01,Alabama,point,NA,226.464
3 day ahead cum death,01,Alabama,point,NA,127.865
3 day ahead inc death,01,Alabama,point,NA,9.151
3 wk ahead cum death,01,Alabama,point,NA,292.556
4 day ahead cum death,01,Alabama,point,NA,137.58
4 day ahead inc death,01,Alabama,point,NA,9.715
4 wk ahead cum death,01,Alabama,point,NA,330.982
5 day ahead cum death,01,Alabama,point,NA,147.832
5 day ahead inc death,01,Alabama,point,NA,10.252
5 wk ahead cum death,01,Alabama,point,NA,346.399
6 day ahead cum death,01,Alabama,point,NA,158.565
6 day ahead inc death,01,Alabama,point,NA,10.733
6 wk ahead cum death,01,Alabama,point,NA,350.574
7 day ahead cum death,01,Alabama,point,NA,169.654
7 day ahead inc death,01,Alabama,point,NA,11.089
1 day ahead cum death,01,Alabama,quantile,0.025,95
1 day ahead inc death,01,Alabama,quantile,0.025,0
1 wk ahead cum death,01,Alabama,quantile,0.025,96
2 day ahead cum death,01,Alabama,quantile,0.025,95
2 day ahead inc death,01,Alabama,quantile,0.025,0
2 wk ahead cum death,01,Alabama,quantile,0.025,106
3 day ahead cum death,01,Alabama,quantile,0.025,95
3 day ahead inc death,01,Alabama,quantile,0.025,0
3 wk ahead cum death,01,Alabama,quantile,0.025,119
4 day ahead cum death,01,Alabama,quantile,0.025,95
4 day ahead inc death,01,Alabama,quantile,0.025,0
4 wk ahead cum death,01,Alabama,quantile,0.025,126
5 day ahead cum death,01,Alabama,quantile,0.025,96
5 day ahead inc death,01,Alabama,quantile,0.025,1
5 wk ahead cum death,01,Alabama,quantile,0.025,126
6 day ahead cum death,01,Alabama,quantile,0.025,97
6 day ahead inc death,01,Alabama,quantile,0.025,1
6 wk ahead cum death,01,Alabama,quantile,0.025,126
7 day ahead cum death,01,Alabama,quantile,0.025,98
7 day ahead inc death,01,Alabama,quantile,0.025,1
1 day ahead cum death,01,Alabama,quantile,0.5,110.151
1 day ahead inc death,01,Alabama,quantile,0.5,8.006
1 wk ahead cum death,01,Alabama,quantile,0.5,147.832
2 day ahead cum death,01,Alabama,quantile,0.5,118.714
2 day ahead inc death,01,Alabama,quantile,0.5,8.563
2 wk ahead cum death,01,Alabama,quantile,0.5,226.464
3 day ahead cum death,01,Alabama,quantile,0.5,127.865
3 day ahead inc death,01,Alabama,quantile,0.5,9.151
