,Unnamed: 0,location,target,type,quantile,forecast_date,target_end_date,value
1872,1872,17,1 wk ahead cum death,quantile,0.01,2020-05-05,2020-05-16,3732.73
1873,1873,17,1 wk ahead inc death,quantile,0.01,2020-05-05,2020-05-16,621.96
1874,1874,17,2 wk ahead cum death,quantile,0.01,2020-05-05,2020-05-23,4483.46
1875,1875,17,2 wk ahead inc death,quantile,0.01,2020-05-05,2020-05-23,635.97
1876,1876,17,3 wk ahead cum death,quantile,0.01,2020-05-05,2020-05-30,5258.68
1877,1877,17,3 wk ahead inc death,quantile,0.01,2020-05-05,2020-05-30,673.98
1878,1878,17,4 wk ahead cum death,quantile,0.01,2020-05-05,2020-06-06,6244.86
1879,1879,17,4 wk ahead inc death,quantile,0.01,2020-05-05,2020-06-06,943.89
1880,1880,17,5 wk ahead cum death,quantile,0.01,2020-05-05,2020-06-13,7765.76
1881,1881,17,5 wk ahead inc death,quantile,0.01,2020-05-05,2020-06-13,1392.9
1882,1882,17,1 wk ahead cum death,quantile,0.025,2020-05-05,2020-05-16,3796.875
1883,1883,17,1 wk ahead inc death,quantile,0.025,2020-05-05,2020-05-16,627.925
1884,1884,17,2 wk ahead cum death,quantile,0.025,2020-05-05,2020-05-23,4492.925
1885,1885,17,2 wk ahead inc death,quantile,0.025,2020-05-05,2020-05-23,648.95
1886,1886,17,3 wk ahead cum death,quantile,0.025,2020-05-05,2020-05-30,5282.975
1887,1887,17,3 wk ahead inc death,quantile,0.025,2020-05-05,2020-05-30,712.725
1888,1888,17,4 wk ahead cum death,quantile,0.025,2020-05-05,2020-06-06,6348.575
1889,1889,17,4 wk ahead inc death,quantile,0.025,2020-05-05,2020-06-06,987.925
1890,1890,17,5 wk ahead cum death,quantile,0.025,2020-05-05,2020-06-13,7919.7
1891,1891,17,5 wk ahead inc death,quantile,0.025,2020-05-05,2020-06-13,1455.55
1892,1892,17,1 wk ahead cum death,quantile,0.05,2020-05-05,2020-05-16,3852.65
1893,1893,17,1 wk ahead inc death,quantile,0.05,2020-05-05,2020-05-16,632.95
1894,1894,17,2 wk ahead cum death,quantile,0.05,2020-05-05,2020-05-23,4562.55
1895,1895,17,2 wk ahead inc death,quantile,0.05,2020-05-05,2020-05-23,671.0
1896,1896,17,3 wk ahead cum death,quantile,0.05,2020-05-05,2020-05-30,5339.9
1897,1897,17,3 wk ahead inc death,quantile,0.05,2020-05-05,2020-05-30,738.0
1898,1898,17,4 wk ahead cum death,quantile,0.05,2020-05-05,2020-06-06,6412.2
1899,1899,17,4 wk ahead inc death,quantile,0.05,2020-05-05,2020-06-06,1001.8
1900,1900,17,5 wk ahead cum death,quantile,0.05,2020-05-05,2020-06-13,8006.5
