"","forecast_date","target","target_end_date","location","location_name","type","quantile","value"
"1",2020-05-05,"1 day ahead cum death","2020-05-06",17,"Illinois","quantile","0.010000",2796
"2",2020-05-05,"1 day ahead inc death","2020-05-06",17,"Illinois","quantile","0.010000",45.98
"3",2020-05-05,"2 day ahead cum death","2020-05-07",17,"Illinois","quantile","0.010000",2887.93
"4",2020-05-05,"2 day ahead inc death","2020-05-07",17,"Illinois","quantile","0.010000",54.99
"5",2020-05-05,"3 day ahead cum death","2020-05-08",17,"Illinois","quantile","0.010000",2985.95
"6",2020-05-05,"3 day ahead inc death","2020-05-08",17,"Illinois","quantile","0.010000",53.98
"7",2020-05-05,"4 day ahead cum death","2020-05-09",17,"Illinois","quantile","0.010000",3059.92
"8",2020-05-05,"4 day ahead inc death","2020-05-09",17,"Illinois","quantile","0.010000",48
"9",2020-05-05,"5 day ahead cum death","2020-05-10",17,"Illinois","quantile","0.010000",3133.96
"10",2020-05-05,"5 day ahead inc death","2020-05-10",17,"Illinois","quantile","0.010000",55.93
"11",2020-05-05,"6 day ahead cum death","2020-05-11",17,"Illinois","quantile","0.010000",3249.73
"12",2020-05-05,"6 day ahead inc death","2020-05-11",17,"Illinois","quantile","0.010000",59
"13",2020-05-05,"7 day ahead cum death","2020-05-12",17,"Illinois","quantile","0.010000",3351.83
"14",2020-05-05,"7 day ahead inc death","2020-05-12",17,"Illinois","quantile","0.010000",51.98
"15",2020-05-05,"8 day ahead cum death","2020-05-13",17,"Illinois","quantile","0.010000",3452.94
"16",2020-05-05,"8 day ahead inc death","2020-05-13",17,"Illinois","quantile","0.010000",59.98
"17",2020-05-05,"9 day ahead cum death","2020-05-14",17,"Illinois","quantile","0.010000",3552
"18",2020-05-05,"9 day ahead inc death","2020-05-14",17,"Illinois","quantile","0.010000",53.95
"19",2020-05-05,"10 day ahead cum death","2020-05-15",17,"Illinois","quantile","0.010000",3672.76
"20",2020-05-05,"10 day ahead inc death","2020-05-15",17,"Illinois","quantile","0.010000",64.95
"21",2020-05-05,"11 day ahead cum death","2020-05-16",17,"Illinois","quantile","0.010000",3759.68
"22",2020-05-05,"11 day ahead inc death","2020-05-16",17,"Illinois","quantile","0.010000",64.96
"23",2020-05-05,"12 day ahead cum death","2020-05-17",17,"Illinois","quantile","0.010000",3871.68
"24",2020-05-05,"12 day ahead inc death","2020-05-17",17,"Illinois","quantile","0.010000",54.96
"25",2020-05-05,"13 day ahead cum death","2020-05-18",17,"Illinois","quantile","0.010000",3985.83
"26",2020-05-05,"13 day ahead inc death","2020-05-18",17,"Illinois","quantile","0.010000",61.94
"27",2020-05-05,"14 day ahead cum death","2020-05-19",17,"Illinois","quantile","0.010000",4073.85
"28",2020-05-05,"14 day ahead inc death","2020-05-19",17,"Illinois","quantile","0.010000",64.98
"29",2020-05-05,"15 day ahead cum death","2020-05-20",17,"Illinois","quantile","0.010000",4165.88
"30",2020-05-05,"15 day ahead inc death","2020-05-20",17,"Illinois","quantile","0.010000",61.94
"31",2020-05-05,"16 day ahead cum death","2020-05-21",17,"Illinois","quantile","0.010000",4264.95
"32",2020-05-05,"16 day ahead inc death","2020-05-21",17,"Illinois","quantile","0.010000",58.92
"33",2020-05-05,"17 day ahead cum death","2020-05-22",17,"Illinois","quantile","0.010000",4367.71
"34",2020-05-05,"17 day ahead inc death","2020-05-22",17,"Illinois","quantile","0.010000",53.94
"35",2020-05-05,"18 day ahead cum death","2020-05-23",17,"Illinois","quantile","0.010000",4476.51
"36",2020-05-05,"18 day ahead inc death","2020-05-23",17,"Illinois","quantile","0.010000",65.98
"37",2020-05-05,"19 day ahead cum death","2020-05-24",17,"Illinois","quantile","0.010000",4589.52
"38",2020-05-05,"19 day ahead inc death","2020-05-24",17,"Illinois","quantile","0.010000",52
"39",2020-05-05,"20 day ahead cum death","2020-05-25",17,"Illinois","quantile","0.010000",4680.51
"40",2020-05-05,"20 day ahead inc death","2020-05-25",17,"Illinois","quantile","0.010000",61.98
"41",2020-05-05,"21 day ahead cum death","2020-05-26",17,"Illinois","quantile","0.010000",4802.41
"42",2020-05-05,"21 day ahead inc death","2020-05-26",17,"Illinois","quantile","0.010000",75.91
"43",2020-05-05,"22 day ahead cum death","2020-05-27",17,"Illinois","quantile","0.010000",4923.24
"44",2020-05-05,"22 day ahead inc death","2020-05-27",17,"Illinois","quantile","0.010000",60.96
"45",2020-05-05,"23 day ahead cum death","2020-05-28",17,"Illinois","quantile","0.010000",5004.37
"46",2020-05-05,"23 day ahead inc death","2020-05-28",17,"Illinois","quantile","0.010000",66.99
"47",2020-05-05,"24 day ahead cum death","2020-05-29",17,"Illinois","quantile","0.010000",5095.68
"48",2020-05-05,"24 day ahead inc death","2020-05-29",17,"Illinois","quantile","0.010000",63.96
"49",2020-05-05,"25 day ahead cum death","2020-05-30",17,"Illinois","quantile","0.010000",5246.53
"50",2020-05-05,"25 day ahead inc death","2020-05-30",17,"Illinois","quantile","0.010000",69.98
"51",2020-05-05,"26 day ahead cum death","2020-05-31",17,"Illinois","quantile","0.010000",5337.94
"52",2020-05-05,"26 day ahead inc death","2020-05-31",17,"Illinois","quantile","0.010000",58.99
"53",2020-05-05,"27 day ahead cum death","2020-06-01",17,"Illinois","quantile","0.010000",5439.84
"54",2020-05-05,"27 day ahead inc death","2020-06-01",17,"Illinois","quantile","0.010000",71.98
"55",2020-05-05,"28 day ahead cum death","2020-06-02",17,"Illinois","quantile","0.010000",5536.93
"56",2020-05-05,"28 day ahead inc death","2020-06-02",17,"Illinois","quantile","0.010000",63.98
"57",2020-05-05,"29 day ahead cum death","2020-06-03",17,"Illinois","quantile","0.010000",5666
"58",2020-05-05,"29 day ahead inc death","2020-06-03",17,"Illinois","quantile","0.010000",59.98
"59",2020-05-05,"30 day ahead cum death","2020-06-04",17,"Illinois","quantile","0.010000",5790.68
"60",2020-05-05,"30 day ahead inc death","2020-06-04",17,"Illinois","quantile","0.010000",61.99
"61",2020-05-05,"31 day ahead cum death","2020-06-05",17,"Illinois","quantile","0.010000",5881.89
"62",2020-05-05,"31 day ahead inc death","2020-06-05",17,"Illinois","quantile","0.010000",60.89
"63",2020-05-05,"32 day ahead cum death","2020-06-06",17,"Illinois","quantile","0.010000",6024.62
"64",2020-05-05,"32 day ahead inc death","2020-06-06",17,"Illinois","quantile","0.010000",75.96
"65",2020-05-05,"33 day ahead cum death","2020-06-07",17,"Illinois","quantile","0.010000",6133.76
"66",2020-05-05,"33 day ahead inc death","2020-06-07",17,"Illinois","quantile","0.010000",68.99
"67",2020-05-05,"34 day ahead cum death","2020-06-08",17,"Illinois","quantile","0.010000",6248.79
"68",2020-05-05,"34 day ahead inc death","2020-06-08",17,"Illinois","quantile","0.010000",67.97
"69",2020-05-05,"35 day ahead cum death","2020-06-09",17,"Illinois","quantile","0.010000",6366.78
"70",2020-05-05,"35 day ahead inc death","2020-06-09",17,"Illinois","quantile","0.010000",65
"71",2020-05-05,"36 day ahead cum death","2020-06-10",17,"Illinois","quantile","0.010000",6491.4
"72",2020-05-05,"36 day ahead inc death","2020-06-10",17,"Illinois","quantile","0.010000",68.9
"73",2020-05-05,"37 day ahead cum death","2020-06-11",17,"Illinois","quantile","0.010000",6577.64
"74",2020-05-05,"37 day ahead inc death","2020-06-11",17,"Illinois","quantile","0.010000",66.94
"75",2020-05-05,"38 day ahead cum death","2020-06-12",17,"Illinois","quantile","0.010000",6717.2
"76",2020-05-05,"38 day ahead inc death","2020-06-12",17,"Illinois","quantile","0.010000",67.86
"77",2020-05-05,"39 day ahead cum death","2020-06-13",17,"Illinois","quantile","0.010000",6806.29
"78",2020-05-05,"39 day ahead inc death","2020-06-13",17,"Illinois","quantile","0.010000",63.92
"79",2020-05-05,"1 day ahead cum death","2020-05-06",17,"Illinois","quantile","0.025000",2851.85
"80",2020-05-05,"1 day ahead inc death","2020-05-06",17,"Illinois","quantile","0.025000",52.975
"81",2020-05-05,"2 day ahead cum death","2020-05-07",17,"Illinois","quantile","0.025000",2958.225
"82",2020-05-05,"2 day ahead inc death","2020-05-07",17,"Illinois","quantile","0.025000",63
"83",2020-05-05,"3 day ahead cum death","2020-05-08",17,"Illinois","quantile","0.025000",3064.925
"84",2020-05-05,"3 day ahead inc death","2020-05-08",17,"Illinois","quantile","0.025000",63.925
"85",2020-05-05,"4 day ahead cum death","2020-05-09",17,"Illinois","quantile","0.025000",3156.825
