target,location,type,quantile,value
1 day ahead inc death,US,point,NA,16
1 wk ahead inc death,US,point,NA,39
2 day ahead inc death,US,point,NA,19
3 day ahead inc death,US,point,NA,24
4 day ahead inc death,US,point,NA,31
5 day ahead inc death,US,point,NA,39
6 day ahead inc death,US,point,NA,49
1 day ahead inc death,US,quantile,0.01,2
1 day ahead inc death,US,quantile,0.025,3
1 day ahead inc death,US,quantile,0.05,4
1 day ahead inc death,US,quantile,0.1,6
1 day ahead inc death,US,quantile,0.15,8
1 day ahead inc death,US,quantile,0.2,9
1 day ahead inc death,US,quantile,0.25,10
1 day ahead inc death,US,quantile,0.3,11
1 day ahead inc death,US,quantile,0.35,12
1 day ahead inc death,US,quantile,0.4,14
1 day ahead inc death,US,quantile,0.45,15
1 day ahead inc death,US,quantile,0.5,16
1 day ahead inc death,US,quantile,0.55,17
1 day ahead inc death,US,quantile,0.6,18
1 day ahead inc death,US,quantile,0.65,19
1 day ahead inc death,US,quantile,0.7,20
1 day ahead inc death,US,quantile,0.75,21
1 day ahead inc death,US,quantile,0.8,23
1 day ahead inc death,US,quantile,0.85,24
1 day ahead inc death,US,quantile,0.9,27
1 day ahead inc death,US,quantile,0.95,31
1 day ahead inc death,US,quantile,0.975,35
1 day ahead inc death,US,quantile,0.99,42
1 wk ahead inc death,US,quantile,0.01,3
1 wk ahead inc death,US,quantile,0.025,4
1 wk ahead inc death,US,quantile,0.05,6
1 wk ahead inc death,US,quantile,0.1,10
1 wk ahead inc death,US,quantile,0.15,14
1 wk ahead inc death,US,quantile,0.2,18
1 wk ahead inc death,US,quantile,0.25,21
1 wk ahead inc death,US,quantile,0.3,25
1 wk ahead inc death,US,quantile,0.35,28
1 wk ahead inc death,US,quantile,0.4,32
1 wk ahead inc death,US,quantile,0.45,35
1 wk ahead inc death,US,quantile,0.5,39
1 wk ahead inc death,US,quantile,0.55,42
1 wk ahead inc death,US,quantile,0.6,47
1 wk ahead inc death,US,quantile,0.65,51
1 wk ahead inc death,US,quantile,0.7,56
1 wk ahead inc death,US,quantile,0.75,62
1 wk ahead inc death,US,quantile,0.8,68
1 wk ahead inc death,US,quantile,0.85,76
1 wk ahead inc death,US,quantile,0.9,88
1 wk ahead inc death,US,quantile,0.95,108
1 wk ahead inc death,US,quantile,0.975,129
1 wk ahead inc death,US,quantile,0.99,157
2 day ahead inc death,US,quantile,0.01,2
2 day ahead inc death,US,quantile,0.025,3
2 day ahead inc death,US,quantile,0.05,5
2 day ahead inc death,US,quantile,0.1,7
2 day ahead inc death,US,quantile,0.15,9
2 day ahead inc death,US,quantile,0.2,11
2 day ahead inc death,US,quantile,0.25,12
2 day ahead inc death,US,quantile,0.3,14
2 day ahead inc death,US,quantile,0.35,15
2 day ahead inc death,US,quantile,0.4,17
2 day ahead inc death,US,quantile,0.45,18
2 day ahead inc death,US,quantile,0.5,19
2 day ahead inc death,US,quantile,0.55,21
2 day ahead inc death,US,quantile,0.6,22
2 day ahead inc death,US,quantile,0.65,24
2 day ahead inc death,US,quantile,0.7,26
2 day ahead inc death,US,quantile,0.75,27
2 day ahead inc death,US,quantile,0.8,30
2 day ahead inc death,US,quantile,0.85,32
2 day ahead inc death,US,quantile,0.9,36
2 day ahead inc death,US,quantile,0.95,42
2 day ahead inc death,US,quantile,0.975,48
2 day ahead inc death,US,quantile,0.99,57
3 day ahead inc death,US,quantile,0.01,2
3 day ahead inc death,US,quantile,0.025,4
3 day ahead inc death,US,quantile,0.05,5
3 day ahead inc death,US,quantile,0.1,8
3 day ahead inc death,US,quantile,0.15,11
3 day ahead inc death,US,quantile,0.2,13
3 day ahead inc death,US,quantile,0.25,15
3 day ahead inc death,US,quantile,0.3,17
3 day ahead inc death,US,quantile,0.35,19
3 day ahead inc death,US,quantile,0.4,21
3 day ahead inc death,US,quantile,0.45,23
3 day ahead inc death,US,quantile,0.5,24
3 day ahead inc death,US,quantile,0.55,26
3 day ahead inc death,US,quantile,0.6,29
3 day ahead inc death,US,quantile,0.65,31
3 day ahead inc death,US,quantile,0.7,33
3 day ahead inc death,US,quantile,0.75,36
3 day ahead inc death,US,quantile,0.8,39
3 day ahead inc death,US,quantile,0.85,43
3 day ahead inc death,US,quantile,0.9,48
3 day ahead inc death,US,quantile,0.95,57
3 day ahead inc death,US,quantile,0.975,66
3 day ahead inc death,US,quantile,0.99,78
4 day ahead inc death,US,quantile,0.01,2
4 day ahead inc death,US,quantile,0.025,4
