,forecast_date,target,target_end_date,location,type,quantile,value
2,2020-03-15,1 wk ahead cum death,2020-03-21,US,point,,203
3,2020-03-15,1 wk ahead inc death,2020-03-21,US,point,,39
62,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.01,77
63,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.025,85
64,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.05,94
65,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.1,109
66,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.15,123
67,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.2,137
68,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.25,149
69,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.3,160
70,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.35,171
71,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.4,182
72,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.45,192
73,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.5,203
74,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.55,214
75,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.6,225
76,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.65,238
77,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.7,252
78,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.75,268
79,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.8,286
80,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.85,308
81,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.9,340
82,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.95,392
83,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.975,446
84,2020-03-15,1 wk ahead cum death,2020-03-21,US,quantile,0.99,523
85,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.01,3
86,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.025,4
87,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.05,6
88,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.1,10
89,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.15,14
90,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.2,18
91,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.25,21
92,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.3,25
93,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.35,28
94,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.4,32
95,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.45,35
96,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.5,39
97,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.55,42
98,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.6,47
99,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.65,51
100,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.7,56
101,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.75,62
102,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.8,68
103,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.85,76
104,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.9,88
105,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.95,108
106,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.975,129
107,2020-03-15,1 wk ahead inc death,2020-03-21,US,quantile,0.99,157
