location,quantile,type,target,value
US,NA,point,1 day ahead inc,827
US,NA,point,1 wk ahead inc,2090
US,NA,point,2 day ahead inc,1058
US,NA,point,3 day ahead inc,1356
US,NA,point,4 day ahead inc,1713
US,NA,point,5 day ahead inc,2090
US,NA,point,6 day ahead inc,2510
US,0.01,quantile,1 day ahead inc,651
US,0.025,quantile,1 day ahead inc,678
US,0.05,quantile,1 day ahead inc,701
US,0.1,quantile,1 day ahead inc,730
US,0.15,quantile,1 day ahead inc,749
US,0.2,quantile,1 day ahead inc,763
US,0.25,quantile,1 day ahead inc,775
US,0.3,quantile,1 day ahead inc,786
US,0.35,quantile,1 day ahead inc,796
US,0.4,quantile,1 day ahead inc,806
US,0.45,quantile,1 day ahead inc,816
US,0.5,quantile,1 day ahead inc,827
US,0.55,quantile,1 day ahead inc,840
US,0.6,quantile,1 day ahead inc,858
US,0.65,quantile,1 day ahead inc,895
US,0.7,quantile,1 day ahead inc,982
US,0.75,quantile,1 day ahead inc,1004
US,0.8,quantile,1 day ahead inc,1020
US,0.85,quantile,1 day ahead inc,1032
US,0.9,quantile,1 day ahead inc,1047
US,0.95,quantile,1 day ahead inc,1066
US,0.975,quantile,1 day ahead inc,1082
US,0.99,quantile,1 day ahead inc,1097
US,0.01,quantile,1 wk ahead inc,1660
US,0.025,quantile,1 wk ahead inc,1730
US,0.05,quantile,1 wk ahead inc,1797
US,0.1,quantile,1 wk ahead inc,1878
US,0.15,quantile,1 wk ahead inc,1935
US,0.2,quantile,1 wk ahead inc,1977
US,0.25,quantile,1 wk ahead inc,2006
US,0.3,quantile,1 wk ahead inc,2028
US,0.35,quantile,1 wk ahead inc,2046
US,0.4,quantile,1 wk ahead inc,2062
US,0.45,quantile,1 wk ahead inc,2076
US,0.5,quantile,1 wk ahead inc,2090
US,0.55,quantile,1 wk ahead inc,2105
US,0.6,quantile,1 wk ahead inc,2120
US,0.65,quantile,1 wk ahead inc,2137
US,0.7,quantile,1 wk ahead inc,2155
US,0.75,quantile,1 wk ahead inc,2176
US,0.8,quantile,1 wk ahead inc,2205
US,0.85,quantile,1 wk ahead inc,2244
US,0.9,quantile,1 wk ahead inc,2297
US,0.95,quantile,1 wk ahead inc,2375
US,0.975,quantile,1 wk ahead inc,2435
US,0.99,quantile,1 wk ahead inc,2513
US,0.01,quantile,2 day ahead inc,822
US,0.025,quantile,2 day ahead inc,858
US,0.05,quantile,2 day ahead inc,889
US,0.1,quantile,2 day ahead inc,926
US,0.15,quantile,2 day ahead inc,951
US,0.2,quantile,2 day ahead inc,971
US,0.25,quantile,2 day ahead inc,987
US,0.3,quantile,2 day ahead inc,1001
US,0.35,quantile,2 day ahead inc,1016
US,0.4,quantile,2 day ahead inc,1029
US,0.45,quantile,2 day ahead inc,1043
US,0.5,quantile,2 day ahead inc,1058
US,0.55,quantile,2 day ahead inc,1076
US,0.6,quantile,2 day ahead inc,1100
US,0.65,quantile,2 day ahead inc,1148
US,0.7,quantile,2 day ahead inc,1209
US,0.75,quantile,2 day ahead inc,1233
US,0.8,quantile,2 day ahead inc,1250
US,0.85,quantile,2 day ahead inc,1266
US,0.9,quantile,2 day ahead inc,1283
US,0.95,quantile,2 day ahead inc,1304
US,0.975,quantile,2 day ahead inc,1321
US,0.99,quantile,2 day ahead inc,1340
US,0.01,quantile,3 day ahead inc,1040
US,0.025,quantile,3 day ahead inc,1083
US,0.05,quantile,3 day ahead inc,1123
US,0.1,quantile,3 day ahead inc,1172
US,0.15,quantile,3 day ahead inc,1207
US,0.2,quantile,3 day ahead inc,1233
US,0.25,quantile,3 day ahead inc,1256
US,0.3,quantile,3 day ahead inc,1276
US,0.35,quantile,3 day ahead inc,1296
US,0.4,quantile,3 day ahead inc,1315
US,0.45,quantile,3 day ahead inc,1334
US,0.5,quantile,3 day ahead inc,1356
US,0.55,quantile,3 day ahead inc,1380
US,0.6,quantile,3 day ahead inc,1409
US,0.65,quantile,3 day ahead inc,1436
US,0.7,quantile,3 day ahead inc,1458
US,0.75,quantile,3 day ahead inc,1477
US,0.8,quantile,3 day ahead inc,1494
US,0.85,quantile,3 day ahead inc,1511
US,0.9,quantile,3 day ahead inc,1529
US,0.95,quantile,3 day ahead inc,1553
US,0.975,quantile,3 day ahead inc,1572
US,0.99,quantile,3 day ahead inc,1595
US,0.01,quantile,4 day ahead inc,1314
US,0.025,quantile,4 day ahead inc,1371
US,0.05,quantile,4 day ahead inc,1421
US,0.1,quantile,4 day ahead inc,1485
US,0.15,quantile,4 day ahead inc,1529
US,0.2,quantile,4 day ahead inc,1566
US,0.25,quantile,4 day ahead inc,1596
US,0.3,quantile,4 day ahead inc,1624
US,0.35,quantile,4 day ahead inc,1651
US,0.4,quantile,4 day ahead inc,1674
US,0.45,quantile,4 day ahead inc,1696
US,0.5,quantile,4 day ahead inc,1713
US,0.55,quantile,4 day ahead inc,1729
US,0.6,quantile,4 day ahead inc,1743
US,0.65,quantile,4 day ahead inc,1756
US,0.7,quantile,4 day ahead inc,1769
US,0.75,quantile,4 day ahead inc,1782
US,0.8,quantile,4 day ahead inc,1796
US,0.85,quantile,4 day ahead inc,1813
US,0.9,quantile,4 day ahead inc,1834
US,0.95,quantile,4 day ahead inc,1865
US,0.975,quantile,4 day ahead inc,1898
US,0.99,quantile,4 day ahead inc,1940
US,0.01,quantile,5 day ahead inc,1660
US,0.025,quantile,5 day ahead inc,1730
US,0.05,quantile,5 day ahead inc,1797
US,0.1,quantile,5 day ahead inc,1878
US,0.15,quantile,5 day ahead inc,1935
US,0.2,quantile,5 day ahead inc,1977
US,0.25,quantile,5 day ahead inc,2006
US,0.3,quantile,5 day ahead inc,2028
US,0.35,quantile,5 day ahead inc,2046
US,0.4,quantile,5 day ahead inc,2062
US,0.45,quantile,5 day ahead inc,2076
US,0.5,quantile,5 day ahead inc,2090
US,0.55,quantile,5 day ahead inc,2105
US,0.6,quantile,5 day ahead inc,2120
US,0.65,quantile,5 day ahead inc,2137
US,0.7,quantile,5 day ahead inc,2155
US,0.75,quantile,5 day ahead inc,2176
US,0.8,quantile,5 day ahead inc,2205
US,0.85,quantile,5 day ahead inc,2244
US,0.9,quantile,5 day ahead inc,2297
US,0.95,quantile,5 day ahead inc,2375
US,0.975,quantile,5 day ahead inc,2435
US,0.99,quantile,5 day ahead inc,2513
US,0.01,quantile,6 day ahead inc,2094
US,0.025,quantile,6 day ahead inc,2179
US,0.05,quantile,6 day ahead inc,2256
US,0.1,quantile,6 day ahead inc,2316
US,0.15,quantile,6 day ahead inc,2348
US,0.2,quantile,6 day ahead inc,2372
US,0.25,quantile,6 day ahead inc,2394
US,0.3,quantile,6 day ahead inc,2414
US,0.35,quantile,6 day ahead inc,2435
US,0.4,quantile,6 day ahead inc,2456
US,0.45,quantile,6 day ahead inc,2480
US,0.5,quantile,6 day ahead inc,2510
US,0.55,quantile,6 day ahead inc,2549
US,0.6,quantile,6 day ahead inc,2598
US,0.65,quantile,6 day ahead inc,2651
US,0.7,quantile,6 day ahead inc,2704
US,0.75,quantile,6 day ahead inc,2757
US,0.8,quantile,6 day ahead inc,2814
US,0.85,quantile,6 day ahead inc,2877
US,0.9,quantile,6 day ahead inc,2953
US,0.95,quantile,6 day ahead inc,3059
US,0.975,quantile,6 day ahead inc,3154
US,0.99,quantile,6 day ahead inc,3257
