target,location,type,quantile,value
1 day ahead cum death,US,point,NA,745
1 day ahead inc death,US,point,NA,189
1 wk ahead cum death,US,point,NA,2736
1 wk ahead inc death,US,point,NA,793
2 day ahead cum death,US,point,NA,1013
2 day ahead inc death,US,point,NA,268
3 day ahead cum death,US,point,NA,1397
3 day ahead inc death,US,point,NA,385
4 day ahead cum death,US,point,NA,1947
4 day ahead inc death,US,point,NA,552
5 day ahead cum death,US,point,NA,2736
5 day ahead inc death,US,point,NA,793
6 day ahead cum death,US,point,NA,3876
6 day ahead inc death,US,point,NA,1142
1 day ahead cum death,US,quantile,0.01,623
1 day ahead cum death,US,quantile,0.025,647
1 day ahead cum death,US,quantile,0.05,668
1 day ahead cum death,US,quantile,0.1,686
1 day ahead cum death,US,quantile,0.15,698
1 day ahead cum death,US,quantile,0.2,707
1 day ahead cum death,US,quantile,0.25,714
1 day ahead cum death,US,quantile,0.3,721
1 day ahead cum death,US,quantile,0.35,727
1 day ahead cum death,US,quantile,0.4,733
1 day ahead cum death,US,quantile,0.45,739
1 day ahead cum death,US,quantile,0.5,745
1 day ahead cum death,US,quantile,0.55,752
1 day ahead cum death,US,quantile,0.6,760
1 day ahead cum death,US,quantile,0.65,768
1 day ahead cum death,US,quantile,0.7,778
1 day ahead cum death,US,quantile,0.75,790
1 day ahead cum death,US,quantile,0.8,808
1 day ahead cum death,US,quantile,0.85,831
1 day ahead cum death,US,quantile,0.9,863
1 day ahead cum death,US,quantile,0.95,914
1 day ahead cum death,US,quantile,0.975,955
1 day ahead cum death,US,quantile,0.99,1014
1 day ahead inc death,US,quantile,0.01,115
1 day ahead inc death,US,quantile,0.025,128
1 day ahead inc death,US,quantile,0.05,140
1 day ahead inc death,US,quantile,0.1,151
1 day ahead inc death,US,quantile,0.15,159
1 day ahead inc death,US,quantile,0.2,164
1 day ahead inc death,US,quantile,0.25,169
1 day ahead inc death,US,quantile,0.3,173
1 day ahead inc death,US,quantile,0.35,177
1 day ahead inc death,US,quantile,0.4,181
1 day ahead inc death,US,quantile,0.45,185
1 day ahead inc death,US,quantile,0.5,189
1 day ahead inc death,US,quantile,0.55,193
1 day ahead inc death,US,quantile,0.6,197
1 day ahead inc death,US,quantile,0.65,203
1 day ahead inc death,US,quantile,0.7,209
1 day ahead inc death,US,quantile,0.75,217
1 day ahead inc death,US,quantile,0.8,227
1 day ahead inc death,US,quantile,0.85,241
1 day ahead inc death,US,quantile,0.9,261
1 day ahead inc death,US,quantile,0.95,292
1 day ahead inc death,US,quantile,0.975,317
1 day ahead inc death,US,quantile,0.99,351
1 wk ahead cum death,US,quantile,0.01,1828
1 wk ahead cum death,US,quantile,0.025,1956
1 wk ahead cum death,US,quantile,0.05,2061
1 wk ahead cum death,US,quantile,0.1,2194
1 wk ahead cum death,US,quantile,0.15,2283
1 wk ahead cum death,US,quantile,0.2,2355
1 wk ahead cum death,US,quantile,0.25,2418
1 wk ahead cum death,US,quantile,0.3,2484
1 wk ahead cum death,US,quantile,0.35,2547
1 wk ahead cum death,US,quantile,0.4,2610
1 wk ahead cum death,US,quantile,0.45,2673
1 wk ahead cum death,US,quantile,0.5,2736
1 wk ahead cum death,US,quantile,0.55,2813
1 wk ahead cum death,US,quantile,0.6,2895
1 wk ahead cum death,US,quantile,0.65,2989
1 wk ahead cum death,US,quantile,0.7,3101
1 wk ahead cum death,US,quantile,0.75,3226
1 wk ahead cum death,US,quantile,0.8,3395
1 wk ahead cum death,US,quantile,0.85,3604
1 wk ahead cum death,US,quantile,0.9,3893
1 wk ahead cum death,US,quantile,0.95,4323
1 wk ahead cum death,US,quantile,0.975,4713
1 wk ahead cum death,US,quantile,0.99,5241
1 wk ahead inc death,US,quantile,0.01,442
1 wk ahead inc death,US,quantile,0.025,485
1 wk ahead inc death,US,quantile,0.05,524
1 wk ahead inc death,US,quantile,0.1,572
1 wk ahead inc death,US,quantile,0.15,605
1 wk ahead inc death,US,quantile,0.2,635
1 wk ahead inc death,US,quantile,0.25,662
1 wk ahead inc death,US,quantile,0.3,688
1 wk ahead inc death,US,quantile,0.35,714
1 wk ahead inc death,US,quantile,0.4,739
1 wk ahead inc death,US,quantile,0.45,765
1 wk ahead inc death,US,quantile,0.5,793
1 wk ahead inc death,US,quantile,0.55,824
1 wk ahead inc death,US,quantile,0.6,858
1 wk ahead inc death,US,quantile,0.65,897
1 wk ahead inc death,US,quantile,0.7,941
1 wk ahead inc death,US,quantile,0.75,990
1 wk ahead inc death,US,quantile,0.8,1053
1 wk ahead inc death,US,quantile,0.85,1131
1 wk ahead inc death,US,quantile,0.9,1242
1 wk ahead inc death,US,quantile,0.95,1404
1 wk ahead inc death,US,quantile,0.975,1562
1 wk ahead inc death,US,quantile,0.99,1766
2 day ahead cum death,US,quantile,0.01,792
2 day ahead cum death,US,quantile,0.025,835
2 day ahead cum death,US,quantile,0.05,869
2 day ahead cum death,US,quantile,0.1,903
2 day ahead cum death,US,quantile,0.15,923
2 day ahead cum death,US,quantile,0.2,939
2 day ahead cum death,US,quantile,0.25,953
2 day ahead cum death,US,quantile,0.3,965
2 day ahead cum death,US,quantile,0.35,977
2 day ahead cum death,US,quantile,0.4,989
2 day ahead cum death,US,quantile,0.45,1001
2 day ahead cum death,US,quantile,0.5,1013
2 day ahead cum death,US,quantile,0.55,1026
2 day ahead cum death,US,quantile,0.6,1041
2 day ahead cum death,US,quantile,0.65,1058
2 day ahead cum death,US,quantile,0.7,1078
2 day ahead cum death,US,quantile,0.75,1104
2 day ahead cum death,US,quantile,0.8,1138
2 day ahead cum death,US,quantile,0.85,1184
2 day ahead cum death,US,quantile,0.9,1246
2 day ahead cum death,US,quantile,0.95,1340
2 day ahead cum death,US,quantile,0.975,1423
2 day ahead cum death,US,quantile,0.99,1529
