target,location,type,quantile,value
1 day ahead cum death,US,point,NA,26866
1 day ahead inc death,US,point,NA,2501
1 wk ahead cum death,US,point,NA,38763
1 wk ahead inc death,US,point,NA,3313
2 day ahead cum death,US,point,NA,29497
2 day ahead inc death,US,point,NA,2673
3 day ahead cum death,US,point,NA,32370
3 day ahead inc death,US,point,NA,2871
4 day ahead cum death,US,point,NA,35449
4 day ahead inc death,US,point,NA,3083
5 day ahead cum death,US,point,NA,38763
5 day ahead inc death,US,point,NA,3313
6 day ahead cum death,US,point,NA,42323
6 day ahead inc death,US,point,NA,3558
1 day ahead cum death,US,quantile,0.01,26580
1 day ahead cum death,US,quantile,0.025,26626
1 day ahead cum death,US,quantile,0.05,26663
1 day ahead cum death,US,quantile,0.1,26704
1 day ahead cum death,US,quantile,0.15,26729
1 day ahead cum death,US,quantile,0.2,26751
1 day ahead cum death,US,quantile,0.25,26770
1 day ahead cum death,US,quantile,0.3,26787
1 day ahead cum death,US,quantile,0.35,26805
1 day ahead cum death,US,quantile,0.4,26823
1 day ahead cum death,US,quantile,0.45,26843
1 day ahead cum death,US,quantile,0.5,26866
1 day ahead cum death,US,quantile,0.55,26896
1 day ahead cum death,US,quantile,0.6,26941
1 day ahead cum death,US,quantile,0.65,27041
1 day ahead cum death,US,quantile,0.7,27411
1 day ahead cum death,US,quantile,0.75,27466
1 day ahead cum death,US,quantile,0.8,27506
1 day ahead cum death,US,quantile,0.85,27541
1 day ahead cum death,US,quantile,0.9,27577
1 day ahead cum death,US,quantile,0.95,27625
1 day ahead cum death,US,quantile,0.975,27662
1 day ahead cum death,US,quantile,0.99,27700
1 day ahead inc death,US,quantile,0.01,2317
1 day ahead inc death,US,quantile,0.025,2338
1 day ahead inc death,US,quantile,0.05,2359
1 day ahead inc death,US,quantile,0.1,2382
1 day ahead inc death,US,quantile,0.15,2400
1 day ahead inc death,US,quantile,0.2,2415
1 day ahead inc death,US,quantile,0.25,2428
1 day ahead inc death,US,quantile,0.3,2441
1 day ahead inc death,US,quantile,0.35,2454
1 day ahead inc death,US,quantile,0.4,2468
1 day ahead inc death,US,quantile,0.45,2484
1 day ahead inc death,US,quantile,0.5,2501
1 day ahead inc death,US,quantile,0.55,2523
1 day ahead inc death,US,quantile,0.6,2555
1 day ahead inc death,US,quantile,0.65,2617
1 day ahead inc death,US,quantile,0.7,2757
1 day ahead inc death,US,quantile,0.75,2793
1 day ahead inc death,US,quantile,0.8,2818
1 day ahead inc death,US,quantile,0.85,2841
1 day ahead inc death,US,quantile,0.9,2866
1 day ahead inc death,US,quantile,0.95,2895
1 day ahead inc death,US,quantile,0.975,2920
1 day ahead inc death,US,quantile,0.99,2947
1 wk ahead cum death,US,quantile,0.01,36634
1 wk ahead cum death,US,quantile,0.025,36692
1 wk ahead cum death,US,quantile,0.05,36743
1 wk ahead cum death,US,quantile,0.1,36813
1 wk ahead cum death,US,quantile,0.15,36864
1 wk ahead cum death,US,quantile,0.2,36914
1 wk ahead cum death,US,quantile,0.25,36968
1 wk ahead cum death,US,quantile,0.3,37045
1 wk ahead cum death,US,quantile,0.35,38021
1 wk ahead cum death,US,quantile,0.4,38388
1 wk ahead cum death,US,quantile,0.45,38593
1 wk ahead cum death,US,quantile,0.5,38763
1 wk ahead cum death,US,quantile,0.55,38940
1 wk ahead cum death,US,quantile,0.6,39144
1 wk ahead cum death,US,quantile,0.65,39540
1 wk ahead cum death,US,quantile,0.7,41648
1 wk ahead cum death,US,quantile,0.75,41864
1 wk ahead cum death,US,quantile,0.8,42009
1 wk ahead cum death,US,quantile,0.85,42147
1 wk ahead cum death,US,quantile,0.9,42285
1 wk ahead cum death,US,quantile,0.95,42467
1 wk ahead cum death,US,quantile,0.975,42609
1 wk ahead cum death,US,quantile,0.99,42772
1 wk ahead inc death,US,quantile,0.01,2500
1 wk ahead inc death,US,quantile,0.025,2521
1 wk ahead inc death,US,quantile,0.05,2543
1 wk ahead inc death,US,quantile,0.1,2569
1 wk ahead inc death,US,quantile,0.15,2591
1 wk ahead inc death,US,quantile,0.2,2612
1 wk ahead inc death,US,quantile,0.25,2635
1 wk ahead inc death,US,quantile,0.3,2668
1 wk ahead inc death,US,quantile,0.35,3133
1 wk ahead inc death,US,quantile,0.4,3222
1 wk ahead inc death,US,quantile,0.45,3271
1 wk ahead inc death,US,quantile,0.5,3313
1 wk ahead inc death,US,quantile,0.55,3355
1 wk ahead inc death,US,quantile,0.6,3404
1 wk ahead inc death,US,quantile,0.65,3501
1 wk ahead inc death,US,quantile,0.7,4080
1 wk ahead inc death,US,quantile,0.75,4147
1 wk ahead inc death,US,quantile,0.8,4193
1 wk ahead inc death,US,quantile,0.85,4233
1 wk ahead inc death,US,quantile,0.9,4277
1 wk ahead inc death,US,quantile,0.95,4332
1 wk ahead inc death,US,quantile,0.975,4377
1 wk ahead inc death,US,quantile,0.99,4428
2 day ahead cum death,US,quantile,0.01,29057
2 day ahead cum death,US,quantile,0.025,29102
2 day ahead cum death,US,quantile,0.05,29140
2 day ahead cum death,US,quantile,0.1,29186
2 day ahead cum death,US,quantile,0.15,29218
2 day ahead cum death,US,quantile,0.2,29247
2 day ahead cum death,US,quantile,0.25,29275
2 day ahead cum death,US,quantile,0.3,29304
2 day ahead cum death,US,quantile,0.35,29337
2 day ahead cum death,US,quantile,0.4,29378
2 day ahead cum death,US,quantile,0.45,29432
2 day ahead cum death,US,quantile,0.5,29497
2 day ahead cum death,US,quantile,0.55,29571
2 day ahead cum death,US,quantile,0.6,29663
2 day ahead cum death,US,quantile,0.65,29827
2 day ahead cum death,US,quantile,0.7,30460
2 day ahead cum death,US,quantile,0.75,30542
2 day ahead cum death,US,quantile,0.8,30599
2 day ahead cum death,US,quantile,0.85,30651
