target,location,type,quantile,value
1 day ahead inc death,US,point,NA,1905
1 wk ahead inc death,US,point,NA,3486
2 day ahead inc death,US,point,NA,2216
3 day ahead inc death,US,point,NA,2576
4 day ahead inc death,US,point,NA,2997
5 day ahead inc death,US,point,NA,3486
6 day ahead inc death,US,point,NA,4055
1 day ahead inc death,US,quantile,0.01,1680
1 day ahead inc death,US,quantile,0.025,1698
1 day ahead inc death,US,quantile,0.05,1717
1 day ahead inc death,US,quantile,0.1,1740
1 day ahead inc death,US,quantile,0.15,1756
1 day ahead inc death,US,quantile,0.2,1771
1 day ahead inc death,US,quantile,0.25,1786
1 day ahead inc death,US,quantile,0.3,1802
1 day ahead inc death,US,quantile,0.35,1822
1 day ahead inc death,US,quantile,0.4,1846
1 day ahead inc death,US,quantile,0.45,1875
1 day ahead inc death,US,quantile,0.5,1905
1 day ahead inc death,US,quantile,0.55,1937
1 day ahead inc death,US,quantile,0.6,1975
1 day ahead inc death,US,quantile,0.65,2019
1 day ahead inc death,US,quantile,0.7,2055
1 day ahead inc death,US,quantile,0.75,2081
1 day ahead inc death,US,quantile,0.8,2102
1 day ahead inc death,US,quantile,0.85,2123
1 day ahead inc death,US,quantile,0.9,2145
1 day ahead inc death,US,quantile,0.95,2171
1 day ahead inc death,US,quantile,0.975,2194
1 day ahead inc death,US,quantile,0.99,2218
1 wk ahead inc death,US,quantile,0.01,2403
1 wk ahead inc death,US,quantile,0.025,2427
1 wk ahead inc death,US,quantile,0.05,2450
1 wk ahead inc death,US,quantile,0.1,2479
1 wk ahead inc death,US,quantile,0.15,2501
1 wk ahead inc death,US,quantile,0.2,2521
1 wk ahead inc death,US,quantile,0.25,2545
1 wk ahead inc death,US,quantile,0.3,2579
1 wk ahead inc death,US,quantile,0.35,3215
1 wk ahead inc death,US,quantile,0.4,3344
1 wk ahead inc death,US,quantile,0.45,3420
1 wk ahead inc death,US,quantile,0.5,3486
1 wk ahead inc death,US,quantile,0.55,3552
1 wk ahead inc death,US,quantile,0.6,3630
1 wk ahead inc death,US,quantile,0.65,3767
1 wk ahead inc death,US,quantile,0.7,4228
1 wk ahead inc death,US,quantile,0.75,4313
1 wk ahead inc death,US,quantile,0.8,4376
1 wk ahead inc death,US,quantile,0.85,4432
1 wk ahead inc death,US,quantile,0.9,4491
1 wk ahead inc death,US,quantile,0.95,4565
1 wk ahead inc death,US,quantile,0.975,4628
1 wk ahead inc death,US,quantile,0.99,4699
2 day ahead inc death,US,quantile,0.01,1837
2 day ahead inc death,US,quantile,0.025,1857
2 day ahead inc death,US,quantile,0.05,1877
2 day ahead inc death,US,quantile,0.1,1902
2 day ahead inc death,US,quantile,0.15,1921
2 day ahead inc death,US,quantile,0.2,1939
2 day ahead inc death,US,quantile,0.25,1958
2 day ahead inc death,US,quantile,0.3,1986
2 day ahead inc death,US,quantile,0.35,2061
2 day ahead inc death,US,quantile,0.4,2135
2 day ahead inc death,US,quantile,0.45,2178
2 day ahead inc death,US,quantile,0.5,2216
2 day ahead inc death,US,quantile,0.55,2255
2 day ahead inc death,US,quantile,0.6,2301
2 day ahead inc death,US,quantile,0.65,2373
2 day ahead inc death,US,quantile,0.7,2449
2 day ahead inc death,US,quantile,0.75,2487
2 day ahead inc death,US,quantile,0.8,2515
2 day ahead inc death,US,quantile,0.85,2541
2 day ahead inc death,US,quantile,0.9,2567
2 day ahead inc death,US,quantile,0.95,2603
2 day ahead inc death,US,quantile,0.975,2631
2 day ahead inc death,US,quantile,0.99,2664
3 day ahead inc death,US,quantile,0.01,2006
3 day ahead inc death,US,quantile,0.025,2027
3 day ahead inc death,US,quantile,0.05,2047
3 day ahead inc death,US,quantile,0.1,2071
3 day ahead inc death,US,quantile,0.15,2091
3 day ahead inc death,US,quantile,0.2,2109
3 day ahead inc death,US,quantile,0.25,2131
3 day ahead inc death,US,quantile,0.3,2162
3 day ahead inc death,US,quantile,0.35,2387
3 day ahead inc death,US,quantile,0.4,2479
3 day ahead inc death,US,quantile,0.45,2532
3 day ahead inc death,US,quantile,0.5,2576
3 day ahead inc death,US,quantile,0.55,2621
3 day ahead inc death,US,quantile,0.6,2677
3 day ahead inc death,US,quantile,0.65,2770
3 day ahead inc death,US,quantile,0.7,2937
3 day ahead inc death,US,quantile,0.75,2990
3 day ahead inc death,US,quantile,0.8,3027
3 day ahead inc death,US,quantile,0.85,3061
3 day ahead inc death,US,quantile,0.9,3097
3 day ahead inc death,US,quantile,0.95,3141
3 day ahead inc death,US,quantile,0.975,3175
3 day ahead inc death,US,quantile,0.99,3216
4 day ahead inc death,US,quantile,0.01,2193
4 day ahead inc death,US,quantile,0.025,2218
4 day ahead inc death,US,quantile,0.05,2240
4 day ahead inc death,US,quantile,0.1,2267
4 day ahead inc death,US,quantile,0.15,2287
4 day ahead inc death,US,quantile,0.2,2308
4 day ahead inc death,US,quantile,0.25,2330
4 day ahead inc death,US,quantile,0.3,2362
4 day ahead inc death,US,quantile,0.35,2772
4 day ahead inc death,US,quantile,0.4,2878
4 day ahead inc death,US,quantile,0.45,2942
4 day ahead inc death,US,quantile,0.5,2997
4 day ahead inc death,US,quantile,0.55,3054
4 day ahead inc death,US,quantile,0.6,3118
4 day ahead inc death,US,quantile,0.65,3229
4 day ahead inc death,US,quantile,0.7,3527
4 day ahead inc death,US,quantile,0.75,3592
4 day ahead inc death,US,quantile,0.8,3640
4 day ahead inc death,US,quantile,0.85,3682
4 day ahead inc death,US,quantile,0.9,3727
4 day ahead inc death,US,quantile,0.95,3787
4 day ahead inc death,US,quantile,0.975,3835
4 day ahead inc death,US,quantile,0.99,3886
5 day ahead inc death,US,quantile,0.01,2403
5 day ahead inc death,US,quantile,0.025,2427
5 day ahead inc death,US,quantile,0.05,2450
5 day ahead inc death,US,quantile,0.1,2479
5 day ahead inc death,US,quantile,0.15,2501
5 day ahead inc death,US,quantile,0.2,2521
5 day ahead inc death,US,quantile,0.25,2545
5 day ahead inc death,US,quantile,0.3,2579
5 day ahead inc death,US,quantile,0.35,3215
5 day ahead inc death,US,quantile,0.4,3344
5 day ahead inc death,US,quantile,0.45,3420
5 day ahead inc death,US,quantile,0.5,3486
5 day ahead inc death,US,quantile,0.55,3552
5 day ahead inc death,US,quantile,0.6,3630
5 day ahead inc death,US,quantile,0.65,3767
