quantile,value,type,location,target,forecast_date,target_end_date
0.010,3809,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.025,4091,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.050,4292,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.100,4556,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.150,4765,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.200,4911,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.250,5034,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.300,5168,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.350,5311,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.400,5422,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.450,5536,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.500,5639,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
,5639,point,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.550,5772,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.600,5888,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.650,5997,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.700,6112,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.750,6295,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.800,6467,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.850,6627,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.900,6916,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.950,7293,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.975,7656,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.990,8005,quantile,US,1 wk ahead inc death,2020-08-30,2020-09-05
0.010,3098,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.025,3297,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.050,3518,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.100,3826,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.150,4046,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.200,4206,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.250,4368,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.300,4514,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.350,4607,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.400,4764,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.450,4896,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.500,5030,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
,5030,point,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.550,5176,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.600,5299,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.650,5416,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.700,5560,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.750,5718,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.800,5901,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.850,6129,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.900,6476,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.950,6913,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.975,7301,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.990,7741,quantile,US,2 wk ahead inc death,2020-08-30,2020-09-12
0.010,2303,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.025,2497,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.050,2766,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.100,3073,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.150,3274,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.200,3485,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.250,3635,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.300,3817,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.350,3941,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.400,4141,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
0.450,4309,quantile,US,3 wk ahead inc death,2020-08-30,2020-09-19
