quantile,value,type,location,target,forecast_date,target_end_date
0.010,3586,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.025,3784,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.050,4002,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.100,4193,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.150,4334,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.200,4501,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.250,4634,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.300,4741,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.350,4827,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.400,4931,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.450,5029,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.500,5112,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
,5112,point,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.550,5229,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.600,5312,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.650,5415,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.700,5570,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.750,5723,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.800,5880,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.850,6046,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.900,6284,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.950,6600,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.975,6870,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.990,7303,quantile,US,1 wk ahead inc death,2020-09-20,2020-09-26
0.010,3260,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.025,3490,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.050,3700,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.100,3980,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.150,4159,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.200,4290,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.250,4453,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.300,4550,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.350,4647,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.400,4781,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.450,4898,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.500,5008,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
,5008,point,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.550,5133,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.600,5260,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.650,5412,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.700,5533,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.750,5695,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.800,5829,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.850,6073,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.900,6345,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.950,6792,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.975,7139,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.990,7684,quantile,US,2 wk ahead inc death,2020-09-20,2020-10-03
0.010,2891,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.025,3134,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.050,3353,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.100,3605,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.150,3847,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.200,4043,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.250,4192,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.300,4352,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.350,4493,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.400,4643,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.450,4824,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.500,4948,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
,4948,point,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.550,5108,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.600,5271,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.650,5490,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.700,5643,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.750,5898,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.800,6099,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.850,6423,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.900,6787,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.950,7386,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.975,8098,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.990,9105,quantile,US,3 wk ahead inc death,2020-09-20,2020-10-10
0.010,2264,quantile,US,4 wk ahead inc death,2020-09-20,2020-10-17
0.025,2478,quantile,US,4 wk ahead inc death,2020-09-20,2020-10-17
0.050,2775,quantile,US,4 wk ahead inc death,2020-09-20,2020-10-17
0.100,3139,quantile,US,4 wk ahead inc death,2020-09-20,2020-10-17
0.150,3442,quantile,US,4 wk ahead inc death,2020-09-20,2020-10-17
0.200,3663,quantile,US,4 wk ahead inc death,2020-09-20,2020-10-17
0.250,3860,quantile,US,4 wk ahead inc death,2020-09-20,2020-10-17
