0.025,06037,1 wk ahead inc case,2020-07-12,2020-07-18,8238,forecast_date,location,quantile,target,target_end_date,type,value
,,,,,,2020-07-12,US,0.750,2 wk ahead inc death,2020-07-25,quantile,7929
,,,,,,2020-07-12,US,0.800,2 wk ahead inc death,2020-07-25,quantile,8222
,,,,,,2020-07-12,US,0.850,2 wk ahead inc death,2020-07-25,quantile,8622
,,,,,,2020-07-12,US,0.900,2 wk ahead inc death,2020-07-25,quantile,9253
,,,,,,2020-07-12,US,0.950,2 wk ahead inc death,2020-07-25,quantile,10044
,,,,,,2020-07-12,US,0.975,2 wk ahead inc death,2020-07-25,quantile,10692
,,,,,,2020-07-12,US,0.990,2 wk ahead inc death,2020-07-25,quantile,11379
,,,,,,2020-07-12,US,0.010,3 wk ahead inc death,2020-08-01,quantile,3277
,,,,,,2020-07-12,US,0.025,3 wk ahead inc death,2020-08-01,quantile,3627
,,,,,,2020-07-12,US,0.050,3 wk ahead inc death,2020-08-01,quantile,4152
,,,,,,2020-07-12,US,0.100,3 wk ahead inc death,2020-08-01,quantile,4697
,,,,,,2020-07-12,US,0.150,3 wk ahead inc death,2020-08-01,quantile,5195
,,,,,,2020-07-12,US,0.200,3 wk ahead inc death,2020-08-01,quantile,5517
,,,,,,2020-07-12,US,0.250,3 wk ahead inc death,2020-08-01,quantile,5858
,,,,,,2020-07-12,US,0.300,3 wk ahead inc death,2020-08-01,quantile,6318
,,,,,,2020-07-12,US,0.350,3 wk ahead inc death,2020-08-01,quantile,6687
,,,,,,2020-07-12,US,0.400,3 wk ahead inc death,2020-08-01,quantile,6959
,,,,,,2020-07-12,US,0.450,3 wk ahead inc death,2020-08-01,quantile,7362
,,,,,,2020-07-12,US,0.500,3 wk ahead inc death,2020-08-01,quantile,7834
,,,,,,2020-07-12,US,,3 wk ahead inc death,2020-08-01,point,7834
,,,,,,2020-07-12,US,0.550,3 wk ahead inc death,2020-08-01,quantile,8146
,,,,,,2020-07-12,US,0.600,3 wk ahead inc death,2020-08-01,quantile,8533
,,,,,,2020-07-12,US,0.650,3 wk ahead inc death,2020-08-01,quantile,8899
,,,,,,2020-07-12,US,0.700,3 wk ahead inc death,2020-08-01,quantile,9340
,,,,,,2020-07-12,US,0.750,3 wk ahead inc death,2020-08-01,quantile,9849
,,,,,,2020-07-12,US,0.800,3 wk ahead inc death,2020-08-01,quantile,10685
,,,,,,2020-07-12,US,0.850,3 wk ahead inc death,2020-08-01,quantile,11311
,,,,,,2020-07-12,US,0.900,3 wk ahead inc death,2020-08-01,quantile,12217
,,,,,,2020-07-12,US,0.950,3 wk ahead inc death,2020-08-01,quantile,13722
,,,,,,2020-07-12,US,0.975,3 wk ahead inc death,2020-08-01,quantile,14852
,,,,,,2020-07-12,US,0.990,3 wk ahead inc death,2020-08-01,quantile,16232
,,,,,,2020-07-12,US,0.010,4 wk ahead inc death,2020-08-08,quantile,2600
,,,,,,2020-07-12,US,0.025,4 wk ahead inc death,2020-08-08,quantile,3196
,,,,,,2020-07-12,US,0.050,4 wk ahead inc death,2020-08-08,quantile,3805
,,,,,,2020-07-12,US,0.100,4 wk ahead inc death,2020-08-08,quantile,4593
,,,,,,2020-07-12,US,0.150,4 wk ahead inc death,2020-08-08,quantile,5102
,,,,,,2020-07-12,US,0.200,4 wk ahead inc death,2020-08-08,quantile,5628
,,,,,,2020-07-12,US,0.250,4 wk ahead inc death,2020-08-08,quantile,5976
,,,,,,2020-07-12,US,0.300,4 wk ahead inc death,2020-08-08,quantile,6618
,,,,,,2020-07-12,US,0.350,4 wk ahead inc death,2020-08-08,quantile,7191
,,,,,,2020-07-12,US,0.400,4 wk ahead inc death,2020-08-08,quantile,7783
,,,,,,2020-07-12,US,0.450,4 wk ahead inc death,2020-08-08,quantile,8295
,,,,,,2020-07-12,US,0.500,4 wk ahead inc death,2020-08-08,quantile,8876
,,,,,,2020-07-12,US,,4 wk ahead inc death,2020-08-08,point,8876
,,,,,,2020-07-12,US,0.550,4 wk ahead inc death,2020-08-08,quantile,9463
,,,,,,2020-07-12,US,0.600,4 wk ahead inc death,2020-08-08,quantile,10284
,,,,,,2020-07-12,US,0.650,4 wk ahead inc death,2020-08-08,quantile,11066
,,,,,,2020-07-12,US,0.700,4 wk ahead inc death,2020-08-08,quantile,11958
,,,,,,2020-07-12,US,0.750,4 wk ahead inc death,2020-08-08,quantile,12728
,,,,,,2020-07-12,US,0.800,4 wk ahead inc death,2020-08-08,quantile,13781
,,,,,,2020-07-12,US,0.850,4 wk ahead inc death,2020-08-08,quantile,15011
,,,,,,2020-07-12,US,0.900,4 wk ahead inc death,2020-08-08,quantile,16648
,,,,,,2020-07-12,US,0.950,4 wk ahead inc death,2020-08-08,quantile,19210
,,,,,,2020-07-12,US,0.975,4 wk ahead inc death,2020-08-08,quantile,21706
,,,,,,2020-07-12,US,0.990,4 wk ahead inc death,2020-08-08,quantile,23422
,,,,,,2020-07-12,02,0.010,1 wk ahead inc death,2020-07-18,quantile,0
,,,,,,2020-07-12,02,0.025,1 wk ahead inc death,2020-07-18,quantile,0
,,,,,,2020-07-12,02,0.050,1 wk ahead inc death,2020-07-18,quantile,0
,,,,,,2020-07-12,02,0.100,1 wk ahead inc death,2020-07-18,quantile,1
,,,,,,2020-07-12,02,0.150,1 wk ahead inc death,2020-07-18,quantile,1
,,,,,,2020-07-12,02,0.200,1 wk ahead inc death,2020-07-18,quantile,1
,,,,,,2020-07-12,02,0.250,1 wk ahead inc death,2020-07-18,quantile,2
,,,,,,2020-07-12,02,0.300,1 wk ahead inc death,2020-07-18,quantile,2
,,,,,,2020-07-12,02,0.350,1 wk ahead inc death,2020-07-18,quantile,2
,,,,,,2020-07-12,02,0.400,1 wk ahead inc death,2020-07-18,quantile,2
,,,,,,2020-07-12,02,0.450,1 wk ahead inc death,2020-07-18,quantile,3
,,,,,,2020-07-12,02,0.500,1 wk ahead inc death,2020-07-18,quantile,3
,,,,,,2020-07-12,02,,1 wk ahead inc death,2020-07-18,point,3
,,,,,,2020-07-12,02,0.550,1 wk ahead inc death,2020-07-18,quantile,3
,,,,,,2020-07-12,02,0.600,1 wk ahead inc death,2020-07-18,quantile,3
,,,,,,2020-07-12,02,0.650,1 wk ahead inc death,2020-07-18,quantile,4
,,,,,,2020-07-12,02,0.700,1 wk ahead inc death,2020-07-18,quantile,4
,,,,,,2020-07-12,02,0.750,1 wk ahead inc death,2020-07-18,quantile,5
,,,,,,2020-07-12,02,0.800,1 wk ahead inc death,2020-07-18,quantile,5
,,,,,,2020-07-12,02,0.850,1 wk ahead inc death,2020-07-18,quantile,6
,,,,,,2020-07-12,02,0.900,1 wk ahead inc death,2020-07-18,quantile,6
,,,,,,2020-07-12,02,0.950,1 wk ahead inc death,2020-07-18,quantile,8
,,,,,,2020-07-12,02,0.975,1 wk ahead inc death,2020-07-18,quantile,9
,,,,,,2020-07-12,02,0.990,1 wk ahead inc death,2020-07-18,quantile,10
,,,,,,2020-07-12,02,0.010,2 wk ahead inc death,2020-07-25,quantile,0
,,,,,,2020-07-12,02,0.025,2 wk ahead inc death,2020-07-25,quantile,0
,,,,,,2020-07-12,02,0.050,2 wk ahead inc death,2020-07-25,quantile,1
,,,,,,2020-07-12,02,0.100,2 wk ahead inc death,2020-07-25,quantile,1
,,,,,,2020-07-12,02,0.150,2 wk ahead inc death,2020-07-25,quantile,2
,,,,,,2020-07-12,02,0.200,2 wk ahead inc death,2020-07-25,quantile,2
,,,,,,2020-07-12,02,0.250,2 wk ahead inc death,2020-07-25,quantile,3
,,,,,,2020-07-12,02,0.300,2 wk ahead inc death,2020-07-25,quantile,3
,,,,,,2020-07-12,02,0.350,2 wk ahead inc death,2020-07-25,quantile,3
,,,,,,2020-07-12,02,0.400,2 wk ahead inc death,2020-07-25,quantile,4
,,,,,,2020-07-12,02,0.450,2 wk ahead inc death,2020-07-25,quantile,4
,,,,,,2020-07-12,02,0.500,2 wk ahead inc death,2020-07-25,quantile,4
,,,,,,2020-07-12,02,,2 wk ahead inc death,2020-07-25,point,4
,,,,,,2020-07-12,02,0.550,2 wk ahead inc death,2020-07-25,quantile,5
,,,,,,2020-07-12,02,0.600,2 wk ahead inc death,2020-07-25,quantile,5
,,,,,,2020-07-12,02,0.650,2 wk ahead inc death,2020-07-25,quantile,6
,,,,,,2020-07-12,02,0.700,2 wk ahead inc death,2020-07-25,quantile,6
,,,,,,2020-07-12,02,0.750,2 wk ahead inc death,2020-07-25,quantile,7
,,,,,,2020-07-12,02,0.800,2 wk ahead inc death,2020-07-25,quantile,7
,,,,,,2020-07-12,02,0.850,2 wk ahead inc death,2020-07-25,quantile,8
,,,,,,2020-07-12,02,0.900,2 wk ahead inc death,2020-07-25,quantile,9
,,,,,,2020-07-12,02,0.950,2 wk ahead inc death,2020-07-25,quantile,12
,,,,,,2020-07-12,02,0.975,2 wk ahead inc death,2020-07-25,quantile,14
,,,,,,2020-07-12,02,0.990,2 wk ahead inc death,2020-07-25,quantile,18
