quantile,value,type,location,target,forecast_date,target_end_date
0.010,3858,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.025,4043,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.050,4234,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.100,4522,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.150,4669,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.200,4808,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.250,4938,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.300,5010,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.350,5127,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.400,5235,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.450,5331,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.500,5446,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
,5446,point,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.550,5559,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.600,5636,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.650,5735,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.700,5863,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.750,5991,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.800,6176,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.850,6363,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.900,6609,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.950,7011,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.975,7416,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.990,7692,quantile,US,1 wk ahead inc death,2020-09-06,2020-09-12
0.010,3463,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.025,3637,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.050,3735,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.100,4010,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.150,4153,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.200,4296,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.250,4418,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.300,4539,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.350,4636,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.400,4738,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.450,4869,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.500,4956,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
,4956,point,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.550,5056,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.600,5164,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.650,5264,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.700,5404,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.750,5529,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.800,5684,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.850,5940,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.900,6202,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.950,6585,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.975,6916,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.990,7209,quantile,US,2 wk ahead inc death,2020-09-06,2020-09-19
0.010,2512,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.025,2887,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.050,3097,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.100,3380,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.150,3618,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.200,3736,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.250,3872,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.300,4012,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.350,4172,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.400,4289,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.450,4398,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.500,4550,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
,4550,point,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.550,4667,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.600,4790,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.650,4934,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.700,5047,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.750,5221,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.800,5425,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.850,5663,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.900,5988,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.950,6475,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.975,6894,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.990,7727,quantile,US,3 wk ahead inc death,2020-09-06,2020-09-26
0.010,2085,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.025,2244,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.050,2464,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.100,2751,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.150,2907,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.200,3128,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.250,3276,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.300,3421,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.350,3527,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.400,3668,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.450,3846,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.500,3997,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
,3997,point,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.550,4179,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.600,4343,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.650,4500,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.700,4690,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.750,4950,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.800,5189,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.850,5541,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.900,5952,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.950,6616,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.975,7253,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.990,7775,quantile,US,4 wk ahead inc death,2020-09-06,2020-10-03
0.010,0,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.025,1,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.050,1,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.100,2,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.150,2,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.200,2,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.250,3,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.300,3,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.350,3,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.400,3,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.450,4,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.500,4,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
,4,point,02,1 wk ahead inc death,2020-09-06,2020-09-12
0.550,4,quantile,02,1 wk ahead inc death,2020-09-06,2020-09-12
