quantile,value,type,location,target,forecast_date,target_end_date
0.010,3567,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.025,3745,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.050,3895,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.100,4128,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.150,4351,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.200,4428,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.250,4570,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.300,4695,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.350,4799,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.400,4905,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.450,5009,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.500,5122,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
,5122,point,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.550,5220,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.600,5322,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.650,5423,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.700,5528,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.750,5629,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.800,5778,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.850,5960,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.900,6216,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.950,6550,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.975,6950,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.990,7326,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.010,3347,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.025,3555,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.050,3776,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.100,3998,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.150,4188,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.200,4334,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.250,4433,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.300,4551,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.350,4693,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.400,4842,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.450,4950,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.500,5074,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
,5074,point,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.550,5175,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.600,5303,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.650,5432,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.700,5554,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.750,5736,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.800,5950,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.850,6127,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.900,6414,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.950,6816,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.975,7181,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.990,7583,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.010,2972,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.025,3092,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.050,3285,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.100,3640,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.150,3862,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.200,4086,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.250,4253,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.300,4413,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.350,4550,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.400,4747,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.450,4894,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.500,5048,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
,5048,point,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.550,5252,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.600,5377,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.650,5555,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.700,5801,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
0.750,6023,quantile,US,3 wk ahead inc death,2020-10-04,2020-10-24
