quantile,value,type,location,target,forecast_date,target_end_date
0.010,4150,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.025,4443,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.050,4712,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.100,4976,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.150,5214,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.200,5399,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.250,5531,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.300,5675,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.350,5780,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.400,5901,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.450,6048,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.500,6174,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
,6174,point,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.550,6299,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.600,6431,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.650,6561,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.700,6700,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.750,6850,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.800,7011,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.850,7200,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.900,7560,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.950,8058,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.975,8408,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.990,8991,quantile,US,1 wk ahead inc death,2020-10-25,2020-10-31
0.010,4308,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.025,4483,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.050,4841,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.100,5201,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.150,5515,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.200,5779,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.250,6007,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.300,6204,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.350,6388,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.400,6584,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.450,6739,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.500,6914,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
,6914,point,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.550,7076,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.600,7273,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.650,7501,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.700,7711,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.750,7952,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.800,8222,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.850,8619,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.900,9124,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.950,9776,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.975,10393,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.990,11216,quantile,US,2 wk ahead inc death,2020-10-25,2020-11-07
0.010,4008,quantile,US,3 wk ahead inc death,2020-10-25,2020-11-14
0.025,4353,quantile,US,3 wk ahead inc death,2020-10-25,2020-11-14
0.050,4699,quantile,US,3 wk ahead inc death,2020-10-25,2020-11-14
0.100,5258,quantile,US,3 wk ahead inc death,2020-10-25,2020-11-14
