location,target_end_date,quantile,value,type,forecast_date,target
01,2024-03-25,0.010,14.18,quantile,2024-03-25,0 day ahead inc hosp
01,2024-03-26,0.010,13.49,quantile,2024-03-25,1 day ahead inc hosp
01,2024-03-27,0.010,13.11,quantile,2024-03-25,2 day ahead inc hosp
01,2024-03-28,0.010,13.11,quantile,2024-03-25,3 day ahead inc hosp
01,2024-03-29,0.010,12.69,quantile,2024-03-25,4 day ahead inc hosp
01,2024-03-30,0.010,11.9,quantile,2024-03-25,5 day ahead inc hosp
01,2024-03-31,0.010,11.16,quantile,2024-03-25,6 day ahead inc hosp
01,2024-04-01,0.010,10.39,quantile,2024-03-25,7 day ahead inc hosp
01,2024-04-02,0.010,10.08,quantile,2024-03-25,8 day ahead inc hosp
01,2024-04-03,0.010,9.87,quantile,2024-03-25,9 day ahead inc hosp
01,2024-04-04,0.010,9.52,quantile,2024-03-25,10 day ahead inc hosp
01,2024-04-05,0.010,9.25,quantile,2024-03-25,11 day ahead inc hosp
01,2024-04-06,0.010,8.66,quantile,2024-03-25,12 day ahead inc hosp
01,2024-04-07,0.010,8.28,quantile,2024-03-25,13 day ahead inc hosp
01,2024-04-08,0.010,7.76,quantile,2024-03-25,14 day ahead inc hosp
01,2024-04-09,0.010,7.38,quantile,2024-03-25,15 day ahead inc hosp
01,2024-04-10,0.010,7.14,quantile,2024-03-25,16 day ahead inc hosp
01,2024-04-11,0.010,7.08,quantile,2024-03-25,17 day ahead inc hosp
01,2024-04-12,0.010,6.68,quantile,2024-03-25,18 day ahead inc hosp
01,2024-04-13,0.010,6.22,quantile,2024-03-25,19 day ahead inc hosp
01,2024-04-14,0.010,5.65,quantile,2024-03-25,20 day ahead inc hosp
01,2024-04-15,0.010,5.35,quantile,2024-03-25,21 day ahead inc hosp
01,2024-04-16,0.010,5.16,quantile,2024-03-25,22 day ahead inc hosp
01,2024-04-17,0.010,5.15,quantile,2024-03-25,23 day ahead inc hosp
01,2024-04-18,0.010,4.94,quantile,2024-03-25,24 day ahead inc hosp
01,2024-04-19,0.010,4.75,quantile,2024-03-25,25 day ahead inc hosp
01,2024-04-20,0.010,4.52,quantile,2024-03-25,26 day ahead inc hosp
01,2024-04-21,0.010,4.01,quantile,2024-03-25,27 day ahead inc hosp
01,2024-04-22,0.010,3.9,quantile,2024-03-25,28 day ahead inc hosp
01,2024-04-23,0.010,3.7,quantile,2024-03-25,29 day ahead inc hosp
01,2024-04-24,0.010,3.49,quantile,2024-03-25,30 day ahead inc hosp
01,2024-03-25,0.025,15.44,quantile,2024-03-25,0 day ahead inc hosp
01,2024-03-26,0.025,14.76,quantile,2024-03-25,1 day ahead inc hosp
01,2024-03-27,0.025,14.36,quantile,2024-03-25,2 day ahead inc hosp
01,2024-03-28,0.025,14.33,quantile,2024-03-25,3 day ahead inc hosp
01,2024-03-29,0.025,13.92,quantile,2024-03-25,4 day ahead inc hosp
01,2024-03-30,0.025,13.13,quantile,2024-03-25,5 day ahead inc hosp
01,2024-03-31,0.025,12.42,quantile,2024-03-25,6 day ahead inc hosp
01,2024-04-01,0.025,11.65,quantile,2024-03-25,7 day ahead inc hosp
01,2024-04-02,0.025,11.34,quantile,2024-03-25,8 day ahead inc hosp
01,2024-04-03,0.025,11.11,quantile,2024-03-25,9 day ahead inc hosp
01,2024-04-04,0.025,10.74,quantile,2024-03-25,10 day ahead inc hosp
01,2024-04-05,0.025,10.46,quantile,2024-03-25,11 day ahead inc hosp
01,2024-04-06,0.025,9.86,quantile,2024-03-25,12 day ahead inc hosp
01,2024-04-07,0.025,9.49,quantile,2024-03-25,13 day ahead inc hosp
01,2024-04-08,0.025,8.95,quantile,2024-03-25,14 day ahead inc hosp
01,2024-04-09,0.025,8.55,quantile,2024-03-25,15 day ahead inc hosp
01,2024-04-10,0.025,8.3,quantile,2024-03-25,16 day ahead inc hosp
01,2024-04-11,0.025,8.23,quantile,2024-03-25,17 day ahead inc hosp
01,2024-04-12,0.025,7.81,quantile,2024-03-25,18 day ahead inc hosp
01,2024-04-13,0.025,7.33,quantile,2024-03-25,19 day ahead inc hosp
01,2024-04-14,0.025,6.74,quantile,2024-03-25,20 day ahead inc hosp
01,2024-04-15,0.025,6.43,quantile,2024-03-25,21 day ahead inc hosp
01,2024-04-16,0.025,6.22,quantile,2024-03-25,22 day ahead inc hosp
01,2024-04-17,0.025,6.2,quantile,2024-03-25,23 day ahead inc hosp
01,2024-04-18,0.025,5.95,quantile,2024-03-25,24 day ahead inc hosp
01,2024-04-19,0.025,5.76,quantile,2024-03-25,25 day ahead inc hosp
01,2024-04-20,0.025,5.51,quantile,2024-03-25,26 day ahead inc hosp
01,2024-04-21,0.025,4.97,quantile,2024-03-25,27 day ahead inc hosp
01,2024-04-22,0.025,4.84,quantile,2024-03-25,28 day ahead inc hosp
01,2024-04-23,0.025,4.62,quantile,2024-03-25,29 day ahead inc hosp
01,2024-04-24,0.025,4.39,quantile,2024-03-25,30 day ahead inc hosp
01,2024-03-25,0.050,16.59,quantile,2024-03-25,0 day ahead inc hosp
01,2024-03-26,0.050,15.93,quantile,2024-03-25,1 day ahead inc hosp
01,2024-03-27,0.050,15.52,quantile,2024-03-25,2 day ahead inc hosp
01,2024-03-28,0.050,15.46,quantile,2024-03-25,3 day ahead inc hosp
01,2024-03-29,0.050,15.05,quantile,2024-03-25,4 day ahead inc hosp
01,2024-03-30,0.050,14.26,quantile,2024-03-25,5 day ahead inc hosp
01,2024-03-31,0.050,13.59,quantile,2024-03-25,6 day ahead inc hosp
01,2024-04-01,0.050,12.84,quantile,2024-03-25,7 day ahead inc hosp
01,2024-04-02,0.050,12.52,quantile,2024-03-25,8 day ahead inc hosp
01,2024-04-03,0.050,12.28,quantile,2024-03-25,9 day ahead inc hosp
01,2024-04-04,0.050,11.88,quantile,2024-03-25,10 day ahead inc hosp
01,2024-04-05,0.050,11.61,quantile,2024-03-25,11 day ahead inc hosp
01,2024-04-06,0.050,11.0,quantile,2024-03-25,12 day ahead inc hosp
01,2024-04-07,0.050,10.64,quantile,2024-03-25,13 day ahead inc hosp
01,2024-04-08,0.050,10.1,quantile,2024-03-25,14 day ahead inc hosp
01,2024-04-09,0.050,9.68,quantile,2024-03-25,15 day ahead inc hosp
01,2024-04-10,0.050,9.41,quantile,2024-03-25,16 day ahead inc hosp
01,2024-04-11,0.050,9.34,quantile,2024-03-25,17 day ahead inc hosp
01,2024-04-12,0.050,8.9,quantile,2024-03-25,18 day ahead inc hosp
01,2024-04-13,0.050,8.42,quantile,2024-03-25,19 day ahead inc hosp
01,2024-04-14,0.050,7.8,quantile,2024-03-25,20 day ahead inc hosp
01,2024-04-15,0.050,7.49,quantile,2024-03-25,21 day ahead inc hosp
01,2024-04-16,0.050,7.27,quantile,2024-03-25,22 day ahead inc hosp
01,2024-04-17,0.050,7.24,quantile,2024-03-25,23 day ahead inc hosp
01,2024-04-18,0.050,6.97,quantile,2024-03-25,24 day ahead inc hosp
01,2024-04-19,0.050,6.76,quantile,2024-03-25,25 day ahead inc hosp
01,2024-04-20,0.050,6.5,quantile,2024-03-25,26 day ahead inc hosp
