location,target_end_date,quantile,value,type,forecast_date,target
01,2024-04-29,0.010,6.96,quantile,2024-04-29,0 day ahead inc hosp
01,2024-04-30,0.010,6.74,quantile,2024-04-29,1 day ahead inc hosp
01,2024-05-01,0.010,6.64,quantile,2024-04-29,2 day ahead inc hosp
01,2024-05-02,0.010,6.58,quantile,2024-04-29,3 day ahead inc hosp
01,2024-05-03,0.010,6.44,quantile,2024-04-29,4 day ahead inc hosp
01,2024-05-04,0.010,6.16,quantile,2024-04-29,5 day ahead inc hosp
01,2024-05-05,0.010,5.82,quantile,2024-04-29,6 day ahead inc hosp
01,2024-05-06,0.010,5.44,quantile,2024-04-29,7 day ahead inc hosp
01,2024-05-07,0.010,5.13,quantile,2024-04-29,8 day ahead inc hosp
01,2024-05-08,0.010,5.09,quantile,2024-04-29,9 day ahead inc hosp
01,2024-05-09,0.010,5.01,quantile,2024-04-29,10 day ahead inc hosp
01,2024-05-10,0.010,4.87,quantile,2024-04-29,11 day ahead inc hosp
01,2024-05-11,0.010,4.55,quantile,2024-04-29,12 day ahead inc hosp
01,2024-05-12,0.010,4.31,quantile,2024-04-29,13 day ahead inc hosp
01,2024-05-13,0.010,4.11,quantile,2024-04-29,14 day ahead inc hosp
01,2024-05-14,0.010,3.75,quantile,2024-04-29,15 day ahead inc hosp
01,2024-05-15,0.010,3.82,quantile,2024-04-29,16 day ahead inc hosp
01,2024-05-16,0.010,3.68,quantile,2024-04-29,17 day ahead inc hosp
01,2024-05-17,0.010,3.66,quantile,2024-04-29,18 day ahead inc hosp
01,2024-05-18,0.010,3.46,quantile,2024-04-29,19 day ahead inc hosp
01,2024-05-19,0.010,3.11,quantile,2024-04-29,20 day ahead inc hosp
01,2024-05-20,0.010,2.91,quantile,2024-04-29,21 day ahead inc hosp
01,2024-05-21,0.010,2.75,quantile,2024-04-29,22 day ahead inc hosp
01,2024-05-22,0.010,2.79,quantile,2024-04-29,23 day ahead inc hosp
01,2024-05-23,0.010,2.71,quantile,2024-04-29,24 day ahead inc hosp
01,2024-05-24,0.010,2.62,quantile,2024-04-29,25 day ahead inc hosp
01,2024-05-25,0.010,2.51,quantile,2024-04-29,26 day ahead inc hosp
01,2024-05-26,0.010,2.39,quantile,2024-04-29,27 day ahead inc hosp
