location,target_end_date,quantile,value,type,forecast_date,target
01,2024-02-12,0.010,18.23,quantile,2024-02-12,0 day ahead inc hosp
01,2024-02-13,0.010,17.85,quantile,2024-02-12,1 day ahead inc hosp
01,2024-02-14,0.010,17.02,quantile,2024-02-12,2 day ahead inc hosp
01,2024-02-15,0.010,16.65,quantile,2024-02-12,3 day ahead inc hosp
01,2024-02-16,0.010,16.01,quantile,2024-02-12,4 day ahead inc hosp
01,2024-02-17,0.010,14.95,quantile,2024-02-12,5 day ahead inc hosp
01,2024-02-18,0.010,13.77,quantile,2024-02-12,6 day ahead inc hosp
01,2024-02-19,0.010,12.66,quantile,2024-02-12,7 day ahead inc hosp
01,2024-02-20,0.010,12.08,quantile,2024-02-12,8 day ahead inc hosp
01,2024-02-21,0.010,11.62,quantile,2024-02-12,9 day ahead inc hosp
01,2024-02-22,0.010,11.1,quantile,2024-02-12,10 day ahead inc hosp
01,2024-02-23,0.010,10.86,quantile,2024-02-12,11 day ahead inc hosp
01,2024-02-24,0.010,9.92,quantile,2024-02-12,12 day ahead inc hosp
01,2024-02-25,0.010,9.44,quantile,2024-02-12,13 day ahead inc hosp
01,2024-02-26,0.010,8.92,quantile,2024-02-12,14 day ahead inc hosp
01,2024-02-27,0.010,8.55,quantile,2024-02-12,15 day ahead inc hosp
01,2024-02-28,0.010,7.75,quantile,2024-02-12,16 day ahead inc hosp
01,2024-02-29,0.010,7.5,quantile,2024-02-12,17 day ahead inc hosp
01,2024-03-01,0.010,7.3,quantile,2024-02-12,18 day ahead inc hosp
01,2024-03-02,0.010,6.74,quantile,2024-02-12,19 day ahead inc hosp
01,2024-03-03,0.010,6.25,quantile,2024-02-12,20 day ahead inc hosp
01,2024-03-04,0.010,5.85,quantile,2024-02-12,21 day ahead inc hosp
01,2024-03-05,0.010,5.36,quantile,2024-02-12,22 day ahead inc hosp
01,2024-03-06,0.010,5.19,quantile,2024-02-12,23 day ahead inc hosp
01,2024-03-07,0.010,4.9,quantile,2024-02-12,24 day ahead inc hosp
01,2024-03-08,0.010,4.86,quantile,2024-02-12,25 day ahead inc hosp
01,2024-03-09,0.010,4.5,quantile,2024-02-12,26 day ahead inc hosp
01,2024-03-10,0.010,4.03,quantile,2024-02-12,27 day ahead inc hosp
01,2024-03-11,0.010,3.83,quantile,2024-02-12,28 day ahead inc hosp
01,2024-03-12,0.010,3.74,quantile,2024-02-12,29 day ahead inc hosp
01,2024-03-13,0.010,3.58,quantile,2024-02-12,30 day ahead inc hosp
01,2024-02-12,0.025,20.18,quantile,2024-02-12,0 day ahead inc hosp
01,2024-02-13,0.025,19.8,quantile,2024-02-12,1 day ahead inc hosp
01,2024-02-14,0.025,18.87,quantile,2024-02-12,2 day ahead inc hosp
01,2024-02-15,0.025,18.46,quantile,2024-02-12,3 day ahead inc hosp
01,2024-02-16,0.025,17.79,quantile,2024-02-12,4 day ahead inc hosp
01,2024-02-17,0.025,16.72,quantile,2024-02-12,5 day ahead inc hosp
01,2024-02-18,0.025,15.51,quantile,2024-02-12,6 day ahead inc hosp
01,2024-02-19,0.025,14.41,quantile,2024-02-12,7 day ahead inc hosp
01,2024-02-20,0.025,13.81,quantile,2024-02-12,8 day ahead inc hosp
01,2024-02-21,0.025,13.28,quantile,2024-02-12,9 day ahead inc hosp
01,2024-02-22,0.025,12.71,quantile,2024-02-12,10 day ahead inc hosp
01,2024-02-23,0.025,12.41,quantile,2024-02-12,11 day ahead inc hosp
01,2024-02-24,0.025,11.43,quantile,2024-02-12,12 day ahead inc hosp
01,2024-02-25,0.025,10.94,quantile,2024-02-12,13 day ahead inc hosp
01,2024-02-26,0.025,10.42,quantile,2024-02-12,14 day ahead inc hosp
01,2024-02-27,0.025,10.02,quantile,2024-02-12,15 day ahead inc hosp
