target,location,type,quantile,value
1 day ahead cum death,US,point,NA,714
1 day ahead inc death,US,point,NA,169
1 wk ahead cum death,US,point,NA,2380
1 wk ahead inc death,US,point,NA,645
2 day ahead cum death,US,point,NA,949
2 day ahead inc death,US,point,NA,235
3 day ahead cum death,US,point,NA,1277
3 day ahead inc death,US,point,NA,329
4 day ahead cum death,US,point,NA,1737
4 day ahead inc death,US,point,NA,460
5 day ahead cum death,US,point,NA,2380
5 day ahead inc death,US,point,NA,645
6 day ahead cum death,US,point,NA,3283
6 day ahead inc death,US,point,NA,905
1 day ahead cum death,US,quantile,0.01,616
1 day ahead cum death,US,quantile,0.025,632
1 day ahead cum death,US,quantile,0.05,646
1 day ahead cum death,US,quantile,0.1,660
1 day ahead cum death,US,quantile,0.15,670
1 day ahead cum death,US,quantile,0.2,678
1 day ahead cum death,US,quantile,0.25,685
1 day ahead cum death,US,quantile,0.3,691
1 day ahead cum death,US,quantile,0.35,697
1 day ahead cum death,US,quantile,0.4,703
1 day ahead cum death,US,quantile,0.45,708
1 day ahead cum death,US,quantile,0.5,714
1 day ahead cum death,US,quantile,0.55,721
1 day ahead cum death,US,quantile,0.6,727
1 day ahead cum death,US,quantile,0.65,734
1 day ahead cum death,US,quantile,0.7,742
1 day ahead cum death,US,quantile,0.75,751
1 day ahead cum death,US,quantile,0.8,763
1 day ahead cum death,US,quantile,0.85,779
1 day ahead cum death,US,quantile,0.9,801
1 day ahead cum death,US,quantile,0.95,837
1 day ahead cum death,US,quantile,0.975,870
1 day ahead cum death,US,quantile,0.99,910
1 day ahead inc death,US,quantile,0.01,108
1 day ahead inc death,US,quantile,0.025,118
1 day ahead inc death,US,quantile,0.05,126
1 day ahead inc death,US,quantile,0.1,135
1 day ahead inc death,US,quantile,0.15,141
1 day ahead inc death,US,quantile,0.2,146
1 day ahead inc death,US,quantile,0.25,151
1 day ahead inc death,US,quantile,0.3,154
1 day ahead inc death,US,quantile,0.35,158
1 day ahead inc death,US,quantile,0.4,162
1 day ahead inc death,US,quantile,0.45,165
1 day ahead inc death,US,quantile,0.5,169
1 day ahead inc death,US,quantile,0.55,173
1 day ahead inc death,US,quantile,0.6,177
1 day ahead inc death,US,quantile,0.65,181
1 day ahead inc death,US,quantile,0.7,186
1 day ahead inc death,US,quantile,0.75,192
1 day ahead inc death,US,quantile,0.8,199
1 day ahead inc death,US,quantile,0.85,209
1 day ahead inc death,US,quantile,0.9,222
1 day ahead inc death,US,quantile,0.95,244
1 day ahead inc death,US,quantile,0.975,264
1 day ahead inc death,US,quantile,0.99,287
1 wk ahead cum death,US,quantile,0.01,1640
1 wk ahead cum death,US,quantile,0.025,1733
1 wk ahead cum death,US,quantile,0.05,1819
1 wk ahead cum death,US,quantile,0.1,1926
1 wk ahead cum death,US,quantile,0.15,1999
1 wk ahead cum death,US,quantile,0.2,2062
1 wk ahead cum death,US,quantile,0.25,2117
1 wk ahead cum death,US,quantile,0.3,2169
1 wk ahead cum death,US,quantile,0.35,2220
1 wk ahead cum death,US,quantile,0.4,2271
1 wk ahead cum death,US,quantile,0.45,2324
1 wk ahead cum death,US,quantile,0.5,2380
1 wk ahead cum death,US,quantile,0.55,2437
1 wk ahead cum death,US,quantile,0.6,2499
1 wk ahead cum death,US,quantile,0.65,2566
1 wk ahead cum death,US,quantile,0.7,2645
1 wk ahead cum death,US,quantile,0.75,2731
1 wk ahead cum death,US,quantile,0.8,2846
1 wk ahead cum death,US,quantile,0.85,2987
1 wk ahead cum death,US,quantile,0.9,3169
